#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
evt_CK2_209_desc_a;They declined our gift!;;;;;;;;;;;Îíè îòâåðãëè íàø ïîäàðîê!;;x
EVTDESC670;The ancient [Root.Religion.GetName] religion is proving unable to withstand the onslaught of the Cross and the Moon. Rather than abandoning the old ways, [Root.GetTitledName] and the most powerful priests have decided to reform the [Root.Religion.GetName] faith. With codified rites, a holy scripture and a strict church hierarchy under a single leader, they hope that the reformed [Root.Religion.GetName] faith is better armed to fight back against the weak and effeminate foreign beliefs!;;;;;;;;;;;[Root.GetReligionFullName], äðåâíÿÿ âåðà, îêàçàëàñü íå â ñîñòîÿíèè ïðîòèâîñòîÿòü íàòèñêó Êðåñòà è Ïîëóìåñÿöà. Äëÿ óêðåïëåíèÿ èñêîííûõ îáû÷àåâ [Root.GetTitledName] ñîçâàë[Root.GetEndA] [Root.GetRelAdj]ñêèõ æðåöîâ, ÷òîáû íà÷àòü ðåôîðìàöèþ. Ñ êîäèôèöèðîâàííûìè îáðÿäàìè, Ñâÿùåííûì Ïèñàíèåì è ñòðîãîé èåðàðõèåé Öåðêâè, îíè íàäåþòñÿ, ÷òî ðåôîðìèðîâàííîå [Root.GetReligionFullName] áóäåò ëó÷øå çàùèùåíî äëÿ áîðüáû ïðîòèâ ÷óæåçåìíûõ èäåé.;;x
EVTDESC670_HF;[Root.GetReformationNature]\n[Root.GetReformationLeadership][Root.GetReformationReligion]\n[Root.GetReformationOutro];;;;;;;;;;;[Root.GetReformationNature]\n[Root.GetReformationLeadership][Root.GetReformationReligion]\n[Root.GetReformationOutro];;x
EVTDESC670_HF_B;The ancient [Root.Religion.GetName] is proving unable to withstand the onslaught of its organized, proselytizing neighbors. Rather than abandoning the old ways, [Root.GetTitledName] and the most powerful of [Root.GetHerHis] priests have decided to reform the [Root.Religion.GetName] faith in order to turn the tides and protect their ancient customs.\nWith official clergy and ratified scriptures, this new religion has already started to spread amongst the old [Root.Religion.GetName] faithful.;;;;;;;;;;;[Root.GetReligionFullName], äðåâíÿÿ âåðà, îêàçàëàñü íå â ñîñòîÿíèè ïðîòèâîñòîÿòü íàòèñêó ñâîèõ îðãàíèçîâàííûõ ñîñåäåé-ïðîçåëèòîâ. Äëÿ óêðåïëåíèÿ èñêîííûõ îáû÷àåâ [Root.GetTitledFirstName] ñîçâàë[Root.GetEndA] [Root.GetRelAdj]ñêèõ æðåöîâ, ÷òîáû íà÷àòü ðåôîðìàöèþ.\nÁëàãîäàðÿ ïîääåðæêå îôèöèàëüíîãî äóõîâåíñòâà è ðàòèôèöèðîâàííûì ñâÿùåííûì ïèñàíèÿì ýòà íîâàÿ ðåëèãèÿ óæå íà÷àëà àêòèâíî ðàñïðîñòðàíÿòüñÿ ñðåäè [Root.GetReligionAdherentsGENACC].;;x
EVTDESC681;Having refused to give up my title to [From.GetTitledFirstName], I am now forced to raise the banner of rebellion.;;;;;;;;;;;[From.GetTitledFirstName] ïîòðåáîâàë[From.GetEndA] îò ìåíÿ, îòäàòü ìîé òèòóë, íî ÿ îòêàçà[Root.GetLasLsya] è òåïåðü âûíóæäåí[Root.GetEndA] ïîäíÿòü âîññòàíèå.;;x
EVTDESC682;Having refused to give up my rightful vassal to [From.GetTitledFirstName], I am now forced to raise the banner of rebellion.;;;;;;;;;;;[From.GetTitledFirstName] ïîòðåáîâàë[From.GetEndA] îò ìåíÿ, îòäàòü ìîåãî âåðíîãî âàññàëà, íî ÿ îòêàçà[Root.GetLasLsya] è òåïåðü âûíóæäåí[Root.GetEndA] ïîäíÿòü âîññòàíèå.;;x
EVTDESC683;Having refused to have my clan absorbed by [From.GetTitledFirstName], I am now forced to raise the banner of rebellion.;;;;;;;;;;;[From.GetTitledFirstName] ðåøèë[From.GetEndA] ïîãëîòèòü ìîé êëàí, íî ÿ îòêàçà[Root.GetLasLsya] ïåðåäàòü âëàñòü è òåïåðü âûíóæäåí[Root.GetEndA] ïîäíÿòü âîññòàíèå.;;x
EVTDESC684;Having refused to have my clan split by [From.GetTitledFirstName], I am now forced to raise the banner of rebellion.;;;;;;;;;;;[From.GetTitledFirstName] ðåøèë[From.GetEndA] ðàçäåëèòü ìîé êëàí, íî ÿ îòêàçà[Root.GetLasLsya] ïåðåäàòü âëàñòü è òåïåðü âûíóæäåí[Root.GetEndA] ïîäíÿòü âîññòàíèå.;;x
EVTDESC750;I have been convinced by [From.GetLawProposer] to institute the [From.GetProposedLaw] Law. All that is needed is the support of yourself and my other loyal vassals.\n\nYour [From.Holder.GetTitle];;;;;;;;;;;[From.GetLawProposer] ñ÷èòàåò, ÷òî ÿ äîëæ[From.Holder.GetNaEn] óòâåðäèòü íîâûé çàêîí ([From.GetProposedLaw]). Âñ¸, ÷òî äëÿ ýòîãî íóæíî - ýòî ïîääåðæêà ñî ñòîðîíû Âàñ è ïðåäàííûõ ìíå âàññàëîâ.\n Âàø[From.Holder.GetEndA] [From.Holder.GetTitle];;x
EVTDESC40000;My guards failed to capture [From.GetTitledFirstName], who has now raised [From.GetPossPronoun] flag in rebellion!;;;;;;;;;;;Ìîÿ ñòðàæà íå ñìîãëà çàõâàòèòü ïðåäàòåëÿ ïî èìåíè [From.GetTitledFirstName], è òåïåðü [From.GetSheHe] ïîäíÿë[From.GetEndA] âîññòàíèå!;;x
EVTDESC40001;[From.GetTitledFirstName] is now safely locked away in my dungeon, awaiting [From.GetPossPronoun] fate...;;;;;;;;;;;[From.GetTitledFirstName] òåïåðü â òåìíèöå è îæèäàåò ñâîåé ó÷àñòè.;;x
EVTDESC40002;[From.GetTitledFirstName] managed to avoid my guardsmen and has fled to the court of [From.Liege.GetTitledFirstName].;;;;;;;;;;;[Root.PrimaryTitle.GetFOA]! Íàì òîëüêî ÷òî äîëîæèëè èç òåìíèöû... [From.GetTitledFirstName]... Êàêèì-òî îáðàçîì [From.GetHerHim] óäàëîñü óñêîëüçíóòü îò Âàøåé ñòðàæè è ñáåæàòü. [From.Liege.GetTitledFirstName] ñåé÷àñ ïðèíèìàåò [From.GetHersHis] ó ñåáÿ ïðè äâîðå.;;x
EVTDESC40003;My hired killers failed to slay [From.GetTitledFirstName], but my involvement remains unknown.;;;;;;;;;;;[From.GetTitledFirstName] ïåðåæèë[From.GetEndA] íàïàäåíèå íà¸ìíûõ óáèéö, íî ìî¸ ó÷àñòèå â ýòîì îñòà¸òñÿ íåèçâåñòíûì.;;x
EVTDESC40006;My assassins failed to kill [From.GetTitledFirstName]. Even worse, they divulged my name!;;;;;;;;;;;[From.GetTitledFirstName] íå òîëüêî ïåðåæèâàåò íàïàäåíèå ìîèõ óáèéö, íî è õóæå òîãî - îíè âûäàëè ìî¸ èìÿ!;;x
EVTDESC40009;Joyous news! [From.GetTitledFirstName] died choking on [From.GetPossPronoun] blood, not knowing the name of [From.GetPossPronoun] killer.;;;;;;;;;;;Ðàäîñòíûå âåñòè! [From.GetTitledFirstName] óìåð[From.GetNoneE], çàõëåáûâàÿñü â ñîáñòâåííîé êðîâè, òàê è íå óçíàâ èìÿ ñâîåãî óáèéöû.;;x
EVTDESC40010;Good news! [From.GetTitledFirstName] died green and bloated like a toad. Unfortunately, the poisoner was apprehended and tortured until he blabbed my name.;;;;;;;;;;;Õîðîøèå íîâîñòè! [From.GetTitledFirstName] óìåð[From.GetNoneE], ïîçåëåíåâ è ðàçäóâøèñü ñëîâíî æàáà. Ê ñîæàëåíèþ, îòðàâèòåëü áûë çàäåðæàí è ïîäâåðãíóò ïûòêàì, âî âðåìÿ êîòîðûõ âûäàë ìî¸ èìÿ.;;x
EVTDESC40020;My spymaster is planning retribution against [FromFrom.GetTitledFirstName] for having attempted the assassination of [From.GetTitledFirstName].;;;;;;;;;;;Ìîé [Root.GetMySpymasterName] ïëàíèðóåò âîçìåçäèå äëÿ [FromFrom.GetAgedPersonDAT], èçâåñòí[FromFrom.GetOyOgo] êàê [FromFrom.GetTitledFirstName] çà ïîïûòêó óáèéñòâà, öåëüþ êîòîðîãî áûë[From.GetEndA] [From.GetTitledFirstName].;;x
EVTDESC40021;[From.GetTitledFirstName] is asking us to deal with an assassination attempt inside our realm. ;;;;;;;;;;;[From.GetTitledFirstName] ïðîñèò, ÷òîáû ìû ðàçîáðàëèñü ñ ïîêóøåíèåì â íàøèõ âëàäåíèÿõ.;;x
EVTDESC40022;[From.GetTitledFirstName] has judged that our rival now have a legitimate claim on our title.;;;;;;;;;;;[From.GetTitledFirstName] ðåøèë[From.GetEndA], ÷òî íàø ñîïåðíèê òåïåðü ìîæåò çàêîííî ïðåòåíäîâàòü íà íàø òèòóë.;;x
EVTDESC40023;[From.GetTitledFirstName] has granted us a claim on our rival for their vile assassinations.;;;;;;;;;;;[From.GetTitledFirstName] äàðîâàë[From.GetEndA] íàì ïîâîä äëÿ âîéíû ñ íàøèì ñîïåðíèêîì çà åãî ãíóñíûå óáèéñòâà.;;x
EVTDESC40024;[From.GetTitledFirstName] has ordered the arrest of our rival for their vile assassinations.;;;;;;;;;;;[From.GetTitledFirstName] ïðèêàçàë[From.GetEndA] àðåñòîâàòü íàøåãî ñîïåðíèêà çà åãî ãíóñíûå óáèéñòâà.;;x
EVTDESC40025;[From.GetTitledFirstName] refuse to deal with our problems with a rival inside [From.GetHerHis] realm.;;;;;;;;;;;[From.GetTitledFirstName] îòêàçà[From.GetLasLsya] ðàçáèðàòüñÿ ñ íàøåé ïðîáëåìîé.;;x
EVTDESC40026;Not only did our assassin get discovered, he also managed to implicate that we were behind it.  Now [From.GetBestName] is showing proofs to everyone in the [Root.PrimaryTitle.GetFullName] that we have broken our feudal contract with a vassal.;;;;;;;;;;;Ìàëî òîãî, ÷òî íàøåãî óáèéöó îáíàðóæèëè, îí åù¸ è âûäàë íàñ. Òåïåðü [From.GetBestName] äåìîíñòðèðóåò âñåì â [Root.PrimaryTitle.GetAdjective]ñêîì ãîñóäàðñòâå äîêàçàòåëüñòâà òîãî, ÷òî ìû íàðóøèëè ôåîäàëüíûé äîãîâîð ñ âàññàëîì.;;x
EVTDESC_63103;On the death of my [GetNewRelation], my [GetFromRelation] [From.GetFirstName] may have been elected [From.PrimaryTitle.GetRulerTitle] of [From.PrimaryTitle.GetName], but I am under no obligation to accept [From.GetObjectPronoun] as my liege!;;;;;;;;;;;Ì[newchar.GetOyaOy] [newchar.GetRootRelation] áîëüøå íå ïðàâèò ïî ïðè÷èíå ñâîåé êîí÷èíû, ïðàâëåíèå ïðèíÿë[From.GetEndA] ì[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName]. Òåïåðü [From.GetSheHe] - [From.PrimaryTitle.GetRulerTitle] [From.PrimaryTitle.GetAdjective]ñêîé çåìëè. Íî íèêòî íå îáÿçûâàåò ìåíÿ ïðèçíàâàòü [From.GetAbsPossPronoun] êàê ñâîåãî ñþçåðåíà.;;x
EVTDESC_63104;My [GetFromRelation] [From.GetFirstName] has chosen independence from my rule.;;;;;;;;;;;[From.GetFirstName], ì[From.GetOyaOy] [From.GetRootRelation] îáúÿâëÿåò î íåçàâèñèìîñòè îò ìåíÿ.;;x
EVTOPTA150;To Arms!;;;;;;;;;;;Ê îðóæèþ!;;x
EVTOPTA151;[Root.Religion.GetRandomGodNameCap] preserve me!;;;;;;;;;;;[Root.Religion.GetHighGodNameCap], ñïàñè ìåíÿ!;;x
EVTOPTA153;To see the sun again!;;;;;;;;;;;ß ñíîâà óâèæó ñîëíöå!;;x
EVTOPTA154;[Root.Religion.GetRandomGodNameCap] curse [From.GetPossPronoun] name!;;;;;;;;;;;[Root.Religion.GetHighGodNameCap], ïðîêëèíàþ èìÿ òâî¸!;;x
EVTOPTA155;I'll be back!;;;;;;;;;;;ß åù¸ âåðíóñü!;;x
EVTOPTA156;Who would want me dead?;;;;;;;;;;;Êòî áû ìîã õîòåòü ìîåé ñìåðòè?;;x
EVTOPTA157;Damned murderers!;;;;;;;;;;;Ïðîêëÿòûå óáèéöû!;;x
EVTOPTA158;Vengeance!;;;;;;;;;;;ß îòîìùó!;;x
EVTOPTA160;[From.GetTitledFirstName] sent him.;;;;;;;;;;;[From.GetTitledFirstName] ïîñëàë[From.GetEndA] åãî.;;x
EVTOPTA161;I will blind [From.GetFirstName] before [From.GetSubjectPronoun] dies!;;;;;;;;;;;ß ñäåëàþ òàê, ÷òî [From.GetFirstName] îñëåïíåò, ïðåæäå ÷åì óìð¸ò!;;x
EVTOPTA162;[Root.Religion.GetRandomGodNameCap] greet my soul!;;;;;;;;;;;[Root.Religion.GetHighGodNameCap], ïðèìè ìîþ äóøó!;;x
EVTOPTA163;A million deaths for [From.GetTitledFirstName]!;;;;;;;;;;;[From.GetTitledFirstName]!;;x
EVTOPTA200;Deus Vult!;;;;;;;;;;;Ýòîãî õî÷åò Áîã!;;x
EVTOPTA290;Approve;;;;;;;;;;;Ìîæåòå íà ìåíÿ ðàññ÷èòûâàòü.;;x
EVTOPTA320;Allahu Akbar!;;;;;;;;;;;Àëëàõó àêáàð!;;x
EVTOPTA324;For [Root.Religion.GetRandomGodName]!;;;;;;;;;;;Ñ íàìè [Root.Religion.GetRandomGodName]!;;x
EVTOPTA328;For God and Israel!;;;;;;;;;;;Âî Èìÿ Áîãà Èçðàèëåâà!;;x
EVTOPTA328_alt;For [Root.Religion.GetHighGodName]!;;;;;;;;;;;Âî èìÿ [Root.GetReligionHighGodGEN]!;;x
EVTOPTA500;Yes, it is everyone's concern;;;;;;;;;;;Äà, ýòî êàñàåòñÿ êàæäîãî;;x
EVTOPTA507;At last!;;;;;;;;;;;Íàêîíåö-òî!;;x
EVTOPTA508;They are a simple people...;;;;;;;;;;;Îíè äëÿ ýòîãî ñëèøêîì ïðèìèòèâíû...;;x
EVTOPTA521;This could be a problem;;;;;;;;;;;Ýòî ìîæåò ñòàòü ïðîáëåìîé;;x
EVTOPTA522;Great;;;;;;;;;;;Ïðåêðàñíî.;;x
EVTOPTA523;Not good;;;;;;;;;;;Âåñüìà ïðèñêîðáíî.;;x
EVTOPTA524;A wise choice.;;;;;;;;;;;Ìóäðûé âûáîð.;;x
EVTOPTA525;What is the [GetFromRootInsult] planning?;;;;;;;;;;;Ýò[From.GetEtaEtot] [GetRootFromInsult] ÿâíî ÷òî-òî çàìûøëÿåò!;;x
EVTOPTA600;How dare they oppose me!;;;;;;;;;;;Äà êàê îíè ñìåþò ìíå ïåðå÷èòü!;;x
EVTOPTA601;If the count doesn't act, I better...;;;;;;;;;;;Âîçìîæíî, ÿ áóäó èì ëó÷øèì ïðàâèòåëåì;;x
EVTOPTA610;They should all be hanged!;;;;;;;;;;;Îíè âñå äîëæíû áûòü ïîâåøåíû!;;x
EVTOPTA621;A Black Day!;;;;;;;;;;;×¸ðíûé Äåíü!;;x
EVTOPTA660;Oh, cruel fate...;;;;;;;;;;;Îõ, ñóäüáà æåñòîêà...;;x
EVTOPTA660_B;How dare she!;;;;;;;;;;;Äà êàê [From.GetSheHe] ïîñìåë[From.GetEndA]!;;x
EVTOPTA661;[FromFrom.GetSheHeCap] will pay for this!;;;;;;;;;;;[FromFrom.GetSheHeCap] çàïëàòèò çà ýòî!;;x
EVTOPTA662;[FromFrom.GetSheHeCap] will pay for this!;;;;;;;;;;;[FromFrom.GetSheHeCap] çàïëàòèò çà ýòî!;;x
EVTOPTA670;For [Root.Religion.GetRandomGodName]!;;;;;;;;;;;Ñ íàìè [Root.Religion.GetHighGodName]!;;x
EVTOPTA40000;To Arms!;;;;;;;;;;;Ê îðóæèþ!;;x
EVTOPTA40002;Let [From.GetObjectPronoun] cower in fear!;;;;;;;;;;;Ïóñòü òðåïåùåò îò ñòðàõà, ÿ äî í[From.GetHersHis] äîáåðóñü!;;x
EVTOPTA40003;Useless thugs...;;;;;;;;;;;Íèê÷¸ìíûå áàíäèòû...;;x
EVTOPTA40004;At least [From.GetSubjectPronoun] took a wound;;;;;;;;;;;Íó, õîòÿ áû ðàíèëè;;x
EVTOPTA40005;On the bright side, they did maim [From.GetHerHim]!;;;;;;;;;;;Íó, õîòÿ áû ïîêàëå÷èëè [From.GetHersHis]!;;x
EVTOPTA40006;This will not help my reputation;;;;;;;;;;;Ýòî íå ïîéä¸ò íà ïîëüçó ìîåé ðåïóòàöèè;;x
EVTOPTA40007;Well, [From.GetSubjectPronoun] did take a wound;;;;;;;;;;;Íó, õîòÿ áû ðàíèëè.;;x
EVTOPTA40008;At least [From.GetSubjectPronoun] lost an eye!;;;;;;;;;;;Ïî êðàéíåé ìåðå [From.GetSheHe] ïîòåðÿë[From.GetEndA] ãëàç!;;x
EVTOPTA40009;I must make sure the assassins stay silent...;;;;;;;;;;;Íàäî óáåäèòüñÿ, ÷òî óáèéöû áóäóò ìîë÷àòü...;;x
EVTOPTA40010;A small price to pay...;;;;;;;;;;;Ýòî íåáîëüøàÿ öåíà...;;x
EVTOPTA40020;Ask our Liege to settle this.;;;;;;;;;;;Ïîïðîøó ñþçåðåíà âñ¸ óëàäèòü.;;x
EVTOPTA40021;I will grant [From.GetObjectPronoun] a claim on the perpetrator's titles.;;;;;;;;;;;ß äàì [From.GetHerHim] âîçìîæíîñòü ïðåòåíäîâàòü íà òèòóëû ïðåñòóïíèêà.;;x
EVTOPTA40022;That is just words...;;;;;;;;;;;Ýòî ïðîñòî ñëîâà...;;x
EVTOPTA40023;Good News!;;;;;;;;;;;Õîðîøèå íîâîñòè!;;x
EVTOPTA40024;Good News!;;;;;;;;;;;Õîðîøèå íîâîñòè!;;x
EVTOPTA40025;Is [From.GetSheHe] mad?;;;;;;;;;;;[From.GetSheHeCap] ïîâðåäè[From.GetLasLsya] ðàññóäêîì?;;x
EVTOPTA40026;This is bad news...;;;;;;;;;;;Ýòî äóðíàÿ âåñòü...;;x
EVTOPTA_63103;The realm should stay one.;;;;;;;;;;;Â åäèíñòâå íàøà ñèëà!;;x
EVTOPTA_63104;Such is [From.GetPossPronoun] right...;;;;;;;;;;;Ýòî [From.GetAbsPossPronoun] ïðàâî...;;x
EVTOPTB_63103;Time to split the realm!;;;;;;;;;;;Ïîðà ðàçäåëèòü ñòðàíó.;;x
EVTOPTB40020;Order the arrest!;;;;;;;;;;;Àðåñòîâàòü [Root.job_spymaster.GetHersHis]!;;x
EVTOPTB40021;Off to the jail.;;;;;;;;;;;Â òþðüìó.;;x
EVTOPTC40020;An eye for an eye...;;;;;;;;;;;Îêî çà îêî...;;x
EVTOPTD40020;It's better to forgive and forget.;;;;;;;;;;;Ëó÷øå ïðîñòèòü è çàáûòü.;;x
EVTOPTD40021;It is not my call...;;;;;;;;;;;ß òóò íè ïðè ÷¸ì.;;x
EVTOPTE40020;Execute [FromFrom.GetHerHim]!;;;;;;;;;;;Êàçíèòü [FromFrom.GetHersHis]!;;x
EVTOPTF40020;Expose the assassins employer!;;;;;;;;;;;Ïóáëè÷íî ðàçîáëà÷èòü íàíèìàòåëÿ óáèéöû!;;x
EVTTOOLTIP40021;Our liege will evaluate our request.;;;;;;;;;;;Cþçåðåí ðàññìîòðèò Âàøó ïðîñüáó.;;x
EVTTOOLTIP40026;will be exposed as an employer of assassins.;;;;;;;;;;;áóäåò ðàçîáëà÷åí[This.GetEndA] êàê íàíèìàòåëü[This.GetEndNitsa] óáèéö;;x
EVTOPTB200;That's no concern of ours...;;;;;;;;;;;Ýòî íå íàøà çàáîòà...;;x
EVTOPTB290;Ignore;;;;;;;;;;;Ïîæàëóé, âîçäåðæóñü.;;x
EVTOPTB500;No, people respect wealth!;;;;;;;;;;;Íåò, ëþäè óâàæàþò áîãàòñòâî!;;x
EVTOPTB621;Pathetic...;;;;;;;;;;;Òàê âîëíèòåëüíî…;;x
EVTOPTB662;I will never rest until [FromFrom.GetSheHe] is brought to justice!;;;;;;;;;;;ß íå óñïîêîþñü, ïîêà [FromFrom.GetSheHe] íå áóäåò íàêàçàí[FromFrom.GetEndA]!;;x
EVTOPTB670;Embrace the Reformation!;;;;;;;;;;;Ïðèíÿòü Ðåôîðìàöèþ!;;x
EVTOPTC200;Foolish Infidels!;;;;;;;;;;;Ãëóïûå èíîâåðöû!;;x
EVTOPTC290;Decline;;;;;;;;;;;ß ãîëîñóþ ïðîòèâ.;;x
EVTOPTC621;The heretics falter!;;;;;;;;;;;Åðåòèêè äðîãíóëè!;;x
EVTOPTC670;The old ways are still best;;;;;;;;;;;Ñòàðûé ïóòü ïî-ïðåæíåìó ëó÷øå!;;x
EVTOPTD200;To Arms!;;;;;;;;;;;Ê îðóæèþ!;;x
EVTOPTD670;They are still barbarians!;;;;;;;;;;;Îíè ïî-ïðåæíåìó âàðâàðû!;;x
EVTOPTE200;What Terrible News!;;;;;;;;;;;Óæàñíûå âåñòè!;;x
EVT527_TOOLTIP;§Y[From.GetTitledFirstName]§! takes a place on your council.;;;;;;;;;;;§Y[From.GetTitledFirstName]§! çàéì¸ò ìåñòî â Âàøåì ñîâåòå.;;x
EVTDESCdiploresponse.1;I, [From.GetBestName], accept your proposal for an Alliance!;;;;;;;;;;;ß, [From.GetTitledFirstName], ïðèíèìàþ Âàøå ïðåäëîæåíèå îá àëüÿíñå.;;x
EVTDESCdiploresponse.2;I, [From.GetBestName], unfortunately have to decline your proposal for an Alliance!;;;;;;;;;;;ß, [From.GetTitledFirstName], îòâåðãàþ Âàøå ïðåäëîæåíèå îá àëüÿíñå.;;x
EVTNAME200;[Root.Religion.GetCrusadeName] for [GetCrusadeTarget]!;;;;;;;;;;;[Root.Religion.GetCrusadeName];;x
EVTNAME200_NEWCRUSADETARGET;[crusade_title.GetBaseName];;;;;;;;;;;[crusade_title.GetBaseName];;x
EVTNAME200_OLDCRUSADETARGET;[From.GetBaseName];;;;;;;;;;;[From.GetBaseName];;x
EVTNAME620;Successful [From.Religion.GetCrusadeName]!;;;;;;;;;;;[From.Religion.GetCrusadeName] ñîñòîÿëñÿ!;;x
EVTNAME621;The [From.Religion.GetCrusadeName] Fails!;;;;;;;;;;;[From.Religion.GetCrusadeName] ïðîâàëèëñÿ!;;x
EVTNAME670;The [Root.Religion.GetName] Reformation;;;;;;;;;;;Påôîðìàöèÿ [Root.GetReligionNameGEN];;x
