EVTOPTA_CM_4013;Spare me your lamentations!;;;;;;;;;;;Èçáàâüòå ìåíÿ îò ñâîèõ ñòåíàíèé!;;x
EVTDESC_SOA_2161;Your majesty, this antagonism is completely unwarranted! The Spirit Guardians walk with the Spirits and are prepared to give their lives to defend them, but, one has to wonder, are you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ïîäîáíûé àíòàãîíèçì ñîâåðøåííî íå îïðàâäàí! Äóõîâíûå Õðàíèòåëè åäèíû ñ Äóõàìè è ãîòîâû îòäàòü æèçíü, ÷òîáû çàùèòèòü èõ, íî ìîæíî ëè ñêàçàòü òàêîå î Âàñ?\nÂ ãíåâå è ïå÷àëè,\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_2209;The Slavic faith has been reformed and this has led to a religious fervor throughout the lands of the Slavs the likes of which has never been seen before. Many of the greatest champions have come together to form a new Slavic holy order. They call themselves the Warriors of Perun, the god of thunder, and have all taken vows to defend the Slavic faith and its believers to their dying breaths.;;;;;;;;;;;"Ðåôîðìàöèÿ ñëàâÿíñêîé ÿçû÷åñêîé âåðû ïðèâåëà ê ðîñòó ðåëèãèîçíîñòè ñðåäè ñëàâÿí íåâèäàííîãî ïðåæäå ðàçìàõà. Çíàòíûå áîãàòûðè è äîáðûå ìîëîäöû ñîáðàëèñü âìåñòå, ÷òîáû îñíîâàòü íîâûé äóõîâíûé îðäåí. Îíè íàçûâàþò ñåáÿ ""Âîèíû Ïåðóíà"", áîãà ãðîìà, è ïîêëÿëèñü çàùèùàòü ðîäíóþ âåðó è å¸ ïîñëåäîâàòåëåé äî ïîñëåäíåãî âçäîõà.";;x
EVTDESC_SOA_2231;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Warriors of Perun in their heroic deeds to smite the enemies of the gods, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ ïðèñîåäèíèòüñÿ ê Âîèíàì Ïåðóíà â èõ ãåðîè÷åñêèõ ñâåðøåíèÿõ, íåñìîòðÿ íà òî, ÷òî ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ.;;x
EVTDESC_SOA_2241;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our quest to serve the will of Perun! You have my friendship, as well as that of the priesthood.\n\nMay Perun watch over you,\nWarchief [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñòîëü ùåäðûé äàð çíà÷èòåëüíî ïîìîæåò íàì â ñòðåìëåíèè ñëóæèòü âîëå Ïåðóíà! Âû ìîæåòå ðàññ÷èòûâàòü íà ìîþ äðóæáó è ïîääåðæêó æðåöîâ.\nÏóñòü Ïåðóí îáåðåãàåò Âàñ,\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_2253;Most righteous [Root.GetTitledFirstName], the Warriors of Perun are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay Perun watch over you,\nWarchief [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], Âîèíû Ïåðóíà íóæäàþòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè, à â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nÏóñòü Ïåðóí îáåðåãàåò Âàñ!\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_2254;The Warriors of Perun have constructed a castle in [Root.GetName]!;;;;;;;;;;;Âîèíû Ïåðóíà ïîñòðîèëè çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_2261;Your majesty, this antagonism is completely unwarranted! The Warriors of Perun serve at the pleasure of the gods, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ïîäîáíûé àíòàãîíèçì ñîâåðøåííî íå îïðàâäàí! Âîèíû Ïåðóíà ðàäóþò áîãîâ è âåðíî ñëóæàò èì, íî ìîæíî ëè ñêàçàòü òàêîå î Âàñ?\nÂ ãíåâå è ïå÷àëè,\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_2309;Perkunas, the god of thunder, has spoken! As the Romuvan religion reforms to better face the modern world, several champions have stepped forward, claiming that Perkunas has willed them to found a new holy order. The Chosen of Perkunas, as they call themselves, have sworn to defend the Romuvan faith and to direct the wrath of the gods towards the skulls of their enemies.;;;;;;;;;;;Ïåðêóíàñ, áîã ãðîìà, ïðîÿâèë ñåáÿ! Áàëòèéñêàÿ âåðà áûëà ðåôîðìèðîâàíà, ÷òîáû âñòðåòèòü âûçîâû ñîâðåìåííîñòè, è ñëàâíûå âîèíû âûñòóïèëè ñ óòâåðæäåíèåì, ÷òî ñàì Ïåðêóíàñ ïîâåëåë èì îñíîâàòü íîâûé äóõîâíûé îðäåí. Èçáðàííèêè Ïåðêóíàñà, êàê îíè ñåáÿ íàçûâàþò, ïîêëÿëèñü çàùèùàòü áàëòèéñêóþ âåðó è íàïðàâèòü ãíåâ áîãîâ íà ÷åðåïà ñâîèõ âðàãîâ.;;x
EVTDESC_SOA_2331;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Chosen of Perkunas in their war against unbelievers, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ ïðèñîåäèíèòüñÿ ê Èçáðàííèêàì Ïåðêóíàñà â èõ âîéíå ñ íåâåðíûìè, íåñìîòðÿ íà òî, ÷òî ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ.;;x
EVTDESC_SOA_2341;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our quest to serve the will of Perkunas! You have my friendship, as well as that of the priesthood.\n\nMay Perkunas watch over you,\nWarchief [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñòîëü ùåäðûé äàð çíà÷èòåëüíî ïîìîæåò íàì â ñòðåìëåíèè ñëóæèòü âîëå Ïåðêóíàñà! Âû ìîæåòå ðàññ÷èòûâàòü íà ìîþ äðóæáó è ïîääåðæêó æðåöîâ.\nÏóñòü Ïåðêóíàñ îáåðåãàåò Âàñ,\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_2353;Most righteous [Root.GetTitledFirstName], the Chosen of Perkunas are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay Perkunas watch over you,\nWarchief [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], Èçáðàííèêè Ïåðêóíàñà íóæäàþòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè, à â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nÏóñòü Ïåðêóíàñ îáåðåãàåò Âàñ!\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_2354;The Chosen of Perkunas have constructed a castle in [Root.GetName]!;;;;;;;;;;;Èçáðàííèêè Ïåðêóíàñà ïîñòðîèëè çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_2361;Your majesty, this antagonism is completely unwarranted! The Chosen of Perkunas serve at the pleasure of the gods, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ïîäîáíûé àíòàãîíèçì ñîâåðøåííî íå îïðàâäàí! Èçáðàííèêè Ïåðêóíàñà ðàäóþò áîãîâ è âåðíî ñëóæàò èì, íî ìîæíî ëè ñêàçàòü òàêîå î Âàñ?\nÂ ãíåâå è ïå÷àëè,\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_2409;A new Finnish holy order has surfaced dedicated to the preservation and defense of the new reformed Suomenusko religion. These warriors call themselves the 'Sons of Kaleva' and they are prepared to march into battle against all those who would deny the truth of their faith. Many Finns look upon them as the heroes of their ancient myths, and they seem to have no shortage of recruits.;;;;;;;;;;;"Íîâûé äóõîâíûé îðäåí îñíîâàí äëÿ çàùèòû è ñîõðàíåíèÿ ðåôîðìèðîâàííîé ôèíñêîé ðåëèãèè. Ýòè âîèíû íàçûâàþò ñåáÿ ""Ñûíû Êàëåâû"" è ãîòîâû èäòè â áîé ïðîòèâ ëþáîãî, êòî ñòàíåò îòðèöàòü èñòèííîñòü èõ âåðû. Ìíîãèå ôèííû ñìîòðÿò íà íèõ, êàê íà ãåðîåâ ñâîèõ äðåâíèõ ìèôîâ, ïîýòîìó, ïîõîæå, ýòîò îðäåí íå èñïûòûâàåò íåäîñòàòêà â íîâîáðàíöàõ.";;x
EVTDESC_SOA_2431;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the heroes in the Sons of Kaleva in struggle against heathens, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ ïðèñîåäèíèòüñÿ ê Ñûíîâüÿì Êàëåâû â èõ áîðüáå ñ íåâåðíûìè, íåñìîòðÿ íà òî, ÷òî ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ.;;x
EVTDESC_SOA_2441;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our quest to serve the will of Kaleva! You have my friendship, as well as that of the priesthood.\n\nMay the Gods watch over you,\nWarchief [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñòîëü ùåäðûé äàð çíà÷èòåëüíî ïîìîæåò íàì â ñòðåìëåíèè ñëóæèòü âîëå Êàëåâû! Âû ìîæåòå ðàññ÷èòûâàòü íà ìîþ äðóæáó è ïîääåðæêó æðåöîâ.\nÏóñòü áîãè îáåðåãàåò Âàñ,\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_2453;Most righteous [Root.GetTitledFirstName], the Sons of Kaleva are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay the Gods watch over you,\nWarchief [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], Ñûíû Êàëåâû íóæäàþòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè, à â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nÏóñòü áîãè îáåðåãàþò Âàñ!\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_2454;The Sons of Kaleva have constructed a castle in [Root.GetName]!;;;;;;;;;;;Ñûíîâüÿ Êàëåâû ïîñòðîèëè çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_2461;Your majesty, this antagonism is completely unwarranted! The Sons of Kaleva serve at the pleasure of the gods, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ïîäîáíûé àíòàãîíèçì ñîâåðøåííî íå îïðàâäàí! Ñûíîâüÿ Êàëåâû ðàäóþò áîãîâ è âåðíî ñëóæàò èì, íî ìîæíî ëè ñêàçàòü òàêîå î Âàñ?\nÂ ãíåâå è ïå÷àëè,\nÏðåäâîäèòåëü [From.GetFirstName];;x
EVTDESC_SOA_2509;The Easterners across the sea have more religions than a parrot has feathers, but the Aztec faith has now been reformed and reorganized to better stand against the heathens. Several warrior-priests have also founded a new holy order: the Cult of Huitzilopochtli. Devoted to the Aztec deity of war, this cult is bent on the forceful conversion of the world – preferably with lots of human sacrifice in the process.;;;;;;;;;;;Â âîñòî÷íûõ çåìëÿõ çà ìîðåì áîëüøå ðåëèãèé, ÷åì ïåðüåâ ó ïîïóãàÿ, íî òåïåðü àöòåêñêàÿ âåðà ðåôîðìèðîâàíà è ðåîðãàíèçîâàíà, ÷òîáû ëó÷øå ïðîòèâîñòîÿòü ÿçû÷íèêàì. Íåñêîëüêî âîèíîâ-æðåöîâ îñíîâàëè íîâûé äóõîâíûé îðäåí: Êóëüò Óèöèëîïî÷òëè. Ïîñâÿù¸ííûé àöòåêñêîìó áîæåñòâó âîéíû, ýòîò êóëüò îïèðàåòñÿ íà íàñèëüñòâåííîå ïðåîáðàçîâàíèå ìèðà, ïðåäïî÷òèòåëüíî ñ ìíîæåñòâîì ÷åëîâå÷åñêèõ æåðòâîïðèíîøåíèé.;;x
EVTDESC_SOA_2531;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Cult of Huitzilopochtli in their ongoing efforts to rip the heart out of every heathen unbeliever, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ âñòóïèòü â Êóëüò Óèöèëîïî÷òëè, ÷òîáû âûðûâàòü ñåðäöà íåâåðíûõ, íåñìîòðÿ íà òî, ÷òî ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ.;;x
EVTDESC_SOA_2541;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in organizing the sacrifice rituals that Huitzilopochtli demand! You have my friendship, as well as that of the priesthood.\n\nHuitzilopochtli's faithful servant,\nHigh Priest [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñòîëü ùåäðûé äàð çíà÷èòåëüíî ïîìîæåò íàì â ðèòóàëàõ è æåðòâîïðèíîøåíèÿõ, êîòîðûõ òðåáóåò Óèöèëîïî÷òëè! Âû ìîæåòå ðàññ÷èòûâàòü íà ìîþ äðóæáó è ïîääåðæêó æðåöîâ.\nÂåðõîâí[From.GetAyaYy] æð[From.GetItsaEts] Óèöèëîïî÷òëè, [From.GetFirstName];;x
EVTDESC_SOA_2553;Most righteous [Root.GetTitledFirstName], the Cult of Huitzilopochtli are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nHuitzilopochtli's faithful servant,\nHigh Priest [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], Êóëüò Óèöèëîïî÷òëè íóæäàåòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè, à â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nÂåðõîâí[From.GetAyaYy] æð[From.GetItsaEts] Óèöèëîïî÷òëè, [From.GetFirstName];;x
EVTDESC_SOA_2554;The Cult of Huitzilopochtli has constructed a castle in [Root.GetName]!;;;;;;;;;;;Êóëüò Óèöèëîïî÷òëè ïîñòðîèë çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_2561;Your majesty, this antagonism is completely unwarranted! The Cult of Huitzilopochtli serve the will of Huitzilopochtli, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nHigh Priest [From.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ïîäîáíûé àíòàãîíèçì ñîâåðøåííî íå îïðàâäàí! Êóëüò Óèöèëîïî÷òëè ñëóæèò âîëå Óèöèëîïî÷òëè, íî ñëóæèòå ëè Âû?\nÂ ãíåâå è ïå÷àëè,\nÂåðõîâí[From.GetAyaYy] æð[From.GetItsaEts] Óèöèëîïî÷òëè, [From.GetFirstName];;x
EVTDESC_SOA_2609;This chivalric order owes its name to Santiago Matamoros, or Saint James the Moorslayer as he is known in other parts of the world. The Order of Santiago enjoys the official sponsorship of the [Root.Religion.GetName] Church and its knights have all sworn to purge entire realms of heathens and heretics if so requested by a [Root.Religion.GetName] ruler.;;;;;;;;;;;Ýòîò ðûöàðñêèé îðäåí ïîëó÷èë ñâî¸ èìÿ îò Ñàíòüÿãî Ìàòàìîðîñà, èëè Ñâÿòîãî Äæåéìñà Ìàâðîáîðöà, êàê åãî åù¸ íàçûâàþò. [Root.GetReligionFullName] â ëèöå åãî Öåðêâè îôèöèàëüíî ïîääåðæèâàåò ýòîò îðäåí. Âñå åãî ðûöàðè ïîêëÿëèñü î÷èñòèòü öåëûå ñòðàíû îò ÿçû÷íèêîâ è åðåòèêîâ ïî ïðîñüáå ëþáîãî ïðàâèòåëÿ, èñïîâåäóþùåãî [Root.GetReligionFullName].;;x
EVTDESC_SOA_2631;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Knights of Santiago in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ âñòóïèòü â ðÿäû Ðûöàðåé Ñàíòüÿãî, ÷òîáû ñðàæàòüñÿ ïðîòèâ èíîâåðöåâ, íåñìîòðÿ íà òî, ÷òî ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ.;;x
EVTDESC_SOA_2653;Most righteous [Root.GetTitledFirstName], the Knights of Santiago need more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nPax Christi,\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], Ðûöàðè Ñàíòüÿãî íóæäàþòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè. ß îáðàòèë[From.GetEndA] âíèìàíèå, ÷òî â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nPax Christi,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_2654;The Knights of Santiago have constructed a castle in [Root.GetName]!;;;;;;;;;;;Ðûöàðè Ñàíòüÿãî ïîñòðîèëè çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_2661;Your majesty, this antagonism is completely unwarranted! The Knights of Santiago serve Christ, but, one has to wonder, do you?\nWith anger and sadness,\n\nGrand Master [From.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ïîäîáíûé àíòàãîíèçì ñîâåðøåííî íå îïðàâäàí! Ðûöàðè Ñàíòüÿãî ñëóæàò Õðèñòó, íî ñòîèò çàäàòüñÿ âîïðîñîì - ñëóæèòå ëè Åìó Âû?\nÂ ãíåâå è ïå÷àëè,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_2709;The Order of Calatrava is the most recent addition to the soldiers of the Cross, having just been endorsed in a decree issued by the [Root.Religion.GetName] Church. These knights take their name from a castle recovered in Iberia from the clutches of the Moslem infidel, and they stand ready to combat heathens and defend the pious in the name of any [Root.Religion.GetName] ruler who is willing to provide for their upkeep.;;;;;;;;;;;Îðäåí Êàëàòðàâû - ýòî ñàìîå ïîñëåäíåå äîáàâëåíèå ê âîèíàì Êðåñòà, òîëüêî ÷òî îäîáðåííîå óêàçîì Öåðêâè. Îðäåí âçÿë ñâî¸ èìÿ ó çàìêà, âûðâàííîãî â Èáåðèè èç ëàï ìóñóëüìàí. Ýòè ðûöàðè ãîòîâû áîðîòüñÿ ñ ÿçû÷íèêàìè è çàùèùàòü áëàãî÷åñòèâûõ âî èìÿ ëþáîãî ïðàâèòåëÿ, èñïîâåäóþùåãî [Root.GetReligionFullName], êîòîðûé ãîòîâ îáåñïå÷èòü èõ ñîäåðæàíèå.;;x
EVTDESC_SOA_2731;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Knights of Calatrava in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïðîñèò ó ìåíÿ ðàçðåøåíèÿ âñòóïèòü â ðÿäû Ðûöàðåé Êàëàòðàâû, ÷òîáû ñðàæàòüñÿ ïðîòèâ èíîâåðöåâ, íåñìîòðÿ íà òî, ÷òî ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ.;;x
EVTDESC_SOA_2753;Most righteous [Root.GetTitledFirstName], the Knights of Calatrava need more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nPax Christi,\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], Ðûöàðè Ñàíòüÿãî íóæäàþòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè. ß îáðàòèë[From.GetEndA] âíèìàíèå, ÷òî â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nPax Christi,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_2754;The Knights of Calatrava have constructed a castle in [Root.GetName]!;;;;;;;;;;;Ðûöàðè Êàëàòðàâû ïîñòðîèëè çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_SOA_2761;Your majesty, this antagonism is completely unwarranted! The Knights of Calatrava serve Christ, but, one has to wonder, do you?\n\nWith anger and sadness,\nGrand Master [From.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ïîäîáíûé àíòàãîíèçì ñîâåðøåííî íå îïðàâäàí! Ðûöàðè Êàëàòðàâû ñëóæàò Õðèñòó, íî ñòîèò çàäàòüñÿ âîïðîñîì - ñëóæèòå ëè Åìó Âû?\nÂ ãíåâå è ïå÷àëè,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_2809;The imperative to protect the Holy Places for Nestorian Christianity has caused the Catholicos, [Root.RelHead.GetTitledName], to declare the creation of a holy brotherhood of warrior monks - the Order of Saint Addai, named after the apostle who spread Christianity to Syria and Mesopotamia. They stand ready to smite heathens and infidels and protect the righteous in the name of any [Root.Religion.GetName] ruler who is willing to provide for their upkeep.;;;;;;;;;;;Íåîáõîäèìîñòü çàùèòû ñâÿòûõ ìåñò íåñòîðèàíñêîãî õðèñòèàíñòâà ïîáóäèëà Êàòîëèêîñà, èçâåñòíîãî êàê [Root.RelHead.GetTitledName], îáúÿâèòü î ñîçäàíèè ñâÿòîãî áðàòñòâà ìîíàõîâ-âîèíîâ - îðäåíà Ñâÿòîãî Ôàääåÿ, íàçâàííîãî â ÷åñòü àïîñòîëà, êîòîðûé ðàñïðîñòðàíÿë õðèñòèàíñòâî â Ñèðèè è Ìåñîïîòàìèè. Îíè ãîòîâû ïîðàçèòü ÿçû÷íèêîâ è íåâåðíûõ, è çàùèòèòü ïðàâåäíèêîâ âî èìÿ ëþáîãî ïðàâèòåëÿ, èñïîâåäóþùåãî [Root.GetReligionFullName], êîòîðûé ñîãëàñèòñÿ èõ ôèíàíñèðîâàòü.;;x
EVTDESC_SOA_2831;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Order of Saint Addai in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetTitledFirstName] òðåáóåò ïðèñîåäèíåíèÿ ê îðäåíó Ñâÿòîãî Ôàääåÿ â èõ áîðüáå ñ íåâåðíûìè, äàæå åñëè ýòî ëèøèò [From.GetHersHis] ïðàâà íàñëåäåâàíèÿ.;;x
EVTDESC_SOA_2853;Most righteous [Root.GetTitledFirstName], the Order of Saint Addai needs more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nPax Christi,\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], îðäåíó Ñâÿòîãî Ôàääåÿ íóæíî áîëüøå êðåïîñòåé äëÿ òðåíèðîâêè ïåõîòû è ïðîèçâîäñòâà äîõîäà. Åñòü ïîäõîäÿùåå ìåñòî â Âàøåì ãîñóäàðñòâå - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß ïðåäîñòàâëÿþ Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü çäåñü êðåïîñòü.\nPax Christi,\nÂåëèêèé Ìàãèñòð [From.GetFirstName];;x
EVTDESC_SOA_2854;The Order of Saint Addai has constructed a castle in [Root.GetName]!;;;;;;;;;;;Îðäåí Ñâÿòîãî Ôàääåÿ îñíîâàë çàìîê â ìåñòå, èçâåñòíîì êàê [Root.GetName]!;;x
EVTDESC_SOA_2861;Your majesty, this antagonism is completely unwarranted! The Order of Saint Addai serve Christ, but, one has to wonder, do you?\n\nWith anger and sadness,\nGrand Master [From.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ýòà âðàæäà àáñîëþòíî íåîïðàâäàííà! Îðäåí Ñâÿòîãî Ôàääåÿ ñëóæèò Õðèñòó, íî ñëóæèòå ëè åìó Âû?\nÑî çëîñòüþ è ñêîðáüþ,\nÂåëèêèé Ìàãèñòð [From.GetFirstName];;x
EVTDESC_SoA_2862;My husband, [demanded_child.GetName], has gone off to join the [demanded_child.Liege.PrimaryTitle.GetName]. This effectively annuls our marriage...;;;;;;;;;;;Ì[FromFromFrom.GetOyaOy] [FromFromFrom.GetHusbandWife] [FromFromFrom.GetName], ðåøèë[FromFromFrom.GetEndA] âñòóïèòü â [FromFromFrom.Liege.PrimaryTitle.GetName], è òåì ñàìûì àííóëèðîâàë[FromFromFrom.GetEndA] íàø áðàê...;;x
