#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTTITLEHF25200;The Arm-wrestling Challenge;;;;;;;;;;;Àðìðåñòëèíã;;x
EVTDESCBHF25205;Slowly but surely [arm_wrestling_fighter_1.GetFirstName] is gaining ground. Inch by inch, [arm_wrestling_fighter_1.GetSheHe] is pushing my fist closer and closer towards the table. I am starting to lose breath, my face is red and covered in sweat, yet I still cannot manage to push back against [arm_wrestling_fighter_1.GetHerHis] grip. I might simply not be strong enough to win this match...;;;;;;;;;;;Ìåäëåííî, íî âåðíî [arm_wrestling_fighter_1.GetFirstName] îäåðæèâàåò âåðõ. Äþéì çà äþéìîì [arm_wrestling_fighter_1.GetSheHe] ïîäòàëêèâàåò ìîé êóëàê âñ¸ áëèæå è áëèæå ê ñòîëó. ß íà÷èíàþ çàäûõàòüñÿ, ìî¸ ëèöî ïîêðàñíåëî è ïîêðûëîñü ïîòîì, íî ÿ âñ¸ åù¸ íå ìîãó ïðîòèâîñòîÿòü [arm_wrestling_fighter_1.GetHerHis] õâàòêå. Âîçìîæíî, ìíå ïðîñòî íå õâàòèëî ñèë, ÷òîáû âûèãðàòü ýòîò ìàò÷...;;x
EVTDESCBHF25209;Slowly but surely, I manage to push [From.GetFirstName]'s hand closer and closer to the table. I grit my teeth and chuckle, glancing at my opponent to revel in my imminent victory. [From.GetFirstName] looks back at me with a smile and winks at me, making my heart skip a beat.;;;;;;;;;;;Ìåäëåííî, íî âåðíî ìíå óäà¸òñÿ ïîäòàëêèâàòü ðóêó [From.GetFirstName] âñ¸ áëèæå è áëèæå ê ñòîëó. ß ñòèñêèâàþ çóáû è óñìåõàþñü, ãëÿäÿ íà ïðîòèâíèêà, ÷òîáû íàñëàäèòüñÿ íåìèíóåìîé ïîáåäîé. [From.GetFirstName] ñìîòðèò íà ìåíÿ ñ óëûáêîé è ïîäìèãèâàåò, îò ÷åãî ìî¸ ñåðäöå ó÷àù¸ííî áü¸òñÿ.;;x
EVTDESCBHF25255;[From.GetTitledFirstName] calls my name from the other side of the dining hall, standing on one of the long tables, challenging me to a Flyting. [Root.GetProwessInsultDesc];;;;;;;;;;;Ïðÿìî âî âðåìÿ óæèíà [From.GetTitledFirstName] âäðóã âûêðèêíóë[From.GetEndA] ìî¸ èìÿ ñ äðóãîé ñòîðîíû çàëà è âûçâàë[From.GetEndA] ìåíÿ íà ôëèòèíã - òðàäèöèîííóþ ïåðåáðàíêó. [Root.GetProwessInsultDesc];;x
EVTDESCBHF25257;[From.GetTitledFirstName] calls my name from the other side of the dining hall, standing on one of the long tables, challenging me to a Flyting. [Root.GetCharacterInsultDesc];;;;;;;;;;;Ïðÿìî âî âðåìÿ óæèíà [From.GetTitledFirstName] âäðóã âûêðèêíóë[From.GetEndA] ìî¸ èìÿ ñ äðóãîé ñòîðîíû çàëà è âûçâàë[From.GetEndA] ìåíÿ íà ôëèòèíã - òðàäèöèîííóþ ïåðåáðàíêó. [Root.GetCharacterInsultDesc];;x
EVTDESCBHF25259;[From.GetTitledFirstName] calls my name from the other side of the dining hall, standing on one of the long tables, challenging me to a Flyting. [Root.GetAccomplishmentsInsultDesc];;;;;;;;;;;Ïðÿìî âî âðåìÿ óæèíà [From.GetTitledFirstName] âäðóã âûêðèêíóë[From.GetEndA] ìî¸ èìÿ ñ äðóãîé ñòîðîíû çàëà è âûçâàë[From.GetEndA] ìåíÿ íà ôëèòèíã - òðàäèöèîííóþ ïåðåáðàíêó. [Root.GetAccomplishmentsInsultDesc];;x
EVTDESCBHF25261;[From.GetTitledFirstName] calls my name from the other side of the dining hall, standing on one of the long tables, challenging me to a Flyting. [Root.GetFamilyInsultDesc];;;;;;;;;;;Ïðÿìî âî âðåìÿ óæèíà [From.GetTitledFirstName] âäðóã âûêðèêíóë[From.GetEndA] ìî¸ èìÿ ñ äðóãîé ñòîðîíû çàëà è âûçâàë[From.GetEndA] ìåíÿ íà ôëèòèíã - òðàäèöèîííóþ ïåðåáðàíêó. [Root.GetFamilyInsultDesc];;x
EVTDESCBHF25288;One by one, the other contenders either tap out or fall unconscious. I cannot see straight anymore and everything is blurry, but I am still standing. Unfortunately, so is [warrior_lodge_drinking_finalist_1.GetFirstName], and [warrior_lodge_drinking_finalist_1.GetSheHe] looks far more resilient than me right now.;;;;;;;;;;;Îäèí çà äðóãèì îñòàëüíûå ïðåòåíäåíòû ëèáî ñäàþòñÿ, ëèáî ïàäàþò áåç ñîçíàíèÿ. ß áîëüøå íå ìîãó ÷¸òêî âèäåòü, è âñ¸ ðàçìûòî, íî ÿ âñ¸ åù¸ ñòîþ. Ê ñîæàëåíèþ, êàê è [warrior_lodge_drinking_finalist_1.GetFirstName], è [warrior_lodge_drinking_finalist_1.GetSheHe] ñåé÷àñ âûãëÿäèò ãîðàçäî áîëåå ñòîéê[warrior_lodge_drinking_finalist_2.GetOyIm], ÷åì ÿ.;;x
EVTOPTAHF25200;I will pick the strongest I can find!;;;;;;;;;;;ß âûáåðó ñàìîãî ñèëüíîãî, êîòîðîãî ñìîãó íàéòè!;;x
EVTOPTAHF25201;You are on!;;;;;;;;;;;Äà áóäåò òàê!;;x
EVTOPTAHF25202;Pathetic!;;;;;;;;;;;Æàëê[From.GetAyaIy]!;;x
EVTOPTAHF25203;Hnnnngh!;;;;;;;;;;;Õííííãõ!;;x
EVTOPTAHF25205;*Sneakily slide your elbow*;;;;;;;;;;;*Íåçàìåòíî ñêîëüçíóòü ëîêòåì*;;x
EVTOPTAHF25206;Do not move your elbow, cheater!;;;;;;;;;;;Íå äâèãàé ëîêòåì, ìîøåííè[From.GetTsaK]!;;x
EVTOPTAHF25209;Not interested!;;;;;;;;;;;Íå èíòåðåñíî!;;x
EVTOPTAHF25212;Do you think I am that stupid?;;;;;;;;;;;Âû äóìàåòå, ÷òî ÿ òàê[Root.GetAyaOy] ãëóï[Root.GetAyaYy]?;;x
EVTOPTAHF25215;What sort of weakling are you?;;;;;;;;;;;Ïî÷åìó âû òàê ñëàáû?;;x
EVTOPTAHF25216;Oh, shut up!;;;;;;;;;;;Äà çàòêíèòåñü óæå!;;x
EVTOPTAHF25217;I need to train more...;;;;;;;;;;;Ìíå íóæíî áîëüøå òðåíèðîâàòüñÿ...;;x
EVTOPTAHF25218;I wonder if [From.GetSheHe] feels the same...;;;;;;;;;;;Èíòåðåñíî, ÷óâñòâóåò ëè [From.GetSheHe] òî æå ñàìîå...;;x
EVTOPTAHF25219;And I happen to think the same about you.;;;;;;;;;;;È ÿ äóìàþ î òåáå òî æå ñàìîå..;;x
EVTOPTAHF25220;Interested in some late-night training?;;;;;;;;;;;Õî÷åøü ïîó÷àñòâîâàòü â íî÷íûõ òðåíèðîâêàõ?;;x
EVTOPTAHF25221;I should have known...;;;;;;;;;;;ß äîëæ[Root.GetNaEn] áûë[Root.GetEndA] äîãàäàòüñÿ...;;x
EVTOPTAHF25222;We should be friends!;;;;;;;;;;;Ìû äîëæíû ñòàòü äðóçüÿìè!;;x
EVTOPTAHF25223;Thanks. I feel the same about you, [From.GetFirstName].;;;;;;;;;;;Áëàãîäàðþ! ß äóìàþ òîæå ñàìîå è î òåáå, [From.GetFirstName].;;x
EVTOPTAHF25224;I couldn't ask for a better friend, [From.GetFirstName]!;;;;;;;;;;;ß íå ìîã[Root.GetNoneE] è ìå÷òàòü î ëó÷øåì äðóãå, [From.GetFirstName]!;;x
EVTOPTAHF25225;What a shame...;;;;;;;;;;;Êàêàÿ æàëîñòü...;;x
EVTOPTAHF25226;Alright, then! Pass me the die!;;;;;;;;;;;Ëàäíî! Ïåðåäàéòå ìíå êóáèê!;;x
EVTOPTAHF25227;All in!;;;;;;;;;;;Âñ¸ íà íåãî!;;x
EVTOPTAHF25228;I bet on Krita!;;;;;;;;;;;Ñòàâëþ íà Êðèòó!;;x
EVTOPTAHF25228_HELLENIC;I bet on Apollo!;;;;;;;;;;;Ñòàâëþ íà Àïîëëîíà!;;x
EVTOPTAHF25229;Luckily, I am using my weighted die.;;;;;;;;;;;Ê ñ÷àñòüþ, ÿ èñïîëüçóþ ñâîé óòÿæåë¸ííûé êóáèê.;;x
EVTOPTAHF25230;It's not what it seems!;;;;;;;;;;;Ýòî íå òî, ÷åì êàæåòñÿ!;;x
EVTOPTAHF25231;Let's go again! Double or nothing!;;;;;;;;;;;Äàâàéòå ñíîâà! ß óäâàèâàþ ñòàâêó!;;x
EVTOPTAHF25232;I wasn't doing anything, I swear!;;;;;;;;;;;ß íè÷åãî íå äåëàë[Root.GetEndA], êëÿíóñü!;;x
EVTOPTAHF25233;Stupid die...;;;;;;;;;;;Òàê ãëóïî ïðîèãðàòü...;;x
EVTOPTAHF25234;Let's go again! Double or nothing!;;;;;;;;;;;Äàâàéòå ñíîâà! ß óäâàèâàþ ñòàâêó!;;x
EVTOPTAHF25235;Yes! Let's go again, double or nothing!;;;;;;;;;;;Äàâàéòå ñíîâà! ß óäâàèâàþ ñòàâêó!;;x
EVTOPTAHF25236;Yes! Won again!;;;;;;;;;;;Äà! Ñíîâà âûèãðûø!;;x
EVTOPTAHF25237;What a great night!;;;;;;;;;;;Êàêàÿ çàìå÷àòåëüíàÿ íî÷ü!;;x
EVTOPTAHF25238;Come on, folks, pay up!;;;;;;;;;;;Äàâàéòå, ðåáÿòà, ïëàòèòå!;;x
EVTOPTAHF25239;Already tired of playing, [From.GetFirstName]?;;;;;;;;;;;Óæå íàäîåëî èãðàòü, [From.GetFirstName]?;;x
EVTOPTAHF25240;Perhaps you should not bet what you do not have?;;;;;;;;;;;Âîçìîæíî, íå ñòîèò ñòàâèòü íà êîí òî, ÷åãî ó âàñ íåò?;;x
EVTOPTAHF25241;I will think about this favor you owe me...;;;;;;;;;;;ß ïîäóìàþ îá ýòîé óñëóãå, êîòîðóþ òû ìíå äîëæ[From.GetNaEn]...;;x
EVTOPTAHF25250;I will settle for nobody less than our best speaker!;;;;;;;;;;;Ìíå ïîäîéä¸ò òîëüêî ñàìûé ëó÷øèé îðàòîð!;;x
EVTOPTAHF25251;We shall see about that!;;;;;;;;;;;Ýòî ìû åù¸ ïîñìîòðèì!;;x
EVTOPTAHF25252;Pffh! What a coward!;;;;;;;;;;;Âîò òðóñ[From.GetEndIha]!;;x
EVTOPTAHF25253;Go ahead, then! I will let you start.;;;;;;;;;;;Íó ÷òî æ, ïîïðîáóé!;;x
EVTOPTAHF25254;[Root.GetProwessInsultOption];;;;;;;;;;;[Root.GetProwessInsultOption];;x
EVTOPTAHF25255;How dare you say that!;;;;;;;;;;;Äà òû ñìååøü ãîâîðèòü òàêîå!;;x
EVTOPTAHF25257;Shut up! Shut up immediately!;;;;;;;;;;;Çàòêíèñü, òâàðü!;;x
EVTOPTAHF25261;How dare you! Enough!;;;;;;;;;;;Äà êàê òû ñìååøü! Ïðåêðàòè íåìåäëåííî!;;x
EVTOPTAHF25262;How dare you! Enough!;;;;;;;;;;;Äà êàê òû ñìååøü! Ïðåêðàòè íåìåäëåííî!;;x
EVTOPTAHF25263;Stop being such a child!;;;;;;;;;;;Òîëüêî ñìîòðè íå ðàñïëà÷üñÿ.;;x
EVTOPTAHF25268;This is it! From now on, we are enemies!;;;;;;;;;;;Ñ ýòîãî ìîìåíòà òû - ìîé âðàã!;;x
EVTOPTAHF25269;Well, too late for that!;;;;;;;;;;;Ñëèøêîì ïîçäíî äëÿ èçâèíåíèé!;;x
EVTOPTAHF25270;Can the [From.GetManWoman] not take a joke?;;;;;;;;;;;Íåêîòîðûå ïðîñòî íå ïîíèìàþò øóòîê...;;x
EVTOPTAHF25280;Why not? Let the celebrations begin!;;;;;;;;;;;Ïî÷åìó íåò? Äà íà÷íóòñÿ ïðàçäíîâàíèÿ!;;x
EVTOPTAHF25281;I shall be the one!;;;;;;;;;;;ß îäåðæó ïîáåäó!;;x
EVTOPTAHF25283;Do not worry, there is more than enough for everyone!;;;;;;;;;;;Íå ïåðåæèâàéòå, âûïèâêè õâàòèò íà âñåõ!;;x
EVTOPTAHF25284;Come on! Start pouring already!;;;;;;;;;;;Äàâàéòå. Íàëåéòå óæå íàì!;;x
EVTOPTAHF25286;It was a fun evening at least...;;;;;;;;;;;Ïî êðàéíåé ìåðå, ýòî áûë âåñ¸ëûé âå÷åð....;;x
EVTOPTAHF25287;Ugh, well, at least it was fun.;;;;;;;;;;;Ôóõ, íó ïî êðàéíåé ìåðå áûëî âåñåëî.;;x
EVTOPTAHF25288;There must be a way to get ahead...;;;;;;;;;;;Äîëæåí áûòü ñïîñîá îäåðæàòü ïîáåäó...;;x
EVTOPTAHF25289;Eh, I will allow it.;;;;;;;;;;;Ýõ, ÿ ðàçðåøàþ ýòî.;;x
EVTOPTAHF25290;Ouch!;;;;;;;;;;;Îé!;;x
EVTOPTAHF25291;Yes! I *hic* won!;;;;;;;;;;;Äà! ß *èê* âûèãðàë[Root.GetEndA]!;;x
EVTOPTAHF25292;Yes! I *hic* won!;;;;;;;;;;;Äà! ß *èê* âûèãðàë[Root.GetEndA]!;;x
EVTOPTAHF25293;A determinate [From.GetManWoman] like [From.GetHerHim] is the kind of ally I need!;;;;;;;;;;;Îïðåäåë¸ííî [From.GetManWoman]à, òàê[Root.GetAyaOy] êàê [From.GetFirstName], - ýòî òîò ñîþçíèê, êîòîðûé ìíå íóæåí!;;x
EVTOPTAHF25294;Wait, for how long was I out?;;;;;;;;;;;Ïîäîæäèòå, êàê äîëãî ÿ îòñóòñòâîâàë[Root.GetEndA]?;;x
EVTOPTAHF25295;I just want rest my eyes for a while...;;;;;;;;;;;ß ïðîñòî õî÷ó íåìíîãî îòäîõíóòü...;;x
EVTOPTAHF25296;Why not? Sure...;;;;;;;;;;;Êîíå÷íî... Ïî÷åìó áû è íåò?;;x
EVTOPTAHF25297;I should think these things through more often.;;;;;;;;;;;Ìíå ñëåäóåò ÷àùå äóìàòü î òàêèõ âåùàõ.;;x
EVTOPTAHF25298;Why not? Sure...;;;;;;;;;;;Êîíå÷íî... Ïî÷åìó áû è íåò?;;x
EVTOPTAHF25299;Who needs [From.GetHerHim]?;;;;;;;;;;;Êîìó íóæ[From.GetNaEn] [From.GetFirstName]?;;x
EVTOPTAHF25300;Thanks, [From.GetFirstName]!;;;;;;;;;;;Ñïàñèáî âàì, [From.GetFirstName]!;;x
EVTOPTBHF25200;[arm_wrestling_opponent_2.GetFirstName] looks like a fitting opponent.;;;;;;;;;;;[arm_wrestling_opponent_2.GetFirstName] âûãëÿäèò äîñòîéí[arm_wrestling_opponent_2.GetOyYm] ñîïåðíè[arm_wrestling_opponent_2.GetTseyKom].;;x
EVTOPTBHF25201;I am too tired right now...;;;;;;;;;;;Ñåé÷àñ ÿ ñëèøêîì óñòàë[Root.GetEndA]...;;x
EVTOPTBHF25205_A;*Wink charmingly at [arm_wrestling_fighter_2.GetFirstName]*;;;;;;;;;;;*Î÷àðîâàòåëüíî ïîäìèãíóòü [arm_wrestling_fighter_2.GetFirstName]*;;x
EVTOPTBHF25205_B;*Wink charmingly at [arm_wrestling_fighter_1.GetFirstName]*;;;;;;;;;;;*Î÷àðîâàòåëüíî ïîäìèãíóòü [arm_wrestling_fighter_1.GetFirstName]*;;x
EVTOPTBHF25206;How is [From.GetSheHe] doing it!?!;;;;;;;;;;;Êàê [From.GetSheHe] äåëàåò ýòî!?!;;x
EVTOPTBHF25209;I only care about my beloved.;;;;;;;;;;;Ìåíÿ çàáîòèò òîëüêî ìîÿ âòîðàÿ ïîëîâèíêà.;;x
EVTOPTBHF25212;What!?! What is it?!;;;;;;;;;;;×òî!?! ×òî ýòî?!;;x
EVTOPTBHF25215;Do not be too hard on yourself!;;;;;;;;;;;Íå áóäüòå ñëèøêîì ñòðîãè ê ñåáå!;;x
EVTOPTBHF25218;Just a passing fancy, surely.;;;;;;;;;;;Ýòî ïðîñòî ìèìîë¸òíîå óâëå÷åíèå.;;x
EVTOPTBHF25219;Thanks, but I am not interested.;;;;;;;;;;;Ñïàñèáî, íî ìíå ýòî íå èíòåðåñíî.;;x
EVTOPTBHF25222;Not as impressive as me.;;;;;;;;;;;Íå îñîáî âïå÷àòëÿåò ìåíÿ.;;x
EVTOPTBHF25223;That is very flattering of you...;;;;;;;;;;;Ýòî î÷åíü ëåñòíî ñ òâîåé ñòîðîíû...;;x
EVTOPTBHF25226;Maybe some other time.;;;;;;;;;;;Ìîæåò áûòü, â äðóãîé ðàç.;;x
EVTOPTBHF25227;I am feeling rather lucky tonight.;;;;;;;;;;;Ñåãîäíÿ âå÷åðîì, ÿ ÷óâñòâóþ ñåáÿ äîâîëüíî óäà÷ëèâ[Root.GetOyYm].;;x
EVTOPTBHF25228;I bet on Treta!;;;;;;;;;;;Ñòàâëþ íà Òðåòó!;;x
EVTOPTBHF25228_HELLENIC;I bet on Athena!;;;;;;;;;;;Ñòàâëþ íà Àôèíó!;;x
EVTOPTBHF25229;Surely, nobody will notice a bump under the table...;;;;;;;;;;;Íàâåðíÿêà íèêòî íå çàìåòèò òîë÷îê ïîä ñòîëîì...;;x
EVTOPTBHF25230;Alright, here is your money...;;;;;;;;;;;Õîðîøî, âîò âàøè äåíüãè...;;x
EVTOPTBHF25231;We should do this more often.;;;;;;;;;;;Íàì íóæíî äåëàòü ýòî ÷àùå.;;x
EVTOPTBHF25234;We should do this more often.;;;;;;;;;;;Ìû äîëæíû äåëàòü ýòî ÷àùå.;;x
EVTOPTBHF25235;Yes! I won!;;;;;;;;;;;Äà! Ïîáåäà çà ìíîé!;;x
EVTOPTBHF25236;Ugh... I lost everything!;;;;;;;;;;;Óõ... ß âñ¸ ïîòåðÿë[Root.GetEndA]!;;x
EVTOPTBHF25250;[flyting_potential_opponent_2.GetTitledFirstName] looks like a good match for me!;;;;;;;;;;;[flyting_potential_opponent_2.GetTitledFirstName] - âåñüìà íåïëîõîé âàðèàíò.;;x
EVTOPTBHF25251;I am not in the mood right now.;;;;;;;;;;;ß ñåé÷àñ íå â íàñòðîåíèè äëÿ ýòèõ ãëóïîñòåé.;;x
EVTOPTBHF25254;[Root.GetCharacterInsultOption];;;;;;;;;;;[Root.GetCharacterInsultOption];;x
EVTOPTBHF25255;As if I cared...;;;;;;;;;;;Äà-äà, ìíå ïëåâàòü...;;x
EVTOPTBHF25257;I have no problem admitting my flaws.;;;;;;;;;;;ß çíàþ î ñâîèõ íåäîñòàòêàõ, ìîæåøü íå íàïîìèíàòü.;;x
EVTOPTBHF25259;Meh, not that I care either way...;;;;;;;;;;;Äóìàåøü, ìåíÿ ýòî âîëíóåò?;;x
EVTOPTBHF25261;As if I cared.;;;;;;;;;;;È ýòî âñ¸, ÷òî òû ñìîã[From.GetNoneE] ïðèäóìàòü?;;x
EVTOPTBHF25262;As if I cared about what you think.;;;;;;;;;;;È ýòî âñ¸, ÷òî òû ñìîã[From.GetNoneE] ïðèäóìàòü?;;x
EVTOPTBHF25263;It was all in good fun, [From.GetFirstName], do not be mad!;;;;;;;;;;;Áûëî âåñåëî! Íàäåþñü, òû íå â îáèäå.;;x
EVTOPTBHF25268;Enough of this stupid game!;;;;;;;;;;;Õâàòèò ñ ìåíÿ ýòîé òóïîé èãðû!;;x
EVTOPTBHF25269;If you say so...;;;;;;;;;;;Áåç ïðîáëåì...;;x
EVTOPTBHF25280;That seems like such a waste...;;;;;;;;;;;Ýòî êàæåòñÿ òàêèì ðàñòî÷èòåëüñòâîì...;;x
EVTOPTBHF25281;I'd rather avoid the headache instead.;;;;;;;;;;;Íåò, ÿ ïðåäïî÷èòàþ èçáåæàòü ãîëîâíîé áîëè.;;x
EVTOPTBHF25288;I am made of tougher stuff than this!;;;;;;;;;;;ß ñäåëàí[Root.GetEndA]èç áîëåå ïðî÷íîãî ìàòåðèàëà, ÷åì [warrior_lodge_drinking_finalist_1.GetSheHe]!;;x
EVTOPTBHF25289;Stop right there!;;;;;;;;;;;Îñòàíîâèòåñü, ñåé÷àñ æå!;;x
EVTOPTBHF25293;I really like that [From.GetManWoman].;;;;;;;;;;;Ìíå î÷åíü íðàâèòñÿ ýò[From.GetEtaEtot] [From.GetManWoman]à.;;x
EVTOPTBHF25296;Bah! I do not need *you*!;;;;;;;;;;;Áà! ß íå íóæäàþñü â *âàñ*!;;x
EVTOPTBHF25298;Bah! You are not *my* friend!;;;;;;;;;;;Áà! Âû *ìíå* íå äðóã!;;x
EVTOPTCHF25200;I'd rather not risk embarrassing myself...;;;;;;;;;;;ß áû íå õîòåë[Root.GetEndA] ðèñêîâàòü, ïîñòàâèâ ñåáÿ â íåëîâêîå ïîëîæåíèå...;;x
EVTOPTCHF25205;*Lean forward and smile*;;;;;;;;;;;*Íàêëîíèòñÿ âïåð¸ä è óëûáíóòñÿ*;;x
EVTOPTCHF25206;Wha-?;;;;;;;;;;;×òî-?;;x
EVTOPTCHF25209;Pfh! You have picked the wrong person!;;;;;;;;;;;Ïô! Âû âûáðàëè íå òîãî ÷åëîâåêà!;;x
EVTOPTCHF25227;This is as much as I am willing to go.;;;;;;;;;;;Ýòî âñ¸, íà ÷òî ÿ ãîòîâ[Root.GetEndA] ïîéòè.;;x
EVTOPTCHF25228;I bet on Dwapara!;;;;;;;;;;;Ñòàâëþ íà Äâàïàðó!;;x
EVTOPTCHF25228_HELLENIC;I bet on Hermes!;;;;;;;;;;;Ñòàâëþ íà Ãåðìåñà!;;x
EVTOPTCHF25229;Let's play!;;;;;;;;;;;Äàâàéòå ïîèãðàåì!;;x
EVTOPTCHF25230;How about we consider it even?;;;;;;;;;;;Êàê íàñ÷¸ò òîãî, ÷òîáû ñ÷èòàòü, ÷òî ìû êâèòû?;;x
EVTOPTCHF25235;Curses!;;;;;;;;;;;Ïðîêëÿòèå!;;x
EVTOPTCHF25250;I just want an easy fight.;;;;;;;;;;;Åñëè ÿ õî÷ó ïîáåäèòü, íóæåí ñëàáûé ïðîòèâíèê.;;x
EVTOPTCHF25254;[Root.GetAccomplishmentsInsultOption];;;;;;;;;;;[Root.GetAccomplishmentsInsultOption];;x
EVTOPTCHF25255;I think my accomplishments speak for themselves...;;;;;;;;;;;Óâåðåí[Root.GetEndA], ìîè ïîäâèãè ãîâîðÿò ñàìè çà ñåáÿ...;;x
EVTOPTCHF25257;But I am not like that at all!;;;;;;;;;;;Íàãëàÿ ëîæü!;;x
EVTOPTCHF25259;What does that mean?!;;;;;;;;;;;×òî òû ñêàçàë[From.GetEndA]?!;;x
EVTOPTCHF25261;This is so mean of you!;;;;;;;;;;;Ýòî ïîäëî äàæå äëÿ òåáÿ!;;x
EVTOPTCHF25262;This is so mean of you!;;;;;;;;;;;Ýòî ïîäëî äàæå äëÿ òåáÿ!;;x
EVTOPTCHF25288;I have to try at least!;;;;;;;;;;;ß äîëæ[Root.GetNaEn] õîòÿ áû ïîïðîáîâàòü!;;x
EVTOPTCHF25293;I will honor [From.GetHerHis] victory with a gift.;;;;;;;;;;;ß áóäó ÷òèòü [From.GetHerHis] ïîáåäó ïîäàðêîì.;;x
EVTOPTDHF25200;On second thought, I will go take a drink instead.;;;;;;;;;;;Åñëè ïîäóìàòü, ëó÷øå ÿ ïðîñòî âûïüþ.;;x
EVTOPTDHF25205;Wh-what's that behind you?!;;;;;;;;;;;×-÷òî ýòî ó òåáÿ çà ñïèíîé?!;;x
EVTOPTDHF25209;I... uhhh...;;;;;;;;;;;ß... Ý-ý-ý...;;x
EVTOPTDHF25227;I am only playing for fun...;;;;;;;;;;;ß èãðàþ òîëüêî ðàäè óäîâîëüñòâèÿ...;;x
EVTOPTDHF25228;I bet on Kali!;;;;;;;;;;;Ñòàâëþ íà Êàëè!;;x
EVTOPTDHF25228_HELLENIC;I bet on Dionysus!;;;;;;;;;;;Ñòàâëþ íà Äèîíèñà!;;x
EVTOPTDHF25230;I will make it up to you in some way, I promise!;;;;;;;;;;;ß çàãëàæó ñâîþ âèíó, îáåùàþ!;;x
EVTOPTDHF25250;Maybe some other night...;;;;;;;;;;;Õîòÿ... Ëó÷øå êàê-íèáóäü â äðóãîé ðàç.;;x
EVTOPTDHF25254;[Root.GetFamilyInsultOption];;;;;;;;;;;[Root.GetFamilyInsultOption];;x
EVTOPTDHF25255;Oh, I wouldn't know about that, [From.GetFirstName]...;;;;;;;;;;;Î, âîò ýòî íîâîñòü! Ðàññêàæè-êà ïîäðîáíåå...;;x
EVTOPTDHF25257;How dare you say it! That's not my fault!;;;;;;;;;;;Äà êàê òû ñìååøü! Ýòî íå ìîÿ âèíà!;;x
EVTOPTDHF25259;Oh, we shall see about that!;;;;;;;;;;;Íó ýòî ìû åù¸ ïîñìîòðèì!;;x
EVTOPTDHF25261;Isn't this supposed to be a game?;;;;;;;;;;;Òåáå íå êàæåòñÿ, ÷òî ýòî óæå ñëèøêîì?;;x
EVTOPTDHF25262;Isn't this supposed to be a game?;;;;;;;;;;;Òåáå íå êàæåòñÿ, ÷òî ýòî óæå ñëèøêîì?;;x
EVTOPTDHF25293;[From.GetSheHeCap] earned a bit of praise.;;;;;;;;;;;[From.GetSheHeCap] çàñëóæèë[From.GetEndA] ïîõâàëó.;;x
EVTOPTEHF25205;I must try anyway!;;;;;;;;;;;ß âñ¸ ðàâíî äîëæ[Root.GetNaEn] ïîïðîáîâàòü!;;x
EVTOPTEHF25209_A;*Stare intently at [From.GetFirstName]'s breasts.*;;;;;;;;;;;*Ïðèñòàëüíî ñìîòðåòü íà ãðóäü [From.GetFirstName]*.;;x
EVTOPTEHF25209_B;*Lose yourself in [From.GetFirstName]'s dreamy eyes*;;;;;;;;;;;*Ïîãðóçèòñÿ â ìå÷òàòåëüíûå ãëàçà [From.GetFirstName]*.;;x
EVTOPTEHF25255;I have no idea what you are talking about!;;;;;;;;;;;Íå ïîíèìàþ, î ÷åì òû...;;x
EVTOPTFHF25255;T-That's not true at all!;;;;;;;;;;;Ýòî... Ýòî âñ¸ ãíóñíàÿ ëîæü!;;x
EVTOPTYHF25216;I will show you who is stronger!;;;;;;;;;;;ß ïîêàæó âàì, êòî ñèëüíåå!;;x
EVTOPTYHF25221;How dare you reject me!;;;;;;;;;;;Êàê òû ïîñìåë[From.GetEndA] îòâåðãíóòü ìåíÿ!;;x
EVTOPTYHF25230;How dare you call me a cheat!;;;;;;;;;;;Êàê òû ñìååøü íàçûâàòü ìåíÿ îáìàíùè[Root.GetTseyKom]!;;x
EVTOPTYHF25235;You cheated!;;;;;;;;;;;Âû ìåíÿ îáìàíóëè!;;x
EVTOPTYHF25268;I will make you eat those words!;;;;;;;;;;;Òû çàïëàòèøü çà ñâîè ñëîâà!;;x
EVTOPTZZZHF25252;Last time [Root.GetFirstName] pleasured a woman was when he relieved his mother's womb of his presence.;;;;;;;;;;;Â ïîñëåäíèé ðàç òû óäîâëåòâîðÿë æåíùèíó, êîãäà âûëåç èç óòðîáû ìàòåðè.;;x
TT_EVTOPTAHF25200;Challenge §Y[arm_wrestling_opponent_1.GetTitledFirstName]§! to an arm-wrestling match.;;;;;;;;;;;Ïóñòü §Y[arm_wrestling_opponent_1.GetTitledFirstName]§! ñðàçèòñÿ ñ Âàìè.;;x
TT_EVTOPTAHF25201;Accept §Y[From.GetTitledFirstName]§!'s challenge.;;;;;;;;;;;Ïðèíÿòü âûçîâ, êîòîðûé §Y[From.GetTitledFirstName]§! Âàì áðîñèë[From.GetEndA].;;x
TT_EVTOPTAHF25215;§Y[wl_arm_wrestling_loser.GetTitledFirstName]§! might challenge you to a §YDuel§! for insulting [wl_arm_wrestling_loser.GetHerHim].;;;;;;;;;;;§Y[wl_arm_wrestling_loser.GetTitledFirstName]§! ìîæåò âûçâàòü Âàñ íà §Yïîåäèíîê§! çà ýòî îñêîðáëåíèå.;;x
TT_EVTOPTAHF25216;Your fellow warriors laugh at you.;;;;;;;;;;;Âàøè ñîðàòíèêè ñìåþòñÿ íàä Âàìè.;;x
