#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
evt_TITLE_LT_20010;The Lost Book;;;;;;;;;;;Aíòè÷íûå òåêñòû?;;x
EVTOPTB_LT_20410_TT;You do not know how §Y[target_character.GetTitledFirstName]§! will react if you try to kiss [target_character.GetHerHim], but you might become lovers.;;;;;;;;;;;Âû íå çíàåòå, êàê §Y[target_character.GetTitledFirstName]§! îòðåàãèðóåò íà Âàø ïîöåëóé, íî Âû ìîæåòå ñòàòü ëþáîâíèêàìè.;;x
EVTOPTB_LT_20410_TT_unlikely;Your [target_character.GetRootRelation] will probably not take this well.;;;;;;;;;;;Âàø[target_character.GetEndA] [target_character.GetRootRelation] ìîæåò íå îäîáðèòü ïîäîáíûå îòíîøåíèÿ.;;x
EVTOPTB_LT_20421;I am impressed with [From.GetTitledFirstName]!;;;;;;;;;;;Ìíå ïîíðàâèëîñü.;;x
EVTOPTB_LT_20431;I refuse [From.GetHerHim] and step back.;;;;;;;;;;;ß îòòîëêíóë[Root.GetEndA] [From.GetHersHis].;;x
EVTOPTB_LT_20441;I won't go down without a fight!;;;;;;;;;;;Ñðàçèòüñÿ ñ í[From.GetEyIm]!;;x
EVTOPTB_LT_20441_TT_lose;you losing the fight.;;;;;;;;;;;âû ïîòåðïèòå ïîðàæåíèå â ñõâàòêå.;;x
EVTOPTB_LT_20441_TT_win;you winning the fight.;;;;;;;;;;;âû ïîáåäèòå â ñõâàòêå.;;x
EVTOPTB_LT_20510;The people will know I respect the dead!;;;;;;;;;;;Ïóñòü âñå çíàþò, ÷òî ÿ óâàæàþ óñîïøèõ.;;x
EVTOPTB_LT_20510_TT;You organize a traditional ceremony and invite all the powerful vassals to attend.;;;;;;;;;;;Îðãàíèçîâàòü òðàäèöèîííóþ öåðåìîíèþ è ïðèãëàñèòü ñàìûõ ìîãóùåñòâåííûõ âàññàëîâ.;;x
EVTOPTB_LT_20601;I will store the [target_artifact_2.GetName] in the [target_upgrade.GetName].;;;;;;;;;;;[target_artifact_2.GetName];;x
EVTOPTB_LT_20805;I thank you, but you can keep it to yourself.;;;;;;;;;;;Ñïàñèáî, íî ëó÷øå îñòàâüòå åãî ñåáå.;;x
EVTOPTB_LT_20810;I open the [From.GetWonderTypeShort] for everybody to have a share of the profit.;;;;;;;;;;;Åñëè õîòÿò ïðèñîåäèíèòüñÿ ê ãðàáåæó, ÿ íå ïðîòèâ.;;x
EVTOPTB_LT_20900;No, we should let it be.;;;;;;;;;;;Íåò, ýòî èñòîðè÷åñêèé ïàìÿòíèê.;;x
EVTOPTB_LT_21000;Hey, wait for me!;;;;;;;;;;;Ýé, ïîäîæäèòå ìåíÿ!;;x
EVTOPTC_LT_20010;It is interesting news, but right now I have more pressing matters to attend to.;;;;;;;;;;;Èíòåðåñíî, íî ñåé÷àñ ó ìåíÿ åñòü áîëåå âàæíûå äåëà.;;x
EVTOPTC_LT_20040;Just announce the discovery and store the book in my library;;;;;;;;;;;Îáúÿâèòå îá îòêðûòèè è ïîìåñòèòå ýòó êíèãó â ìîþ áèáëèîòåêó.;;x
EVTOPTC_LT_20101;I do not want to be bothered again with such petty details!;;;;;;;;;;;Âïðåäü íå îòâëåêàéòå ìåíÿ ïîäîáíûìè ïóñòÿêàìè!;;x
EVTOPTC_LT_20101_TT;You will no longer be bothered with news about findings during construction of the great works.\n;;;;;;;;;;;Âàì áîëüøå íå áóäóò ñîîáùàòü î ñëó÷àéíûõ íàõîäêàõ â ïðîöåññå ñòðîèòåëüñòâà âåëèêîãî ñîîðóæåíèÿ.\n;;x
EVTOPTC_LT_20110;Let us give to the workers a share of the gold.;;;;;;;;;;;Ðàáî÷èå äîñòîéíû íàãðàäû è îíè å¸ ïîëó÷àò.;;x
EVTOPTC_LT_20301;...'What do you think of my toy?'.;;;;;;;;;;;— Íó ÷òî ñêàæåøü? Êàê òåáå [target_upgrade.GetName]?;;x
EVTOPTC_LT_20405;I will politely invent an excuse and refuse.;;;;;;;;;;;Îòâå÷ó âåæëèâûì îòêàçîì.;;x
EVTOPTC_LT_20410;... I get my dagger out and try to stab [target_character.GetHerHim] in the heart.;;;;;;;;;;;ß âûíóë[Root.GetEndA] êèíæàë è íàïàë[Root.GetEndA] íà í[target_character.GetHersHis].;;x
EVTOPTC_LT_20410_TT;This option is available because you have either a high §YIntrigue§! or related traits\n;;;;;;;;;;;Ýòîò âàðèàíò äîñòóïåí âàì áëàãîäàðÿ âûñîêèì íàâûêàì §Yèíòðèãè§! èëè ñîîòâåòñòâóþùèì §Y÷åðòàì õàðàêòåðà§!.\n;;x
EVTOPTC_LT_20410_TT_murder;The outcome of this will depend on your §YPersonal Combat Skill§!, as §Y[From.GetTitledFirstName]§! might resist your murder attempt...;;;;;;;;;;;Ðåçóëüòàò áóäåò çàâèñåòü îò Âàøèõ §Yëè÷íûõ áîåâûõ íàâûêîâ§!, âåäü §Y[From.GetTitledFirstName]§! áóäåò ñîïðîòèâëÿòüñÿ Âàøåé àòàêå.;;x
EVTOPTC_LT_20421;Pleasant, but not substantial.;;;;;;;;;;;Ïðèÿòíî, íî íå áîëåå òîãî.;;x
EVTOPTC_LT_20431;I get my dagger out and try to stab [From.GetHerHim] in the heart!;;;;;;;;;;;Òîãäà ÿ ñõâàòèë[Root.GetEndA] ñâîé êèíæàë è ïîïûòà[Root.GetLasLsya] çàêîëîòü [From.GetHersHis].;;x
EVTOPTC_LT_20431_TT;The [target_upgrade.GetName] prove[target_upgrade.GetSingularS] a perfect hide away for new lovers.;;;;;;;;;;;[target_upgrade.GetName] îòëè÷íî ïîäõîä[target_upgrade.GetWonderUpgradeItYat] äëÿ ëþáîâíûõ óòåõ.;;x
EVTOPTC_LT_20431_TT_not_serious_romance;You leave §Y[From.GetTitledFirstName]§! wanting more.;;;;;;;;;;;Ýòî áûëî ïðèÿòíî, íî Âû ïîêà íå íàìåðåíû ðàçâèâàòü ëþáîâíûå îòíîøåíèÿ ñ í[From.GetEyIm].;;x
EVTOPTC_LT_20510;I will honor [target_dead_ruler.GetHerHim] in a private ceremony.;;;;;;;;;;;Ñêðîìíîé öåðåìîíèè â óçêîì êðóãó áóäóò äîñòàòî÷íî.;;x
EVTOPTC_LT_20601;I will store the [target_artifact_3.GetName] in the [target_upgrade.GetName].;;;;;;;;;;;[target_artifact_3.GetName];;x
EVTOPTC_LT_21000;I will stop this immediately and hang the culprits!;;;;;;;;;;;ß ïðåêðàùó ýòîò áåñïðåäåë. Âèíîâíûå áóäóò ïîâåøåíû!;;x
EVTOPTC_LT_21000_CONTROL_TT;You manage to regain control of the army.;;;;;;;;;;;Âû ïîñòàðàåòåñü âåðíóòü êîíòðîëü íàä ñâîèì âîéñêîì.;;x
EVTOPTC_LT_21000_NO_CONTROL_TT;You are unable to stop the killing and destruction.;;;;;;;;;;;Âû íå ìîæåòå îñòàíîâèòü óáèéñòâà è ðàçðóøåíèÿ.;;x
EVTOPTD_LT_20010;I actually do not care about missing books. The collection I have is enough.;;;;;;;;;;;Ìåíÿ íå âîëíóþò óòðà÷åííûå êíèãè. ß óæå ñîáðàë[Root.GetEndA] ñâîþ êîëëåêöèþ.;;x
EVTOPTD_LT_20010_TT;You will no longer be bothered with news about lost books.;;;;;;;;;;;Âû áîëüøå íå áóäåòå ïîëó÷àòü íîâîñòè îá óòðà÷åííûõ êíèãàõ.;;x
EVTOPTD_LT_20101;It is probably an ancient tomb. Explore with caution.;;;;;;;;;;;Äðåâíÿÿ ìîãèëà? Íàäî å¸ âíèìàòåëüíî èçó÷èòü.;;x
EVTOPTD_LT_20101_TT;This option is available because you have either a high Learning, or the traits Erudite or Architect.\n;;;;;;;;;;;Ýòîò âàðèàíò äîñòóïåí âàì, áëàãîäàðÿ âûñîêîé §Yîáðàçîâàííîñòè§!, ÷åðòàìè §Yýðóäèò§! èëè §Yàðõèòåêòîð§!.\n;;x
EVTOPTD_LT_20110;I will keep both the valuables and the [found_artifact.GetName].;;;;;;;;;;;[found_artifact.GetName] è âñ¸ öåííîå ÿ îñòàâëþ ñåáå.;;x
EVTOPTD_LT_20301;... 'This bloody thing scares me too!'.;;;;;;;;;;;— Ïîíèìàþ... Ýòà ÷¸ðòîâà øòóêà ïóãàåò äàæå ìåíÿ.;;x
EVTOPTD_LT_20410;... I take [target_character.GetHerHis] hand, and kiss [target_character.GetHerHim] passionately.;;;;;;;;;;;ß ñòðàñòíî [target_character.GetHersHis] öåëóþ è íà÷èíàþ ñíèìàòü ñ í[target_character.GetHersHis] îäåæäó.;;x
EVTOPTD_LT_20410_TT;The [target_upgrade.GetName] prove[target_upgrade.GetSingularS] a perfect hide away for lovers like you...;;;;;;;;;;;[target_upgrade.GetName] ïðåêðàñíî ïîäîéä[target_upgrade.GetWonderUpgradeYetYut] äëÿ ëþáîâíûõ óòåõ.;;x
EVTOPTD_LT_20510;[target_dead_ruler.GetFirstNameWithNick] does not deserve a proper burial!;;;;;;;;;;;[target_dead_ruler.GetFirstNameWithNick] íå çàñëóæèë[target_dead_ruler.GetEndA] äîñòîéíûõ ïîõîðîí.;;x
EVTOPTD_LT_20510_TT;Those who liked §Y[target_dead_ruler.GetBestName]§! are upset with you. Those who hated [target_dead_ruler.GetHerHim] are pleased.;;;;;;;;;;;Òå, êîìó íðàâèòñÿ §Y[target_dead_ruler.GetBestName]§!, áóäóò íåäîâîëüíû âàìè.;;x
EVTOPTE_LT_20110;Let us distribute the gold to the workers as a reward.;;;;;;;;;;;Ðàçäåëèì öåííîå ìåæäó ðàáî÷èìè êàê íàãðàäó.;;x
EVTOPTE_LT_20601;No, maybe this is not such a good idea.;;;;;;;;;;;Ïîæàëóé, ýòî íå ñàìàÿ ëó÷øàÿ èäåÿ.;;x
EVTOPTF_LT_20110;We shall give some gold to the families of the victims.;;;;;;;;;;;×àñòü öåííîñòåé ÿ ïîæåðòâóþ ñåìüÿì ïîñòðàäàâøèõ.;;x
# Unused
# evt_TITLE_LT_20030;A Lost and Expensive Book;;;;;;;;;;;O÷åíü äîðîãàÿ êíèãà;;x
# EVTOPTA_LT_20110_TT_unhappy;Not giving some compensation to the widows and orphans of the dead workers might give us problems in the future.\n;;;;;;;;;;;Íå âûïëà÷èâàÿ êîìïåíñàöèþ ñåìüÿì ïîñòðàäàâøèõ, Âû ìîæåòå ïîëó÷èòü ïðîáëåìû â áóäóùåì.\n;;x
# EVTOPTB_LT_20110_TT_unhappy;The workers might be upset if they receive nothing.\n;;;;;;;;;;;Ðàáî÷èå áóäóò íåäîâîëüíû, åñëè íå ïîëó÷àò íàãðàäó.\n;;x
# EVTOPTD_LT_20601;I will store the [target_artifact_4.GetName] in the [target_upgrade.GetName].;;;;;;;;;;;[target_artifact_4.GetName];;x
