EVTTITLE23910;The Offering;;;;;;;;;;;Ïîäíîøåíèå;;x
EVTDESCHFA23886;I throw away the last bone and let out a long sigh, looking at the pile of plates beside me. There is a moment of silence as my only remaining opponents falls down, followed by the cheering of the crowd. Some of the tribesmen try to raise me up, but, after a few failed attempts, they decide to just pat me on the back instead.;;;;;;;;;;;ß âûáðàñûâàþ ïîñëåäíþþ êîñòü è ãëóáîêî âçäûõàþ, ãëÿäÿ íà ãðóäó òàðåëîê ðÿäîì ñî ìíîé. Íàñòóïàåò ìîìåíò òèøèíû, êîãäà ìîé åäèíñòâåííûé îñòàâøèéñÿ ïðîòèâíèê ïàäàåò, à çàòåì ðàçäàþòñÿ îäîáðèòåëüíûå âîçãëàñû òîëïû. Íåêîòîðûå èç ñîïëåìåííèêîâ ïûòàþòñÿ ïîäíÿòü ìåíÿ, íî ïîñëå íåñêîëüêèõ íåóäà÷íûõ ïîïûòîê îíè ðåøèëè ïðîñòî ïîõëîïàòü ìåíÿ ïî ñïèíå.;;x
EVTDESCHFA23887;I manage to keep eating long after most other contenders have tapped out, but, unfortunately, as much as I try to, I am unable to keep up with [tribal_festival_winner.GetFirstName] and, in the end, I have to concede [tribal_festival_winner.GetHerHim] victory, and slide back on the hall's bench, sore and reeling.;;;;;;;;;;;Ìíå óäà¸òñÿ ïðîäîëæàòü åñòü äîëãîå âðåìÿ ïîñëå òîãî, êàê áîëüøèíñòâî äðóãèõ ïðåòåíäåíòîâ âûäîõëèñü, íî, ê ñîæàëåíèþ, êàê áû ÿ íè ñòàðà[Root.GetLasLsya], ÿ íå â ñîñòîÿíèè óãíàòüñÿ çà [tribal_festival_winner.GetFirstName] è, â êîíöå êîíöîâ, ìíå ïðèõîäèòñÿ óñòóïèòü [tribal_festival_winner.GetHerHim] ïîáåäó è ñïîëçòè îáðàòíî íà ñêàìüþ çàëà, áîëåçíåííî øàòàÿñü.;;x
EVTDESCHFA23888;One by one, the contenders tap out, either rushing outside, or falling on the ground reeling. There is only one [tribal_festival_winner.GetManWoman] who is left standing at the end: [tribal_festival_winner.GetFirstName]. The tribesmen raise [tribal_festival_winner.GetHerHim] up and parade [tribal_festival_winner.GetHerHim] across the hall, chanting [tribal_festival_winner.GetHerHis] name.;;;;;;;;;;;Îäèí çà äðóãèì ñîïåðíèêè âûáûâàþò, òî óáåãàÿ íàðóæó, òî ïîøàòíóâøèñü ïàäàÿ íà çåìëþ. Â êîíöå îñòàëñÿ ñòîÿòü òîëüêî îä[tribal_festival_winner.GetNaIn] [tribal_festival_winner.GetManWoman]à: [tribal_festival_winner.GetFirstName]. Ñîïëåìåííèêè ïîäíèìàþò [tribal_festival_winner.GetHersHis] è ïðîâîäÿò [tribal_festival_winner.GetHersHis] ÷åðåç çàë, ðàñïåâàÿ [tribal_festival_winner.GetHerHis] èìÿ.;;x
EVTDESCHFA23889;The stallion falters and stops resisting, and I lead him on a slow trot near the line of tribesmen witnessing me in silence. When I dismount, I am welcomed by some cheering, but only after about an hour of discussion the group decides that I had proven myself to be the fastest and most resolute amongst the tamers.;;;;;;;;;;;Æåðåáåö ñïîòûêàåòñÿ è ïåðåñòà¸ò ñîïðîòèâëÿòüñÿ, è ÿ âåäó åãî ìåäëåííîé ðûñüþ ðÿäîì ñ øåðåíãîé ñîïëåìåííèêîâ, ìîë÷à íàáëþäàþùèõ çà ìíîé. Êîãäà ÿ ñïåøèâàþñü, ìåíÿ ïðèâåòñòâóþò àïëîäèñìåíòàìè, íî òîëüêî ïîñëå ÷àñà îáñóæäåíèÿ ãðóïïà ðåøàåò, ÷òî ÿ ïîêàçàë[Root.GetEndA] ñåáÿ ñàì[Root.GetOyYm] áûñòð[Root.GetOyYm] è ðåøèòåëüí[Root.GetOyYm] ñðåäè âñåõ óêðîòèòåëåé.;;x
EVTDESCHFA23890;Despite avoiding any embarrassing fall, by the end of the day most of the tribesmen who witnessed the contest come to the conclusion that I was not firm and fast enough to deserve to win the tournament. The honor is instead bestowed to [tribal_festival_winner.GetFirstName].;;;;;;;;;;;Íåñìîòðÿ íà òî, ÷òî ìíå óäàëîñü èçáåæàòü ïîçîðíîãî ïàäåíèÿ, ê êîíöó äíÿ áîëüøèíñòâî ñîïëåìåííèêîâ, íàáëþäàâøèõ çà ñîñòÿçàíèåì, ïðèøëè ê âûâîäó, ÷òî ÿ íå áûë[Root.GetEndA] äîñòàòî÷íî òâåðä[Root.GetEndA] è áûñòð[Root.GetEndA], ÷òîáû çàñëóæèòü ïîáåäó â òóðíèðå. Ýòà ÷åñòü áûëà ïîæàëîâàíà [tribal_festival_winner.GetFirstName].;;x
EVTDESCHFA23891;During the course of the day, the crowd is presented with several embarrassing falls from the various contenders. Only after getting rid of the least skilled tamers the real competition can begin. By the end of the day, after a bit of squabbling, most of the tribesmen come to the conclusion that [tribal_festival_winner.GetFirstName] has proven to be the most competent horse-tamer of [great_tribal_festival_host.Capital.GetName].;;;;;;;;;;;Â òå÷åíèå äíÿ òîëïà ñòàëêèâàåòñÿ ñ íåñêîëüêèìè äîñàäíûìè ïàäåíèÿìè ðàçëè÷íûõ ïðåòåíäåíòîâ. Òîëüêî ïîñëå èçáàâëåíèÿ îò ñàìûõ íåóìåëûõ óêðîòèòåëåé ìîæåò íà÷àòüñÿ íàñòîÿùåå ñîðåâíîâàíèå. Ê êîíöó äíÿ, ïîñëå êðàòêîãî ñïîðà, áîëüøèíñòâî ñîïëåìåííèêîâ ïðèøëè ê âûâîäó, ÷òî [tribal_festival_winner.GetFirstName] îêàçà[tribal_festival_winner.GetLasLsya] ñàì[tribal_festival_winner.GetOyYm] êîìïåòåíòí[tribal_festival_winner.GetOyYm] èç âñåõ óêðîòèòåëåé ëîøàäåé â [great_tribal_festival_host.Capital.GetName].;;x
EVTDESCHFA23892;My looks and pose are absolutely impeccable throughout the day. It comes as no surprise when the judges selected for the contest proclaim me to be the fairest [Root.GetManWoman] in [great_tribal_festival_host.Capital.GetName]. I walk past the other contenders, ignoring their deathly glares and politely thank the crowd.;;;;;;;;;;;Ìîé âíåøíèé âèä è ïîçà àáñîëþòíî áåçóïðå÷íû â òå÷åíèå âñåãî äíÿ. Íåóäèâèòåëüíî, ÷òî ñóäüè, îòîáðàííûå äëÿ ó÷àñòèÿ â êîíêóðñå, ïðîâîçãëàñèëè ìåíÿ ñàì[Root.GetOyYm] êðàñèâ[Root.GetOyYm] [Root.GetManWoman]îé â [great_tribal_festival_host.Capital.GetName]. ß ïðîõîæó ìèìî äðóãèõ ïðåòåíäåíòîâ, èãíîðèðóÿ èõ óáèéñòâåííûå âçãëÿäû, è âåæëèâî áëàãîäàðþ òîëïó.;;x
EVTDESCHFA23893;I was so close to winning. I really thought the judges had taken a liking on me. Unfortunately, at the end of the day it is [tribal_festival_winner.GetFirstName] the one to be celebrated as fairest [tribal_festival_winner.GetManWoman] in [great_tribal_festival_host.Capital.GetName].;;;;;;;;;;;ß áûë[Root.GetEndA] òàê áëèçêî ê ïîáåäå. ß äåéñòâèòåëüíî äóìàë[Root.GetEndA], ÷òî ïðèãëÿíóñü ñóäüÿì. Ê ñîæàëåíèþ, â êîíöå äíÿ èìåííî [tribal_festival_winner.GetFirstName] áûë[tribal_festival_winner.GetEndA] ïðîñëàâëåí[tribal_festival_winner.GetEndA] êàê ñàì[tribal_festival_winner.GetAyaYy] êðàñèâ[tribal_festival_winner.GetAyaYy] [tribal_festival_winner.GetManWoman]à â [great_tribal_festival_host.Capital.GetName].;;x
EVTDESCHFA23894;The contenders parade one by one through the main hall, for all to see and comment upon, and, little by little, the tribesmen chosen to pass judgment on them start picking the best. As the sun starts to wane on the horizon, only one [tribal_festival_winner.GetManWoman] is left: [tribal_festival_winner.GetFirstName], who is cheered as fairest of [great_tribal_festival_host.Capital.GetName].;;;;;;;;;;;Ïðåòåíäåíòû ïðîõîäÿò ïî ãëàâíîìó çàëó, îäèí çà äðóãèì, ÷òîáû âñå ìîãëè èõ óâèäåòü è ïðîêîììåíòèðîâàòü, è ìàëî-ïîìàëó ñîïëåìåííèêè, èçáðàííûå, ÷òîáû ñóäèòü èõ, íà÷èíàþò âûáèðàòü ëó÷øèõ. Êîãäà ñîëíöå íà÷èíàåò çàêàòûâàòüñÿ íà ãîðèçîíòå, îñòà¸òñÿ òîëüêî îä[tribal_festival_winner.GetNaIn] [tribal_festival_winner.GetManWoman]à: [tribal_festival_winner.GetFirstName], êîòîð[tribal_festival_winner.GetUyuOgo] ïðèâåòñòâóþò êàê ïðåêðàñíåéø[tribal_festival_winner.GetUyuOgo] â [great_tribal_festival_host.Capital.GetName].;;x
EVTDESCHFA23895;My poem captivates everyone in the long-house. It is thrilling and passionate, featuring epic battles and tragic romances, and leaving everyone holding their breath. Once I conclude my performance, there is little doubt that the prize for best bard of [great_tribal_festival_host.Capital.GetName] will go to me.;;;;;;;;;;;Ìîÿ ïîýìà ïëåíèëà âñåõ â äëèííîì äîìå. Îíà çàõâàòûâàþùàÿ è ñòðàñòíàÿ, ñ ýïè÷åñêèìè áèòâàìè è òðàãè÷åñêèìè ðîìàíàìè, çàñòàâëÿåò âñåõ çàòàèòü äûõàíèå. Ïîñëå òîãî, êàê ÿ çàâåðøàþ ñâî¸ âûñòóïëåíèå, íåò íèêàêèõ ñîìíåíèé â òîì, ÷òî ïðèç ëó÷øåãî áàðäà â [great_tribal_festival_host.Capital.GetName] äîñòàíåòñÿ ìíå.;;x
EVTDESCHFA23896;My poem leaves quite a few mouths hanging, and seems to receive a very good reaction from the guests. Unfortunately, when [tribal_festival_winner.GetFirstName] starts telling [tribal_festival_winner.GetHerHis] story, it becomes clear to me that I will not be the winner of this contest.;;;;;;;;;;;Ìî¸ ñòèõîòâîðåíèå îñòàâëÿåò íåìàëî îòâèñøèõ ðòîâ è, êàæåòñÿ, âûçûâàåò î÷åíü õîðîøóþ ðåàêöèþ ó ãîñòåé. Ê ñîæàëåíèþ, êîãäà [tribal_festival_winner.GetFirstName] íà÷èíàåò ðàññêàçûâàòü ñâîþ èñòîðèþ, ìíå ñòàíîâèòñÿ ÿñíî, ÷òî ÿ íå ñòàíó ïîáåäèòåë[Root.GetSoftNitseyEm] ýòîãî êîíêóðñà.;;x
EVTDESCHFA23897;The contest gives us the opportunity to hear many new amazing stories. Tales of love and war to captivate all the people of [great_tribal_festival_host.Capital.GetName]. In the end, though, the uncontested winner turns out to be [tribal_festival_winner.GetFirstName], whose epic storytelling skills manage to enthrall the entire town.;;;;;;;;;;;Êîíêóðñ äà¸ò íàì âîçìîæíîñòü óñëûøàòü ìíîãî íîâûõ óäèâèòåëüíûõ èñòîðèé. Èñòîðèè î ëþáâè è âîéíå, êîòîðûå óâëåêàòåëüíû äëÿ âñåõ æèòåëåé [great_tribal_festival_host.Capital.GetName]. Íî â èòîãå áåññïîðíûì ïîáåäèòåëåì îêàçûâàåòñÿ [tribal_festival_winner.GetFirstName], ÷ü¸ ýïè÷åñêîå ìàñòåðñòâî ïîâåñòâîâàíèÿ ñóìåëî ïîêîðèòü âñ¸ ïîñåëåíèå.;;x
EVTDESCHFA23898;My voice immediately captivates everyone in the long-house. Not one whisper interrupts my performance, the entire room listens in complete silence. Once I stop singing, I am showered with praise, and immediately proclaimed the winner of the contest.;;;;;;;;;;;Ìîé ãîëîñ ñðàçó î÷àðîâûâàåò âñåõ â äëèííîì äîìå. Íè îäèí ø¸ïîò íå ïðåðûâàåò ìîåãî âûñòóïëåíèÿ, âåñü çàë ñëóøàåò â ïîëíîé òèøèíå. Êàê òîëüêî ÿ ïåðåñòàþ ïåòü, ìåíÿ îñûïàþò ïîõâàëàìè è òóò æå îáúÿâëÿþò ïîáåäèòåë[Root.GetSoftNitseyEm] êîíêóðñà.;;x
EVTDESCHFA23899;My song leaves quite a few mouths hanging, and seems to receive a very good reaction from the guests. Unfortunately, when [tribal_festival_winner.GetFirstName] starts singing [tribal_festival_winner.GetHerHis], it becomes clear to me that I will not be the winner of this contest.;;;;;;;;;;;Ìîÿ ïåñíÿ îñòàâëÿåò íåìàëî îòâèñøèõ ðòîâ è, êàæåòñÿ, âûçûâàåò î÷åíü õîðîøóþ ðåàêöèþ ó ãîñòåé. Ê ñîæàëåíèþ, êîãäà [tribal_festival_winner.GetFirstName] íà÷èíàåò ïåòü [tribal_festival_winner.GetHerHis], ìíå ñòàíîâèòñÿ ÿñíî, ÷òî ÿ íå ñòàíó ïîáåäèòåë[Root.GetSoftNitseyEm] ýòîãî êîíêóðñà.;;x
EVTDESCHFA23900;The contest provides everyone with a very pleasant evening centered around music. Exciting, upbeat pieces alternate with heart-wrenching poems, but nobody amongst the many contenders manages to move the crowd as [tribal_festival_winner.GetFirstName], whose voice rightfully earns [tribal_festival_winner.GetHerHim] the title of best singer of [great_tribal_festival_host.Capital.GetName].;;;;;;;;;;;Êîíêóðñ äàðèò âñåì î÷åíü ïðèÿòíûé âå÷åð, ïîñâÿù¸ííûé ìóçûêå. Çàõâàòûâàþùèå, áîäðÿùèå ïðîèçâåäåíèÿ ÷åðåäóþòñÿ ñ äóøåðàçäèðàþùèìè ñòèõàìè, íî íèêîìó èç ìíîãî÷èñëåííûõ ïðåòåíäåíòîâ íå óäà¸òñÿ òàê çàâåñòè òîëïó, êàê [tribal_festival_winner.GetFirstName], ÷åé ãîëîñ ïî ïðàâó çàñëóæèë[tribal_festival_winner.GetEndA] [tribal_festival_winner.GetHerHim] çâàíèå ëó÷øåãî ïåâöà â [great_tribal_festival_host.Capital.GetName].;;x
EVTDESCHFA23901;It was an exhausting task. At the end of the day I can barely see straight and I have only little feeling left in my fingers, but the result was far worth all the pain it caused me. My tapestry was acclaimed as the undisputed best piece of artwork anyone in [great_tribal_festival_host.Capital.GetName] has ever seen.;;;;;;;;;;;Ýòî áûëà èçíóðèòåëüíàÿ ðàáîòà. Â êîíöå äíÿ ÿ åäâà ìîã[Root.GetNoneE] ñìîòðåòü ïðÿìî, è ó ìåíÿ ïî÷òè íå îñòàëîñü ÷óâñòâèòåëüíîñòè â ïàëüöàõ, íî ðåçóëüòàò ñòîèë âñåé òîé áîëè, êîòîðóþ îí ìíå ïðè÷èíèë. Ìîé ãîáåëåí áûë ïðèçíàí, áåññïîðíî, ëó÷øèì ïðîèçâåäåíèåì èñêóññòâà, êîòîðîå êîãäà-ëèáî âèäåëè â [great_tribal_festival_host.Capital.GetName].;;x
EVTDESCHFA23902;I work as fast as I could, but, by the end of the day, I am forced to leave my tapestry unfinished. Despite several of my tribesmen praising my work, its imperfection doomed it to lose the competition to [tribal_festival_winner.GetFirstName]'s masterpiece.;;;;;;;;;;;ß ðàáîòàþ òàê áûñòðî, êàê òîëüêî ìîãó, íî ê êîíöó äíÿ ÿ âûíóæäåí[Root.GetEndA] îñòàâèòü ñâîé ãîáåëåí íåçàâåðø¸ííûì. Íåñìîòðÿ íà òî, ÷òî íåêîòîðûå èç ìîèõ ñîïëåìåííèêîâ õâàëèëè ìîþ ðàáîòó, ýòî íåñîâåðøåíñòâî îáðåêëî å¸ íà ïîðàæåíèå â ñîðåâíîâàíèè ñ øåäåâðîì [tribal_festival_winner.GetFirstName].;;x
EVTDESCHFA23903;Of the many tapestries created today none is as marvelous as [tribal_festival_winner.GetFirstName]'s. [tribal_festival_winner.GetHerHisCap] work is acclaimed by most guests as the most original and skillfully made, ensuring [tribal_festival_winner.GetHerHis] victory in the competition.;;;;;;;;;;;Èç ìíîãèõ ãîáåëåíîâ, ñîçäàííûõ ñåãîäíÿ, íè îäèí íå ÿâëÿåòñÿ òàêèì ÷óäåñíûì, êàê ãîáåëåí [tribal_festival_winner.GetFirstName]. Ðàáîòà [tribal_festival_winner.GetHerHisCap] ïðèçíàíà áîëüøèíñòâîì ãîñòåé ñàìîé îðèãèíàëüíîé è èñêóñíî âûïîëíåííîé, ÷òî îáåñïå÷èëî äëÿ í[tribal_festival_winner.GetHerHis] ïîáåäó â êîíêóðñå.;;x
EVTDESCHFA23904;[From.GetTitledFirstName] has decided to give me a large sum of money for my performance during the festival, praising me in front of all the tribesmen gathered in [From.Capital.GetName].;;;;;;;;;;;[From.GetTitledFirstName] âðó÷èë[From.GetEndA] ìíå âíóøèòåëüíóþ ñóììó äåíåã çà ìî¸ âûñòóïëåíèå íà ïðàçäíèêå è ïóáëè÷íî âûðàçèë[From.GetEndA] ìíå áëàãîäàðíîñòü ïåðåä ñîïëåìåííèêàìè.;;x
EVTDESCHFA23910;With the period of festivities nearing its end, it is finally time to burn our offerings to the ancestors and pray that they will protect us in the years to come. A long moment of silence shrouds [Root.Capital.GetName] as the smoke rises to the nightly sky, then the shamans lead us in a somber hymn, concluding the ceremony.;;;;;;;;;;;Êîãäà ïåðèîä ïðàçäíåñòâ ïîäõîäèò ê ñâîåìó çàâåðøåíèþ, íàêîíåö-òî ïðèøëî âðåìÿ ñæå÷ü íàøè ïîäíîøåíèÿ ïðåäêàì è ìîëèòüñÿ, ÷òîáû îíè çàùèòèëè íàñ â ãðÿäóùèå ãîäû. Äîëãàÿ òèøèíà îêóòûâàåò [Root.Capital.GetName], ïîêà äûì ïîäíèìàåòñÿ ê íî÷íîìó íåáó, çàòåì øàìàíû èñïîëíÿþò ìðà÷íûé ãèìí, çàâåðøàÿ öåðåìîíèþ.;;x
EVTDESCHFA23911;With the period of festivities nearing its end, it is finally time to burn our offerings to the ancestors and pray that they will protect us in the years to come. A long moment of silence shrouds [From.Capital.GetName] as the smoke rises to the nightly sky, then the shamans lead us in a somber hymn, concluding the ceremony.;;;;;;;;;;;Êîãäà ïåðèîä ïðàçäíåñòâ ïîäõîäèò ê ñâîåìó çàâåðøåíèþ, íàêîíåö-òî ïðèøëî âðåìÿ ñæå÷ü íàøè ïîäíîøåíèÿ ïðåäêàì è ìîëèòüñÿ, ÷òîáû îíè çàùèòèëè íàñ â ãðÿäóùèå ãîäû. [From.Capital.GetName] ïîãðóæàåòñÿ â äîëãóþ òèøèíó, äûì ïîäíèìàåòñÿ ê íî÷íîìó íåáó, çàòåì øàìàíû èñïîëíÿþò ìðà÷íûé ãèìí, çàâåðøàÿ öåðåìîíèþ.;;x
EVTDESCHFB23811;The period of festivities is about to start. All sorts of peddlers, bards and fortunetellers are gathering in [great_tribal_festival_host.Capital.GetName], bringing their tales and offerings. This is surely going to be a great opportunity to meet new people and learn new games.;;;;;;;;;;;Íà÷èíàåòñÿ ïåðèîä ïðàçäíåñòâ. Ðàçëè÷íûå òîðãîâöû, áàðäû è ïðåäñêàçàòåëè ñîáèðàþòñÿ â [great_tribal_festival_host.Capital.GetName], ïðèíîñÿ ñâîè ðàññêàçû è ïîäíîøåíèÿ. Ýòî, íåñîìíåííî, áóäåò îòëè÷íîé âîçìîæíîñòüþ ïîçíàêîìèòüñÿ ñ íîâûìè ëþäüìè è íàó÷èòüñÿ íîâûì èãðàì.;;x
EVTDESCHFB23814;An old woman suddenly jumps in my line of sight, giving me a toothless smile and shaking a cup filled with dice. She claims that she can determine what the stars have in store for me, for the right price.;;;;;;;;;;;Âäðóã â ïîëå ìîåãî çðåíèÿ ïîÿâëÿåòñÿ ïîæèëàÿ æåíùèíà, îäàðèâàåò ìåíÿ áåççóáîé óëûáêîé è òðÿñ¸ò ÷àøêîé, íàïîëíåííîé èãðàëüíûìè êîñòÿìè. Îíà óòâåðæäàåò, ÷òî ìîæåò îïðåäåëèòü, ÷òî ïðèãîòîâèëè äëÿ ìåíÿ çâ¸çäû, çà ñîîòâåòñòâóþùåå âîçíàãðàæäåíèå.;;x
EVTDESCHFB23839;[From.GetFirstName] managed to sneak into the temple and rearrange the positions of the ancestors' statues! Even better, the old priests thought that the statues had moved by themselves and went screaming around town that a terrible calamity was about to strike all of us before they learned the truth and became the laughing stock of town.;;;;;;;;;;;[From.GetFirstName] óäàëîñü ïðîíèêíóòü â õðàì è ïåðåñòàâèòü ñòàòóè ïðåäêîâ! Áîëåå òîãî, ñòàðûå æðåöû äóìàëè, ÷òî ñòàòóè äâèãàëèñü ñàìè ïî ñåáå, è õîäèëè ïî ãîðîäó, êðè÷à, ÷òî íàñ âñåõ âîò-âîò ïîñòèãíåò óæàñíîå áåäñòâèå, ïðåæäå ÷åì îíè óçíàëè ïðàâäó è ñòàëè ïîñìåøèùåì äëÿ âñåãî ãîðîäà.;;x
EVTDESCHFB23840;[From.GetFirstName] managed to sneak inside the temple and steal some of the offerings for the ancestors. [From.GetSheHeCap] them brought them outside of town and shared them with the rest of us. We spent the rest of the evening laughing at the grown-ups wandering around the tribe, trying to understand what happened to the missing food.;;;;;;;;;;;[From.GetFirstName] óäàëîñü ïðîíèêíóòü â õðàì è óêðàñòü ÷àñòü ïîäíîøåíèé äëÿ ïðåäêîâ. [From.GetSheHeCap] ñóìåë[From.GetEndA] äîñòàâèòü èõ çà ãîðîä è ïîäåëèòñÿ ñ îñòàëüíûìè. Îñòàòîê âå÷åðà ìû ïðîâåëè, ñìåÿñü íàä âçðîñëûìè, êîòîðûå áðîäèëè ïî çåìëÿì ïëåìåíè, ïûòàÿñü ïîíÿòü, ÷òî ñëó÷èëîñü ñ ïðîïàâøåé åäîé.;;x
EVTDESCHFB23844;A particularly wealthy and obnoxious merchant has been drawn to town due to the great festival. Whenever he comes to town, he is always mean to me and my playmates, so, this year, we decided to get even with him. [From.GetFirstName] snuck behind his stand while he was distracted and stole one of his most precious trinkets, leaving the old merchant to spend the rest of the day looking for it.;;;;;;;;;;;Èç-çà áîëüøîãî ïðàçäíèêà â ãîðîäå ïîÿâèëñÿ îñîáåííî áîãàòûé è íåñíîñíûé òîðãîâåö. Êîãäà îí ïðèåçæàåò â ãîðîä, òî âñåãäà ãðóá ñî ìíîé è ìîèìè òîâàðèùàìè ïî èãðå, ïîýòîìó â ýòîì ãîäó ìû ðåøèëè ñ íèì ïîêâèòàòüñÿ. [From.GetFirstName] ïðîêðà[From.GetLasLsya] çà åãî ñòîéêó, ïîêà êóïåö îòâë¸êñÿ, è óêðàë[From.GetEndA] îäíó èç åãî ñàìûõ öåííûõ áåçäåëóøåê, âûíóäèâ ñòàðîãî òîðãîâöà ïðîâåñòè îñòàòîê äíÿ çà å¸ ïîèñêàìè.;;x
EVTDESCHFB23848;Some of the town's kids, led by [From.GetTitledFirstName], have decided to pester their parents and neighbors by throwing mud at them in the middle of the morning fair.;;;;;;;;;;;Íåñêîëüêî ãîðîäñêèõ äåòåé âî ãëàâå ñ [From.GetTitledFirstName] ðåøèëè äîñàäèòü ñâîèì ðîäèòåëÿì è ñîñåäÿì, çàáðîñàâ èõ ãðÿçüþ ïîñðåäè óòðåííåé ÿðìàðêè.;;x
EVTDESCHFB23852;After we gather a few playmates to act as witnesses, [From.GetFirstName] and I are off running around town, dodging servants, scaring off farm animals, zigzagging through the fields for the quickest path. Unfortunately, just a few steps before the finishing line, I trip over a rock and fall to the ground, allowing [From.GetFirstName] to surpass me.;;;;;;;;;;;Ïîñëå òîãî, êàê ìû ïðèãëàñèëè íåñêîëüêèõ òîâàðèùåé ïî èãðàì â êà÷åñòâå ñâèäåòåëåé, [From.GetFirstName] è ÿ áåæèì ïî ïîñåëåíèþ, óâîðà÷èâàÿñü îò ñëóã, îòïóãèâàÿ ñåëüñêîõîçÿéñòâåííûõ æèâîòíûõ, ïåòëÿÿ ïî ïîëÿì â ïîèñêàõ êðàò÷àéøåãî ïóòè. Ê ñîæàëåíèþ, âñåãî çà íåñêîëüêî øàãîâ äî ôèíèøà ÿ ñïîòûêàþñü î êàìåíü è ïàäàþ íà çåìëþ, ïîçâîëÿÿ [From.GetFirstName] ïðåâçîéòè ìåíÿ.;;x
EVTDESCHFB23876_A;A long line of tribesmen sit one next to each other, slamming their tankards on the table and loudly inciting the few contenders to keep drinking, one cup after the other. I clear my throat and blink a few times, waiting for someone to refill my horn, glancing at the closest of my opponents, eager for my next turn.;;;;;;;;;;;Äëèííàÿ âåðåíèöà ñîïëåìåííèêîâ ñèäèò äðóã ðÿäîì ñ äðóãîì, õëîïàÿ êðóæêàìè ïî ñòîëó è ãðîìêî ïîäñòðåêàÿ íåìíîãî÷èñëåííûõ ñîïåðíèêîâ ïðîäîëæàòü ïèòü, îäíó ÷àøó çà äðóãîé. ß ïðî÷èùàþ ãîðëî è íåñêîëüêî ðàç ìîðãàþ, îæèäàÿ, ïîêà êòî-íèáóäü ñíîâà íàïîëíèò ìîé ðîã, ïîãëÿäûâàÿ íà áëèæàéøèõ ïðîòèâíèêîâ, ïðåäâêóøàÿ ñâîé ñëåäóþùèé õîä.;;x
EVTDESCHFB23876_B;A long line of tribesmen sit one next to each other, slamming their tankards on the table and loudly inciting the few contenders to keep drinking, one cup after the other. Little by little, some of the contenders tap off, their heads falling heavily on the table.;;;;;;;;;;;Äëèííàÿ âåðåíèöà ñîïëåìåííèêîâ ñèäèò äðóã ðÿäîì ñ äðóãîì, õëîïàÿ êðóæêàìè ïî ñòîëó è ãðîìêî ïîäñòðåêàÿ íåìíîãî÷èñëåííûõ ñîïåðíèêîâ ïðîäîëæàòü ïèòü, îäíó ÷àøó çà äðóãîé. Ìàëî-ïîìàëó íåêîòîðûå ïðåòåíäåíòû çàìîëêàþò, èõ ãîëîâû òÿæåëî ïàäàþò íà ñòîë.;;x
EVTDESCHFB23882;I try my best, but, after only a few encounters I am forced to surrender and join the other less fortunate contenders, waiting for the tournament to end. When the sun sets, only one [tribal_festival_winner.GetManWoman] remains standing: [tribal_festival_winner.GetFirstName]. The crowd acclaims [tribal_festival_winner.GetHerHim] as the uncontested winner of the tournament, showering [tribal_festival_winner.GetHerHim] with cheers.;;;;;;;;;;;ß ñòàðàþñü èçî âñåõ ñèë, íî ïîñëå âñåãî ëèøü íåñêîëüêèõ ñõâàòîê ÿ âûíóæäåí[Root.GetEndA] ñäàòüñÿ è ïðèñîåäèíèòüñÿ ê äðóãèì ìåíåå óäà÷ëèâûì ïðåòåíäåíòàì, îæèäàþùèì îêîí÷àíèÿ òóðíèðà. Êîãäà ñîëíöå ñàäèòñÿ, îñòà¸òñÿ ñòîÿòü òîëüêî îä[tribal_festival_winner.GetNaIn] [tribal_festival_winner.GetManWoman]à: [tribal_festival_winner.GetFirstName]. Òîëïà ïðèâåòñòâóåò [tribal_festival_winner.GetHersHis] êàê áåçîãîâîðî÷í[tribal_festival_winner.GetUyuOgo] ïîáåäèòåë[tribal_festival_winner.GetSoftNitsuYa] òóðíèðà, îñûïàÿ [tribal_festival_winner.GetHersHis] àïëîäèñìåíòàìè.;;x
EVTDESCHFB23885;One by one, the contenders tap out, either falling asleep on the ground or stumbling away from the long-house with disgruntled mumblings. After some time, I am reluctantly forced to join them as well. In the end, there is only one [tribal_festival_winner.GetManWoman] who is left standing: [tribal_festival_winner.GetFirstName]. The tribesmen raise [tribal_festival_winner.GetHerHim] up and parade [tribal_festival_winner.GetHerHim] across the hall, chanting [tribal_festival_winner.GetHerHis] name.;;;;;;;;;;;Îäèí çà äðóãèì ïðåòåíäåíòû âûáûâàþò, òî çàñûïàÿ íà çåìëå, òî ñ íåäîâîëüíûì áîðìîòàíèåì ñïîòûêàþòñÿ, óäàëÿÿñü ïðî÷ü èç äëèííîãî äîìà. ×åðåç êàêîå-òî âðåìÿ ÿ ñ íåîõîòîé âûíóæäåí[Root.GetEndA] ïðèñîåäèíèòüñÿ ê íèì. Â êîíöå êîíöîâ, îñòàëñÿ òîëüêî îä[tribal_festival_winner.GetNaIn] [tribal_festival_winner.GetManWoman]à: [tribal_festival_winner.GetFirstName]. Ñîïëåìåííèêè ïîäíèìàþò [tribal_festival_winner.GetHersHis] è ïðîâîäÿò [tribal_festival_winner.GetHerHis] ÷åðåç çàë, ðàñïåâàÿ [tribal_festival_winner.GetHerHis] èìÿ.;;x
