EVTTITLE20003;The Conversion of [converting_king.PrimaryTitle.GetName];;;;;;;;;;;[sponsoring_king.GetMassBaptismEventTitle];;x
EVTDESCHFB20239;When my guards come to recover me in the morning, I barely remember anything of what has happened last night. I am fairly certain to remember, amongst other things, seeing [coronation_priest.GetTitledFirstName] crown me on top of a fountain of wine, while wearing nothing but [coronation_priest.GetHerHis] Papal tiara.;;;;;;;;;;;Óòðîì ïðèøëè ñòðàæíèêè, ÷òîáû ðàçáóäèòü ìåíÿ, íî ÿ åäâà ïîìíþ, ÷òî ñëó÷èëîñü ïðîøëîé íî÷üþ. Ïîìèìî ïðî÷åãî, ÿ óâåðåí[Root.GetEndA], ÷òî âèäåë[Root.GetEndA], êàê ãîë[coronation_priest.GetAyaYy] [coronation_priest.GetTitledFirstName] êîðîíîâàë[coronation_priest.GetEndA] ìåíÿ íà âåðøèíå ôîíòàíà ñ âèíîì. Íà í[coronation_priest.GetEyYom] íå áûëî íè÷åãî, êðîìå ïàïñêîé òèàðû.;;x
EVTDESCHFB20300;Now that I have found a [Root.Religion.GetName] priest willing to crown me, I must decide how much I wish to spend on the ceremony leading up to it.;;;;;;;;;;;Òåïåðü, êîãäà ÿ íàø[Root.GetLaYol] ñâÿùåííèêà, ãîòîâîãî êîðîíîâàòü ìåíÿ, íóæíî ðåøèòü, ñêîëüêî ÿ ãîòîâ[Root.GetEndA] ïîòðàòèòü äåíåã íà ýòó öåðåìîíèþ.;;x
EVTDESCHFB20305;The time of my coronation draws near: only a few more days before I am crowned [Root.GetTitle] before God and all my subjects. My court has been already filled with all the vassals of my realm who have come to bear witness to this fundamental moment of my reign.;;;;;;;;;;;Îñòàëîñü âñåãî íåñêîëüêî äíåé, ïðåæäå ÷åì ÿ îôèöèàëüíî ïðåäñòàíó êàê [Root.GetTitle] ïåðåä [Root.GetReligionHighGodINS] è ñâîèìè ïîääàííûìè. Ïðè ìî¸ì äâîðå óæå ñîáðàëèñü âñå ìîè âàññàëû, êîòîðûå ñòàíóò ñâèäåòåëÿìè ýòîãî çíàìåíàòåëüíîãî ìîìåíòà.;;x
EVTDESCHFB20308;[From.GetTitledFirstName] has cheerfully accepted my offer for friendship. I was not wrong in putting my trust in [From.GetHerHim], and now, thanks to this fortuitous meeting, I have further guaranteed the stability of my realm.;;;;;;;;;;;[From.GetTitledFirstName] ñ ðàäîñòüþ ïðèíÿë[From.GetEndA] ìî¸ ïðåäëîæåíèå äðóæáû. ß íå îøèá[Root.GetLasSya], äîâåðèâøèñü [From.GetHerHim], è òåïåðü, áëàãîäàðÿ ñëó÷àéíîé âñòðå÷å, ÿ îáåñïå÷èë[Root.GetEndA] ïðîöâåòàíèå ñâîåé ñòðàíå.;;x
EVTDESCHFB20316;Having all the important grownups in my palace is great opportunity to show them that I am just as smart and wise as any [Root.GetTitle] no matter how old I am.;;;;;;;;;;;Ïðèñóòñòâèå âñåõ ýòèõ âàæíûõ âçðîñëûõ ïðè ìî¸ì äâîðå - îòëè÷íàÿ âîçìîæíîñòü ïîêàçàòü, ÷òî ÿ íè÷óòü íå óñòóïàþ èì â ìóäðîñòè è äîñòî[Root.GetYnaIn] âíèìàíèÿ çà îáùèì ñòîëîì.;;x
EVTDESCHFB20317;When I started I was shaking a bit, but, after I finished listing all the responsibilities my tutor taught me about being a good [Root.GetTitle], all my guests applauded and congratulated me.;;;;;;;;;;;Íà÷àâ ñâî¸ âûñòóïëåíèå ÿ íåìíîãî âîëíîâà[Root.GetLasLsya], íî ê ìîìåíòó îêîí÷àíèÿ ðå÷è è ïåðå÷èñëåíèé âñåõ îáÿçàííîñòåé õîðîøåãî ïðàâèòåëÿ, ãîñòè àïëîäèðîâàëè ìíå.;;x
EVTDESCHFB20318;Just while I was in the middle of listing the duties of a good [Root.GetTitle] like my tutor taught me, somebody in the crowd coughed and I lost my concentration! After a few failed attempts at resuming my speech, I was too embarrassed to continue and left the room covering my face.;;;;;;;;;;;Ê òîìó ìîìåíòó, êàê ÿ äîø[Root.GetLaYol] äî ñåðåäèíû ñïèñêà îáÿçàííîñòåé õîðîøåãî ïðàâèòåëÿ, êòî-òî ãðîìêî êàøëÿíóë, è ÿ ïîòåðÿë[Root.GetEndA] êîíöåíòðàöèþ. Ïîñëå íåñêîëüêèõ íåóäà÷íûõ ïîïûòîê âîçîáíîâèòü ñâîþ ðå÷ü, ÿ áûë[Root.GetEndA] ñëèøêîì ñìóùåí[Root.GetEndA], ÷òîáû ïðîäîëæèòü, è â ïàíèêå âûáåæàë[Root.GetEndA] èç çàëà.;;x
EVTDESCHFB20319;The young [From.GetTitledFirstName] decided to call for the attention of all [From.GetHerHis] guests before tonight's dinner and spent a great deal of time listing the virtues of a good [From.GetTitle]. It was quite surprising to see a child show already such wisdom, so much so that, after [From.GetHerHis] speech, many were convinced that, despite [From.GetHerHis] young age, [From.GetFirstName] might make a great [From.GetTitle].;;;;;;;;;;;Ñåãîäíÿ çà óæèíîì þí[From.GetAyaYy] [From.GetTitledFirstName] ðåøèë[From.GetEndA] ïðèâëå÷ü âíèìàíèå âñåõ ñâîèõ ãîñòåé è ïîòðàòèë[From.GetEndA] ìíîãî âðåìåíè, ïåðå÷èñëÿÿ, êàêèìè äîñòîèíñòâàìè äîëæåí îáëàäàòü õîðîøèé ïðàâèòåëü. Áûëî äîâîëüíî íåîáû÷íî íàáëþäàòü, êàê ðåá¸íîê ïðîÿâëÿåò òàêóþ ìóäðîñòü. Ïîñëå [From.GetHersHis] ðå÷è ìíîãèå óêðåïèëèñü â óáåæäåíèè, ÷òî ñî âðåìåíåì [From.GetSheHe] ñòàíåò äîñòîéíûì ëèäåðîì.;;x
EVTDESCHFB20320;The young [From.GetTitledFirstName] decided to call for the attention of all [From.GetHerHis] guests before tonight's dinner and spent a great deal of time listing the virtues of a good [From.GetTitle]. Unfortunately, the child was not up to the task and stopped midway through [From.GetHerHis] speech, rushing away, red with embarrassment.;;;;;;;;;;;Ñåãîäíÿ çà óæèíîì þí[From.GetAyaYy] [From.GetTitledFirstName] ðåøèë[From.GetEndA] ïðèâëå÷ü âíèìàíèå âñåõ ñâîèõ ãîñòåé è ïîòðàòèë[From.GetEndA] ìíîãî âðåìåíè, ïåðå÷èñëÿÿ, êàêèìè äîñòîèíñòâàìè äîëæåí îáëàäàòü õîðîøèé ïðàâèòåëü. Ê ñîæàëåíèþ, äèòÿ íå ñïðàâèëîñü ñ çàäà÷åé. Ïîñðåäè ñâîåé ðå÷è [From.GetSheHe] â ïàíèêå âûáåæàë[From.GetEndA] èç çàëà.;;x
EVTDESCHFB20335;I would be quite enjoying my visit at [FromFrom.GetTitledFirstName]'s court if it were not for [From.GetTitledFirstName] constant harassment. The [From.GetManWoman] is clearly jealous of my accomplishments as [Root.GetTitle], and cannot stop trying to besmirch my reputation, hoping it would make [From.GetHerHim] feel better about [From.GetHerselfHimself].;;;;;;;;;;;[FromFrom.GetTitledFirstName] ðàäóøíî ïðèíÿë[FromFrom.GetEndA] ìåíÿ ïðè ñâî¸ì äâîðå, è âñ¸ ïðîøëî áû âåëèêîëåïíî, åñëè áû íå [From.GetTitledFirstName]. [From.GetSheHeCap] ÿâíî çàâèäóåò ìîèì óñïåõàì è ïîñòîÿííî ïûòàåòñÿ áðîñèòü òåíü íà ìîþ ðåïóòàöèþ, íàäåÿñü, ÷òî [From.GetHerHim] îò ýòîãî ñòàíåò ëåã÷å.;;x
EVTDESCHFB20336;I would be quite enjoying my visit at [FromFromFrom.GetTitledFirstName]'s court if it were not for [From.GetTitledFirstName] constant harassment. The [From.GetManWoman] is clearly jealous of my accomplishments as [Root.GetTitle], and cannot stop trying to besmirch my reputation, hoping it would make [From.GetHerHim] feel better about [From.GetHerselfHimself].;;;;;;;;;;;[FromFromFrom.GetTitledFirstName] ðàäóøíî ïðèíÿë[FromFromFrom.GetEndA] ìåíÿ ïðè ñâî¸ì äâîðå, è âñ¸ ïðîøëî áû âåëèêîëåïíî, åñëè áû íå [From.GetTitledFirstName]. [From.GetSheHeCap] ÿâíî çàâèäóåò ìîèì óñïåõàì è ïîñòîÿííî ïûòàåòñÿ áðîñèòü òåíü íà ìîþ ðåïóòàöèþ, íàäåÿñü, ÷òî [From.GetHerHim] îò ýòîãî ñòàíåò ëåã÷å.;;x
EVTDESCHFB20338;[From.GetTitledFirstName] decided to interfere with the argument I was in. While at first I was doubtful [From.GetSheHe] could offer any help, [From.GetHerHis] intervention was enough not only to stop my rival's unjust accusations, but also to help clear any disagreements we might have had with each other permanently. [From.GetTitledFirstName] has proven [From.GetHerselfHimself] to be a true friend.;;;;;;;;;;;[From.GetTitledFirstName] ðåøèë[From.GetEndA] âìåøàòüñÿ â íàø ñïîð. Ïîíà÷àëó ÿ ñîìíåâà[Root.GetLasLsya], ñìîæåò ëè [From.GetSheHe] õîòü êàê-òî ïîìî÷ü, íî [From.GetHersHis] àðãóìåíòîâ îêàçàëîñü äîñòàòî÷íî íå òîëüêî äëÿ òîãî, ÷òîáû îïðîâåðãíóòü íåñïðàâåäëèâûå îáâèíåíèÿ â ìîé àäðåñ, íî è ÷òîáû ïîìî÷ü ðàçðåøèòü êîíôëèêò. [From.GetTitledFirstName] äîêàçàë[From.GetEndA], ÷òî ìîæåò ñòàòü íàñòîÿùèì äðóãîì.;;x
EVTDESCHFB20339;[From.GetTitledFirstName] decided to interfere with the argument I was in. While at first I was doubtful [From.GetSheHe] could offer any help, [From.GetHerHis] intervention was enough not only to stop my rival's unjust accusations, but also to help clear any disagreements we might have had with each other permanently.;;;;;;;;;;;[From.GetTitledFirstName] ðåøèë[From.GetEndA] âìåøàòüñÿ â íàø ñïîð. Ïîíà÷àëó ÿ ñîìíåâà[Root.GetLasLsya], ñìîæåò ëè [From.GetSheHe] õîòü êàê-òî ïîìî÷ü, íî [From.GetHersHis] àðãóìåíòîâ îêàçàëîñü äîñòàòî÷íî íå òîëüêî äëÿ òîãî, ÷òîáû îïðîâåðãíóòü íåñïðàâåäëèâûå îáâèíåíèÿ â ìîé àäðåñ, íî è ÷òîáû ïîìî÷ü ðàçðåøèòü êîíôëèêò.;;x
EVTDESCHFB20340;[From.GetTitledFirstName] decided to interfere in the argument I was in. While [From.GetHerHis] intentions were good, [From.GetHerHis] attempt to mend the disagreements I have with my rival was fruitless. This is no problem that can be fixed with a simple talk.;;;;;;;;;;;[From.GetTitledFirstName] ðåøèë[From.GetEndA] âìåøàòüñÿ â íàø ñïîð. Ó í[From.GetHersHis] áûëè äîáðûå íàìåðåíèÿ, íî ïîïûòêà óëàäèòü íàøè ðàçíîãëàñèÿ îêàçàëàñü áåñïëîäíîé. Ýòî íå òà ïðîáëåìà, êîòîðóþ ìîæíî ðåøèòü ïðîñòûì ðàçãîâîðîì.;;x
EVTDESCHFB20341;[From.GetTitledFirstName] decided to interfere in the argument I was in. As if that was not embarrassing enough, I am now certain that [From.GetSheHe] favored my rival's reasons over mine, a clear breach of [From.GetHerHis] duty as host to be welcoming to all [From.GetHerHis] guests.;;;;;;;;;;;[From.GetTitledFirstName] ðåøèë[From.GetEndA] âìåøàòüñÿ â íàø ñïîð. Òåïåðü ÿ óâåðåí[Root.GetEndA], ÷òî [From.GetSheHe] áëàãîâîëèò ê ìîåìó âðàãó. Ýòî íåäîïóñòèìî, âåäü ãîñòåïðèèìí[From.GetAyaYy] õîçÿ[From.GetYkaIn] äîëæ[From.GetNaEn] ïðîÿâëÿòü ðàäóøèå êî âñåì ñâîèì ãîñòÿì.;;x
EVTDESCHFB20346;This morning a curious visitor came to my court: he is a wandering knight who traveled to [Root.Capital.GetName] after hearing news of my upcoming coronation. He has proclaimed that he wishes to pledge his loyalty to me and protect my honor from all offenders. He is ready and eager to defend the reputation of a [Root.GetTitle] whose virtue is as renown as mine to his death.;;;;;;;;;;;Ñåãîäíÿ óòðîì ê ìîåìó äâîðó ïðèáûë ëþáîïûòíûé ïîñåòèòåëü: ñòðàíñòâóþùèé ðûöàðü, êîòîðûé ïóòåøåñòâóÿ ÷åðåç [Root.Capital.County.GetAdjective]ñêèå çåìëè, óñëûøàë î ìîåé ïðåäñòîÿùåé êîðîíàöèè. Îí ñêàçàë, ÷òî õî÷åò ïðèíåñòè ìíå êëÿòâó âåðíîñòè è çàùèùàòü ìåíÿ îò âñåõ, êòî ïîïûòàåòñÿ ïðè÷èíèòü ìíå âðåä. Îí ñ÷èòàåò, ÷òî òàê[Root.GetAyaOy] äîáðîäåòåëüí[Root.GetAyaYy] ïðàâèòåëü[Root.GetEndNitsa], êàê ÿ, äîñòî[Root.GetYnaIn] òîãî, ÷òîáû ïîñâÿòèòü [Root.GetHerHim] ñâîþ æèçíü.;;x
EVTDESCHFB20352;Everybody is praising [From.GetTitledFirstName], everybody is saying what a great [From.GetTitle] [From.GetSheHe] will make... I cannot stand the sight of my old rival being showered with compliments. Being invited to [From.GetHerHis] moment of glory was an insult of its own, really.;;;;;;;;;;;Â ïîñëåäíåå âðåìÿ âñå òîëüêî è òâåðäÿò î òîì, êàê[From.GetAyaOy] çàìå÷àòåëüí[From.GetAyaYy] [From.GetTitledFirstName], è êàêèì âåëèêèì ìîíàðõîì [From.GetSheHe] ñòàíåò... Ýòî íåâûíîñèìî - íàáëþäàòü, êàê òâîåãî âðàãà îñûïàþò êîìïëèìåíòàìè. Ñàì ôàêò òîãî, ÷òî ìåíÿ ïðèãëàñèëè, ÷òîáû çàñâèäåòåëüñòâîâàòü ìîìåíò [From.GetHersHis] âåëè÷àéøåãî òðèóìôà, äëÿ ìåíÿ íå ÷òî èíîå, êàê ïîäëîå îñêîáëåíèå.;;x
EVTDESCHFB20353;[From.GetTitledFirstName] decided to pick a fight with me during tonight's feast. For whatever reason, [From.GetSheHe] has come to the conclusion that I am an ungrateful hypocrite.;;;;;;;;;;;Ñåãîäíÿ âå÷åðîì âî âðåìÿ ïðàçäíè÷íîãî óæèíà [From.GetTitledFirstName] ðåøèë[From.GetEndA] ïîäðàòüñÿ ñî ìíîé. Ïî êàêîé-òî ïðè÷èíå [From.GetSheHe] ïðèø[From.GetLaYol] ê âûâîäó, ÷òî ÿ - áåññîâåñòí[Root.GetAyaYy] ëèöåìåð[Root.GetEndKa], ðàç ïðèãëàñèë[Root.GetEndA] [From.GetHersHis] íà ñâîþ êîðîíàöèþ.;;x
EVTDESCHFB20355;What sort of [Root.GetTitle] am I to become? I could not even manage to organize a proper coronation ceremony, during a time of peace. Here I am, wading through the mud of a military encampment, preparing to receive my crown in the most undignified of settings...;;;;;;;;;;;Êàêèì ìîíàðõîì ìíå ñóæäåíî ñòàòü? ß äàæå íå ñìîã[Root.GetNoneE] îðãàíèçîâàòü íàäëåæàùóþ öåðåìîíèþ êîðîíàöèè â ìèðíîå âðåìÿ. È âîò ÿ çäåñü, áðîæó ïî ãðÿçíûì çàêîóëêàì âîåííîãî ëàãåðÿ, ãîòîâÿñü ïîëó÷èòü ñâîþ êîðîíó â ñàìîé íåäîñòîéíîé îáñòàíîâêå.;;x
EVTDESCHFB20356;However justified my reasons were to organize a secluded ceremony during a war, my vassals are far from pleased. Not only do they perceive it as a sign of weakness, but they all seem to have taken their lack of invitation as a personal slight against them!;;;;;;;;;;;×åì áû íè áûëî îïðàâäàíî ìî¸ ðåøåíèå îðãàíèçîâàòü óåäèí¸ííóþ öåðåìîíèþ âî âðåìÿ âîéíû, ìîè âàññàëû ñîâñåì íå äîâîëüíû. Îíè íå òîëüêî îöåíèëè ýòî êàê ïðèçíàê ñëàáîñòè, íî è âîñïðèíÿëè îòñóòñòâèå ïðèãëàøåíèÿ, êàê íåóâàæåíèå!;;x
EVTDESCHFB20357;I have only heard of [From.GetTitledFirstName]'s pending coronation after the news spread across the realm. It seems that the [From.GetTitle] has organized a very secluded ceremony for [From.GetHerHis] coronation, to be held in [From.GetHerHis] own military tent. Invitation was granted only to [From.GetHerHis] most trusted councilors.;;;;;;;;;;;Òî, ÷òî [From.GetTitledFirstName] ãîòîâèòñÿ ê êîðîíàöèè, ÿ óçíàë[Root.GetEndA] òîëüêî ïîñëå òîãî, êàê íîâîñòü óæå ðàñïðîñòðàíèëàñü ïî âñåé ñòðàíå. Ñóäÿ ïî âñåìó, [From.GetSheHe] îðãàíèçîâàë[From.GetEndA] ñåáå óåäèí¸ííóþ öåðåìîíèþ, êîòîðàÿ ïðîéä¸ò â øàòðå âîåííîãî ëàãåðÿ. Ïðèãëàøåíèå áûëî îòïðàâëåíî òîëüêî ñàìûì äîâåðåííûì ñîâåòíèêàì.;;x
EVTDESCHFB20358;Just as [coronation_priest.GetSheHe] is about to complain for the hundredth time about the poor locale my coronation is taking place in, one of the swines trotting around the main hall bumps into the Holy Father, slamming [coronation_priest.GetHerHim] headfirst into the mud. A dead silence falls upon the main hall.;;;;;;;;;;;Â òîò ìîìåíò, êîãäà [coronation_priest.GetTitledFirstName] ñîáðà[coronation_priest.GetLasLsya] â ñîòûé ðàç ïîæàëîâàòüñÿ íà ìåñòî ïðîâåäåíèÿ ìîåé êîðîíàöèè, îäíà èç ñâèíåé, áåãóùèõ ðûñüþ ïî ãëàâíîìó çàëó, íàòêíóëàñü ñâîèì ãðÿçíûì ðûëîì ïðÿìî íà Ñâÿòîãî Îòöà. Âîöàðèëàñü ì¸ðòâàÿ òèøèíà.;;x
EVTDESCHFB20359;It came to me as no surprise that [coronation_priest.GetTitledFirstName] was disappointed with the secluded ceremony my liege organized for [From.GetHerHis] coronation. The [coronation_priest.GetTitle] even refused to visit my ruler in person, claiming that it would have been too dangerous a travel for [coronation_priest.GetHerHim] to partake.;;;;;;;;;;;Ìåíÿ íå óäèâèëî, ÷òî [coronation_priest.GetTitledFirstName] áûë[coronation_priest.GetEndA] ðàçî÷àðîâàí[coronation_priest.GetEndA] óåäèí¸ííîé öåðåìîíèåé, îðãàíèçîâàííîé ìî[From.GetEyIm] [From.GetLordLadyINS] äëÿ [From.GetHersHis] êîðîíàöèè. [coronation_priest.GetTitle] äàæå îòêàçà[coronation_priest.GetLasLsya] ëè÷íî ïîñåòèòü ìî[From.GetYuEgo] [From.GetLordLadyACC], óòâåðæäàÿ, ÷òî ýòî áûëî áû ñëèøêîì îïàñíî äëÿ í[coronation_priest.GetHersHis].;;x
EVTDESCHFB20366;I kneel before [coronation_priest.GetTitledFirstName] as host of vassals surrounds us in complete silence. The Pope blesses me before placing the Imperial Crown upon my head and proclaiming me [coronation_ruler.GetTitle] of [coronation_ruler.PrimaryTitle.GetName] by grace of [Root.Religion.GetHighGodName].;;;;;;;;;;;ß ïðåêëîíèë[Root.GetEndA] êîëåíî, îêðóæ¸íí[Root.GetAyaYy] ñâîèìè âàññàëàìè, áåçìîëâíî íàáëþäàâøèìè çà ïðîèñõîäÿùèì. Ïàïà áëàãîñëîâèë[coronation_priest.GetEndA] ìåíÿ, à çàòåì îïóñòèë[coronation_priest.GetEndA] èìïåðñêóþ êîðîíó íà ìîþ ãîëîâó è ïðîâîçãëàñèë[coronation_priest.GetEndA], ÷òî òåïåðü ÿ ìèëîñòüþ [Root.GetReligionHighGodGEN] [coronation_ruler.GetTitle] [coronation_ruler.PrimaryTitle.GetAdjective]ñêîãî ãîñóäàðñòâà.;;x
EVTDESCHFB20367;[coronation_ruler.GetTitledFirstName] kneels before [coronation_priest.GetTitledFirstName] as [coronation_ruler.GetHerHis] host of vassals surrounds them in complete silence. The Pope blesses [coronation_ruler.GetHerHim] before placing the Imperial Crown upon [coronation_ruler.GetFirstName]'s head and proclaiming [coronation_ruler.GetHerHim] [coronation_ruler.GetTitle] of [coronation_ruler.PrimaryTitle.GetName] by grace of [Root.Religion.GetHighGodName].;;;;;;;;;;;[coronation_ruler.GetTitledFirstName] ïðåêëîíèë[coronation_ruler.GetEndA] êîëåíî ïåðåä Ïàïîé â îêðóæåíèè âûáîðùèêîâ è âàññàëîâ, áåçìîëâíî íàáëþäàâøèõ çà ïðîèñõîäÿùèì. Ïàïà áëàãîñëîâèë[coronation_priest.GetEndA] [coronation_ruler.GetHersHis], à çàòåì îïóñòèë[coronation_priest.GetEndA] èìïåðñêóþ êîðîíó íà [coronation_ruler.GetHersHis] ãîëîâó è ïðîâîçãëàñèë[coronation_priest.GetEndA], ÷òî òåïåðü [coronation_ruler.GetSheHe] ìèëîñòüþ [coronation_ruler.GetReligionHighGodGEN] [coronation_ruler.GetTitle] [coronation_ruler.PrimaryTitle.GetAdjective]ñêîãî ãîñóäàðñòâà.;;x
EVTDESCHFB20370;With the ceremony finally concluded, [From.GetTitledFirstName] bid me farewell and dismissed me from [From.GetHerHis] court, alongside all [From.GetHerHis] other guests.;;;;;;;;;;;Êîãäà öåðåìîíèÿ , íàêîíåö, çàâåðøèëàñü, [From.GetTitledFirstName] ïîïðîùà[From.GetLasLsya] ñî ìíîé è îòïóñòèë[From.GetEndA] ìåíÿ îò ñâîåãî äâîðà, ðàâíî êàê è ïðî÷èõ ñâîèõ ãîñòåé.;;x
EVTDESCHFB20371;The Pope was baffled when [coronation_ruler.GetTitledFirstName] reached for the Imperial Crown in the middle of the ceremony and snatched away the golden circlet from his hands. Amongst the general amazement of the large crowd of noblemen gathered around them, [coronation_ruler.GetTitledFirstName] announced that from [coronation_ruler.GetHerHis] reign forward the Papacy would hold no longer any power over the Imperial throne, as it was the case for all Roman Emperors of old.;;;;;;;;;;;Ïàïà áûë[coronation_priest.GetEndA] ñáèò[coronation_priest.GetEndA] ñ òîëêó, êîãäà âî âðåìÿ öåðåìîíèè [coronation_ruler.GetTitledFirstName] ïîòÿíó[Root.GetLasLsya] ê èìïåðàòîðñêîé êîðîíå è âûõâàòèë[Root.GetEndA] å¸ èç [coronation_priest.GetHersHis] ðóê. Ê âñåîáùåìó óäèâëåíèþ ïðåäñòàâèòåëåé çíàòè, ñîáðàâøèõñÿ âîêðóã, [coronation_ruler.GetSheHe] îáúÿâèë[Root.GetEndA], ÷òî ñ ýòîãî äíÿ ïàïñòâî áîëüøå íå áóäåò èìåòü âëàñòè íàä èìïåðñêèì ïðåñòîëîì, êàê ýòî èìåëî ìåñòî äëÿ äëÿ [_ðèì]ñêèõ èìïåðàòîðîâ ïðîøëîãî.;;x
EVTDESCHFB20392;I am still thinking about [FromFrom.GetTitledFirstName]'s coronation. While I am yet to be anointed [Root.GetTitle], [FromFrom.GetFirstName] is already flaunting [FromFrom.GetHerHis] crown with all of [FromFrom.PrimaryTitle.GetName]'s neighboring royalty after putting up a spectacle that will be remembered for years to come...;;;;;;;;;;;ß âñ¸ åù¸ äóìàþ î òîì, êàê êîðîíîâà[FromFrom.GetLasLsya] [FromFrom.GetTitledFirstName]. Ìíå òîëüêî ïðåäñòîèò ïðîéòè ÷åðåç ïîäîáíóþ öåðåìîíèþ, íî [FromFrom.GetFirstName] óñòðîèë[FromFrom.GetEndA] ñâîèì ãîñòÿì çðåëèùå, êîòîðîå îíè çàïîìíÿò íà äîëãèå ãîäû è óæå õâàñòàåòñÿ [FromFrom.PrimaryTitle.GetAdjective]ñêîé êîðîíîé ïåðåä ñîñåäÿìè...;;x
EVTDESCHFB20408;Since I have forsaken the [From.Religion.GetName] faith, I must petition the [Root.Religion.GetName] Church's approval in order to be deemed worthy of my crown.;;;;;;;;;;;ß áîëüøå íå [From.GetReligionAdherent], à çíà÷èò ïðîñèòü ïðèçíàíèÿ ìîåãî ïðàâà íà òðîí ÿ äîëæ[Root.GetNaEn] ó [Root.GetRelAdj]ñêîé Öåðêâè.;;x
EVTDESCHFB20410;The child kneels down, reciting mechanically [FromFrom.GetHerHis] oath of vassalage. I had no idea [FromFrom.GetTitledFirstName] was such a young [FromFrom.GetBoyGirl]...;;;;;;;;;;;Áåç òåíè ñîìíåíèé [FromFrom.GetAgedPersonC] ïðåêëîíèë[FromFrom.GetEndA] êîëåíî è ïðèíåñ[FromFrom.GetNoneE] ìíå êëÿòâó âåðíîñòè. ß è íå çàäóìûâà[Root.GetLasLsya], êàê ýòî íåîáû÷íî - ïðèíèìàòü ïðèñÿãó îò ñòîëü þíîãî âàññàëà.;;x
EVTDESCHFB20411;I kneel down to the child [From.GetTitle], peeking every once in a while to make sure that [From.GetSheHe] is still listening to my oath. I never realized that my liege was such a young [From.GetBoyGirl]...[Root.GetHomageReaction];;;;;;;;;;;ß ïðåêëîíèë[Root.GetEndA] êîëåíî ïåðåä ñþçåðåíîì è íà÷àë[Root.GetEndA] ïðîèçíîñèòü ñëîâà êëÿòâû, òî è äåëî ïîãëÿäûâàÿ, ÷òîáû óáåäèòüñÿ, ÷òî [From.GetSheHe] âñ¸ åù¸ ñëóøàåò ìåíÿ. Íèêàê íå ìîãó ïðèâûêíóòü, ÷òî ýò[From.GetEtaEtot] [From.GetLadLass] - ì[From.GetOyaOy] [From.GetLordLady][Root.GetHomageReaction];;x
EVTDESCHFC20224;I have successfully wrestled Papal lands from infidel control and delivered them back under the blessed authority of the Holy See. His Holiness was so relieved by my victory that he decided to entrust me with the safekeeping of one of the most sacred relics of the Church.;;;;;;;;;;;ß óñïåøíî âûðâàë[Root.GetEndA] Ïàïñêèå çåìëè èç ëàï èíîâåðöåâ è âåðíóë[Root.GetEndA] èõ Ñâÿòîìó Ïðåñòîëó. [Root.RelHead.GetHersHisCap] Ñâÿòåéøåñòâî áûë[Root.RelHead.GetEndA] òàê ðàä[Root.RelHead.GetEndA] ìîåé ïîáåäå, ÷òî ðåøèë[Root.RelHead.GetEndA] ïîðó÷èòü ìíå õðàíåíèå îäíîé èç ñàìûõ ñâÿùåííûõ ðåëèêâèé Öåðêâè.;;x
EVTDESCHFC20300;Now that I have found a distinguished member of the Catholic clergy to officiate the rites, it is time to organize the ceremony itself. Unfortunately, the necessities imposed by the war I am waging will force me to have only a small gathering of my closest allies to witness this momentous occasion.;;;;;;;;;;;Òåïåðü, êîãäà ÿ íàø[Root.GetLaYol] âûäàþùåãîñÿ ïðåäñòàâèòåëÿ êàòîëè÷åñêîãî äóõîâåíñòâà äëÿ ñîâåðøåíèÿ îáðÿäà, ïðèøëî âðåìÿ îðãàíèçîâàòü öåðåìîíèþ. Ê ñîæàëåíèþ, íåîáõîäèìîñòü, âûçâàííàÿ âîéíîé, âûíóæäàåò ìåíÿ ñîáðàòü ëèøü íåáîëüøóþ ãðóïïó ìîèõ áëèæàéøèõ ñîþçíèêîâ, ÷òîáû çàñâèäåòåëüñòâîâàòü ýòî çíàìåíàòåëüíîå ñîáûòèå.;;x
EVTDESCHFC20305;The time of my coronation draws near: only a few more days before I am crowned [Root.GetTitle] before God and all my subjects. It will be a long wait with very little to do, but I hope at least that this period of seclusion will give me time to ponder upon my future responsibilities as [Root.GetTitle].;;;;;;;;;;;Îñòàëîñü âñåãî íåñêîëüêî äíåé, ïðåæäå ÷åì ÿ îôèöèàëüíî ïðåäñòàíó êàê [Root.GetTitle] ïåðåä [Root.GetReligionHighGodINS] è ñâîèìè ïîääàííûìè. Æäàòü åù¸ òàê äîëãî, à äåë îñòàëîñü íå òàê óæ ìíîãî, íî, íàäåþñü, ÷òî ïðîâåäÿ ýòîò ïåðèîä â óåäèíåíèè, ÿ ñìîãó õîðîøåíüêî îáäóìàòü ñâîè ðåøåíèÿ ïîñëå êîðîíàöèè.;;x
