# Vanilla
alcohol_gift_decision;Send Alcohol Gift;;;;;;;;;;;Ïîäàðèòü [GetAlcoholContainerType] [From.GetAlcoholGEN];;x
secretly_convert_to_close_relations_religion;Secretly Convert to [Root.Religion.GetName];;;;;;;;;;;Òàéíî ïðèíÿòü [Root.GetReligionFullName];;x
secretly_convert_to_close_relations_religion_desc;The §Y[Root.Religion.GetName]§! faith of §Y[Root.GetFirstName]§! intrigues and fascinates me. I could not embrace it openly, but I am tempted to convert in secrecy...;;;;;;;;;;;Òî, êàê §Y[Root.GetFirstName]§! âîñïðèíèìàåò §Y[Root.GetReligionFullName]§!, [Root.GetHersHis] èñêðåííÿÿ âåðà â íåãî, òàê èíòðèãóåò è çàâîðàæèâàåò ìåíÿ. Êîíå÷íî, ÿ íå ìîãó îòêðûòî èñïîâåäîâàòü åãî, íî òàéíî...;;x
secretly_convert_to_finnish_pagan_holy_site;Secretly Convert to Suomenusko;;;;;;;;;;;Òàéíî ïðèíÿòü ôèíñêîå ÿçû÷åñòâî;;x
secretly_convert_to_finnish_pagan_holy_site_desc;The §YSuomenusko§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;Ïîñëåäîâàòåëè §Yôèíñêîé§! âåðû ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_finnish_pagan_reformed_holy_site;Secretly Convert to Suomenusko;;;;;;;;;;;Òàéíî ïðèíÿòü ôèíñêîå ÿçû÷åñòâî;;x
secretly_convert_to_finnish_pagan_reformed_holy_site_desc;The §YSuomenusko§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;Ïîñëåäîâàòåëè §Yôèíñêîé§! âåðû ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_hindu_holy_site;Secretly Convert to Hindu;;;;;;;;;;;Òàéíî ïðèíÿòü èíäóèçì;;x
secretly_convert_to_hindu_holy_site_desc;The §YHindu§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;§YÈíäóèñòû§! ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_ibadi_holy_site;Secretly Convert to Ibadi;;;;;;;;;;;Òàéíî ïðèíÿòü èáàäèçì;;x
secretly_convert_to_ibadi_holy_site_desc;The §YIbadi§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;§YÈáàäèòû§! ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_jain_holy_site;Secretly Convert to Jain;;;;;;;;;;;Òàéíî ïðèíÿòü äæàéíèçì;;x
secretly_convert_to_jain_holy_site_desc;The §YJain§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;§YÄæàéíû§! ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_jewish_holy_site;Secretly Convert to Jewish;;;;;;;;;;;Òàéíî ïðèíÿòü èóäàèçì;;x
secretly_convert_to_jewish_holy_site_desc;The §YJewish§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;§YÈóäåè§! ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_miaphysite_holy_site;Secretly Convert to Miaphysite;;;;;;;;;;;Òàéíî ïðèíÿòü ìèàôèçèòñòâî;;x
secretly_convert_to_miaphysite_holy_site_desc;The §YMiaphysite§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;§YÌèàôèçèòû§! ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_nestorian_holy_site;Secretly Convert to Nestorian;;;;;;;;;;;Òàéíî ïðèíÿòü íåñòîðèàíñòâî;;x
secretly_convert_to_nestorian_holy_site_desc;The §YNestorian§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;§YÍåñòîðèàíå§! ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_norse_pagan_holy_site;Secretly Convert to Germanic;;;;;;;;;;;Òàéíî ïðèíÿòü ãåðìàíñêîå ÿçû÷åñòâî;;x
secretly_convert_to_norse_pagan_holy_site_desc;The §YGermanic§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;Ïîñëåäîâàòåëè §Yãåðìàíñêîé§! âåðû ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_norse_pagan_reformed_holy_site;Secretly Convert to Germanic;;;;;;;;;;;Òàéíî ïðèíÿòü ãåðìàíñêîå ÿçû÷åñòâî;;x
secretly_convert_to_norse_pagan_reformed_holy_site_desc;The §YGermanic§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;Ïîñëåäîâàòåëè §Yãåðìàíñêîé§! âåðû ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_orthodox_holy_site;Secretly Convert to Orthodox;;;;;;;;;;;Òàéíî ïðèíÿòü ïðàâîñëàâèå;;x
secretly_convert_to_orthodox_holy_site_desc;The §YOrthodox§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;§YÏðàâîñëàâíûå§! õðèñòèàíå ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_province_religion;Secretly Convert to [Root.Location.Religion.GetName];;;;;;;;;;;Òàéíî ïðèíÿòü [Root.Location.GetReligionFullName];;x
secretly_convert_to_province_religion_desc;The §Y[Root.Location.Religion.GetName]§! people in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. The glory of §Y[Root.Location.Religion.GetRandomGodName]§! calls to me, and I am tempted to convert in secrecy...;;;;;;;;;;;§Y[Root.Location.County.GetAdjective]ñêèå§! æèòåëè, èñïîâåäóþùèå §Y[Root.Location.GetReligionFullName]§!, âïå÷àòëÿþò ìåíÿ ãëóáèíîé è ñòðàñòüþ ñâîåé âåðû. ×óâñòâóþ, êàê §Y[Root.Location.Religion.GetRandomGodName]§! çîâ¸ò ìåíÿ... Íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_shiite_holy_site;Secretly Convert to Shiite;;;;;;;;;;;Òàéíî ïðèíÿòü øèèçì;;x
secretly_convert_to_shiite_holy_site_desc;The §YShiite§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;§YØèèòû§! ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_slavic_pagan_holy_site;Secretly Convert to Slavic;;;;;;;;;;;Òàéíî ïðèíÿòü ñëàâÿíñêîå ÿçû÷åñòâî;;x
secretly_convert_to_slavic_pagan_holy_site_desc;The §YSlavic§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;§YÑëàâÿíñêèå§! ðîäîâåðû ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_slavic_pagan_reformed_holy_site;Secretly Convert to Slavic;;;;;;;;;;;Òàéíî ïðèíÿòü ñëàâÿíñêîå ÿçû÷åñòâî;;x
secretly_convert_to_slavic_pagan_reformed_holy_site_desc;The §YSlavic§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;§YÑëàâÿíñêèå§! ðîäîâåðû ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_sunni_holy_site;Secretly Convert to Sunni;;;;;;;;;;;Òàéíî ïðèíÿòü ñóííèçì;;x
secretly_convert_to_sunni_holy_site_desc;The §YSunni§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;§YÑóííèòû§! ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_taoist_holy_site;Secretly Convert to Taoist;;;;;;;;;;;Òàéíî ïðèíÿòü [äàîñ]èçì;;x
secretly_convert_to_taoist_holy_site_desc;The §YTaoist§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;Ïàëîìíèêè-§Y[_äàîñ]û§!, ñòåêàþùèåñÿ â §Y[Root.Location.County.GetAdjective]ñêèå§! çåìëè, âïå÷àòëÿþò ìåíÿ ãëóáèíîé è ñòðàñòüþ ñâîåé âåðû. ×óâñòâóþ, êàê §Y[taoist.GetHighGodName]§! çîâ¸ò ìåíÿ... Íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_tengri_pagan_holy_site;Secretly Convert to Tengri;;;;;;;;;;;Òàéíî ïðèíÿòü òåíãðèàíñòâî;;x
secretly_convert_to_tengri_pagan_holy_site_desc;The §YTengri§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;§YÒåíãðèàíå§! ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_tengri_pagan_reformed_holy_site;Secretly Convert to Tengri;;;;;;;;;;;Òàéíî ïðèíÿòü òåíãðèàíñòâî;;x
secretly_convert_to_tengri_pagan_reformed_holy_site_desc;The §YTengri§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;§YÒåíãðèàíå§! ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_west_african_pagan_holy_site;Secretly Convert to African;;;;;;;;;;;Òàéíî ïðèíÿòü çàïàäíîàôðèêàíñêîå ÿçû÷åñòâî;;x
secretly_convert_to_west_african_pagan_holy_site_desc;The §YAfrican§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;Ïîñëåäîâàòåëè §Yçàïàäíîàôðèêàíñêèõ§! êóëüòîâ ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_west_african_pagan_reformed_holy_site;Secretly Convert to African;;;;;;;;;;;Òàéíî ïðèíÿòü çàïàäíîàôðèêàíñêîå ÿçû÷åñòâî;;x
secretly_convert_to_west_african_pagan_reformed_holy_site_desc;The §YAfrican§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;Ïîñëåäîâàòåëè §Yçàïàäíîàôðèêàíñêèõ§! êóëüòîâ ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_zoroastrian_holy_site;Secretly Convert to Zoroastrian;;;;;;;;;;;Òàéíî ïðèíÿòü çîðîàñòðèçì;;x
secretly_convert_to_zoroastrian_holy_site_desc;The §YZoroastrian§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;§YÇîðîàñòðèéöû§! ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_zun_pagan_holy_site;Secretly Convert to Zun;;;;;;;;;;;Òàéíî ïðèíÿòü çóíñêîå ÿçû÷åñòâî;;x
secretly_convert_to_zun_pagan_holy_site_desc;The §YZun§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;Ñîëíöåïîêëîííèêè, òàêæå èçâåñòíûå êàê §Yçóíèñòû§!, ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
secretly_convert_to_zun_pagan_reformed_holy_site;Secretly Convert to Zun;;;;;;;;;;;Òàéíî ïðèíÿòü çóíñêîå ÿçû÷åñòâî;;x
secretly_convert_to_zun_pagan_reformed_holy_site_desc;The §YZun§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;;;;;;;;;;;Ñîëíöåïîêëîííèêè, òàêæå èçâåñòíûå êàê §Yçóíèñòû§!, ïðèáûâàþò â íàøè çåìëè, ÷òîáû ñîâåðøèòü ïàëîìíè÷åñòâî ê §Y[Root.Location.County.GetAdjective]ñêîé§! ñâÿòûíå. Òî, ñ êàêîé ãëóáèíîé è ñòðàñòüþ îíè ñëåäóþò ñâîåé âåðå, âåñüìà âïå÷àòëÿåò ìåíÿ. Âîçìîæíî, ìíå ñëåäóåò ïðèñîåäèíèòüñÿ ê íèì, íî ëó÷øå äåðæàòü ýòî â òàéíå.;;x
# Legacy of Rome
claim_constantinople;Claim Constantinople;;;;;;;;;;;Ïðèòÿçàíèÿ íà Êîíñòàíòèíîïîëü;;x
claim_constantinople_desc;As the Roman [Root.GetTitle], the Imperial City should be yours to rule.;;;;;;;;;;;Êàê [Root.GetTitle] Ðèìà, Âû äîëæíû ïðàâèòü â èìïåðñêîì ãîðîäå.;;x
make_rome_capital;Make Rome Capital;;;;;;;;;;;Ñäåëàòü Ðèì ñòîëèöåé;;x
make_rome_capital_desc;The city of Rome has seen better days, but no one can deny its symbolic power. If you so wish, you may restore it as the capital of the Empire.;;;;;;;;;;;Ðèì âèäåë ëó÷øèå äíè, íî íèêòî íå ìîæåò îòðèöàòü åãî ñèìâîëè÷åñêîé âëàñòè. Åñëè Âû õîòèòå, òî ìîæåòå âîññòàíîâèòü åãî â êà÷åñòâå ñòîëèöû èìïåðèè.;;x
mend_great_schism;Mend the Great Schism;;;;;;;;;;;Ïðåîäîëåíèå Âåëèêîé ñõèçìû;;x
mend_great_schism_desc;The Great Schism saw the Christian Church divided into two branches, but if all five of the episcopal sees of the Pentarchy could be restored under Roman rule and the Orthodox faith, there may be a chance to finally reunite Christendom.;;;;;;;;;;;Âåëèêàÿ ñõèçìà ðàçäåëèëà õðèñòèàíñêóþ Öåðêîâü íà äâå âåòâè, íî åñëè âñå ïÿòü åïèñêîïñêèõ ïðåñòîëîâ Ïåíòàðõèè ñìîãóò áûòü âîññòàíîâëåíû ïîä ðèìñêèì âëàäû÷åñòâîì è ïðàâîñëàâíîé âåðîé, âîçìîæíî âåðí¸òñÿ íàäåæäà íà âîññîåäèíåíèå õðèñòèàíñêîãî ìèðà.;;x
vassal_blinding_decision;Blind [Root.GetTitledFirstName];;;;;;;;;;;Îñëåïèòü [Root.GetHersHis];;x
vassal_blinding_decision_desc;You may give the order to permanently blind §Y[Root.GetFirstName]§!. This is a common Byzantine way of dealing with political rivals without outright killing them.;;;;;;;;;;;§Y[Root.GetFirstName]§! ìîæåò áûòü îñëåïëåí[Root.GetEndA] ïî Âàøåìó ïðèêàçó. Ýòî æåñòîêèé ñïîñîá ðàñïðàâû íàä ïîëèòè÷åñêèìè ñîïåðíèêàìè, òèïè÷íûé äëÿ Âèçàíòèè. Ïðîòèâíèêà íå óáèâàþò, íî áóäó÷è ñëåïûì, îí ïðåäñòàâëÿåò ìåíüøóþ óãðîçû äëÿ òðîíà.;;x
vassal_castrate_decision;Castrate [Root.GetTitledFirstName];;;;;;;;;;;Îñêîïèòü [Root.GetHersHis];;x
vassal_castrate_decision_desc;You may give the order to castrate §Y[Root.GetFirstName]§! and turn him into a eunuch. He will be unable to sire more spawn or be granted landed titles, a severe punishment.;;;;;;;;;;;§Y[Root.GetFirstName]§! ìîæåò áûòü îñêîïëåí[Root.GetEndA] ïî Âàøåìó ïðèêàçó, ÷òî ñäåëàåò [Root.GetHersHis] åâíóõîì. [Root.GetSheHeCap] íå ñìîæåò èìåòü ïîòîìñòâî èëè âëàäåòü çåìåëüíûìè òèòóëàìè. Æåñòîêîå íàêàçàíèå.;;x
# Jade Dragon
adopt_chinese_imperialism;Adopt Chinese Imperialism;;;;;;;;;;;Ïðèíÿòü êèòàéñêèé èìïåðèàëèçì;;x
adopt_chinese_imperialism_desc;Adopt a system of Chinese Imperialism which has one divine Emperor ruling over multiple vassals in a system of regulations and bureaucracy.;;;;;;;;;;;Óñòàíîâèâ ýòó ñèñòåìó, Âû áóäåòå ïðàâèòü êàê èìïåðàòîð, êîòîðîãî ïî÷èòàþò êàê áîãà, ïðè ïîìîùè îñîáîé áþðîêðàòè÷åñêîé ñèñòåìû.;;x
bon_tolerate_indians;Syncretize with Eastern Religions;;;;;;;;;;;Ïåðåíÿòü îáðÿäû âîñòî÷íûõ ðåëèãèé;;x
bon_tolerate_indians_desc;The Bön faith has adopted many aspects of the Buddhist religion. You can choose to draw even closer to your §YEastern§! subjects by personally practicing their rites and partaking in their rituals.;;;;;;;;;;;Áîí ïåðåíÿë ìíîãèå àñïåêòû áóääèçìà. Âû ìîæåòå ñòàòü áëèæå ê ñâîèì ïîääàííûì-§Yäõàðìèñòàì§!, ïðèíèìàÿ ó÷àñòèå â èõ öåðåìîíèÿõ è ëè÷íî ïðàêòèêóÿ íåêîòîðûå èç èõ ðèòóàëîâ.;;x
borrow_money_radhanites;Borrow Money from Radhanite Merchants;;;;;;;;;;;Çàíÿòü äåíüãè ó ðàäàíèòîâ;;x
borrow_money_radhanites_desc;Borrow money from [jewish.GetName] merchants traveling on the Silk Road.;;;;;;;;;;;ß ìîãó çàíÿòü äåíüãè ó [_åâðåé]ñêèõ êóïöîâ, ïóòåøåñòâóþùèõ âäîëü Ø¸ëêîâîãî ïóòè.;;x
celebrate_bema;Celebrate Bema;;;;;;;;;;;Ïðàçäíîâàíèå Áåìà;;x
celebrate_bema_desc;Hold a Bema festival to celebrate life of the prophet Mani.;;;;;;;;;;;Ïðîâåñòè ïðàçäíèê Áåìà, ÷òîáû îòìåòèòü æèçíü ïðîðîêà Ìàíè.;;x
celebrate_jashan_e_sadah;Hold Jashn-e Sadeh Festival;;;;;;;;;;;Ïðîâåñòè ïðàçäíèê Äæàøíè Ñàäà;;x
celebrate_jashan_e_sadah_desc;Invite your vassals to celebrate the Sadeh festival.;;;;;;;;;;;Ïðèãëàñèòü âàññàëîâ îòïðàçäíîâàòü ïðàçäíèê Ñàäà.;;x
