# Historical
alexander_bloodline;Immortal Blood of Alexander;;;;;;;;;;;Áåññìåðòíàÿ êðîâü Àëåêñàíäðà;;x
phalaris_bloodline_desc;[Root.GetTitledFirstName] has claimed that [Root.GetHerHis] dynasty shares blood with Phalaris, ancient Tyrant of Akragas, infamous for his use of the Brazen Bull against his enemies.;;;;;;;;;;;[Root.GetTitledFirstName] óòâåðæäàë[Root.GetEndA], ÷òî [Root.GetHersHis] äèíàñòèÿ ïðîèñõîäèò îò Ôàëàðèñà, äðåâíåãî òèðàíà Àêðàãàíòà, ïå÷àëüíî èçâåñòíîãî èñïîëüçîâàíèåì ìåäíîãî áûêà ïðîòèâ ñâîèõ âðàãîâ.;;x
pure_architect_bloodline;Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetTitledFirstName];;x
pure_architect_bloodline_desc;[This.GetFirstName] is remembered by many as a patron of the crafts for sponsoring the construction of several cities throughout [This.PrimaryTitle.GetName].;;;;;;;;;;;[This.GetFirstName] çàïîìíè[This.GetLasLsya] ìíîãèì êàê ïîêðîâèòåëü[This.GetEndNitsa] ðåì¸ñåë, êîòîð[This.GetAyaYy] âñÿ÷åñêè ñïîñîáñòâîâàë[This.GetEndA] ñòðîèòåëüñòâó [This.PrimaryTitle.GetAdjective]ñêèõ ãîðîäîâ.;;x
pure_castellan_bloodline;Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetTitledFirstName];;x
pure_castellan_bloodline_desc;[This.GetFirstName] is remembered by many as a patron of engineering for sponsoring the construction of several castles throughout [This.PrimaryTitle.GetName].;;;;;;;;;;;[This.GetFirstName] çàïîìíè[This.GetLasLsya] ìíîãèì êàê ïîêðîâèòåëü[This.GetEndNitsa] èíæåíåðíîãî äåëà, êîòîð[This.GetAyaYy] âñÿ÷åñêè ñïîñîáñòâîâàë[This.GetEndA] ñòðîèòåëüñòâó [This.PrimaryTitle.GetAdjective]ñêèõ êðåïîñòåé.;;x
pure_monumental_bloodline;Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetTitledFirstName];;x
pure_monumental_bloodline_desc;[This.GetFirstName] is remembered by many as a patron of engineering and a devout [This.Religion.GetName] for sponsoring the construction of several temples in [This.GetHerHis] realm.;;;;;;;;;;;[This.GetFirstName] çàïîìíè[This.GetLasLsya] ìíîãèì êàê ïîêðîâèòåëü[This.GetEndNitsa] èíæåíåðíîãî äåëà è èñòèíí[This.GetAyaYy] [This.GetRelGroupNick], ïîñòðîèâø[This.GetAyaIy] ìíîæåñòâî [This.PrimaryTitle.GetAdjective]ñêèõ õðàìîâ.;;x
pure_murder_bloodline_01;Vile Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetFirstName] Ïîäë[This.GetAyaYy];;x
pure_murder_bloodline_01_desc;Since [This.GetHerHis] early childhood, [This.GetFirstName] showed an unnatural inclination for murder, which earned [This.GetHerHim] a terrible reputation amongst the brutalized members of [Root.GetHerHis] court.;;;;;;;;;;;Ñ ðàííåãî äåòñòâà [This.GetTitledFirstName] äåìîíñòðèðîâàë[This.GetEndA] íåçäîðîâóþ ñêëîííîñòü ê óáèéñòâàì, ÷åì çàñëóæèë[This.GetEndA] óæàñíóþ ðåïóòàöèþ ñðåäè ïðèäâîðíûõ.;;x
pure_murder_bloodline_02;Vile Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetFirstName] Ïîäë[This.GetAyaYy];;x
pure_murder_bloodline_02_desc;The corpses of [This.GetTitledFirstName]'s enemies, embalmed by vile alchemy, still adorn [This.GetHerHis] court, an immortal testament to [This.GetHerHis] cruelty.;;;;;;;;;;;Áàëüçàìèðóÿ òðóïû ñâîèõ âðàãîâ, [This.GetTitledFirstName] óêðàñèë[This.GetEndA] ñâîé äâîð áåññìåðòíûì ñâèäåòåëüñòâîì ñâîåé æåñòîêîñòè.;;x
pure_murder_bloodline_03;Sly Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetFirstName] Êîâàðí[This.GetAyaYy];;x
pure_murder_bloodline_03_desc;A cold and relentless murderer, [This.GetFirstName] has become notorious across [This.GetHerHis] realm for making people disappear without trace.;;;;;;;;;;;Áóäó÷è õîëîäí[This.GetOyYm] è áåçæàëîñòí[This.GetOyYm] óáèéöåé, [This.GetTitledFirstName] ñòàë[This.GetEndA] ïå÷àëüíî èçâåñò[This.GetNaEn] ïî âñåé ñòðàíå êàê ãëàâí[This.GetAyaYy] âèíîâíè[This.GetTsaK] èñ÷åçíîâåíèÿ ëþäåé.;;x
pure_murder_bloodline_04;Vile Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetFirstName] Ïîäë[This.GetAyaYy];;x
pure_murder_bloodline_04_desc;[This.GetTitledFirstName] has acquired a vicious reputation as a sadistic murder, always looking for the next victim to torment.;;;;;;;;;;;[This.GetTitledFirstName] çàñëóæèë[This.GetEndA] ðåïóòàöèþ óáèéöû-ñàäèñò[This.GetKiA], ðûùóùå[This.GetYGo] â ïîèñêàõ ñëåäóþùåé æåðòâû.;;x
pure_murder_bloodline_05;Blood of the Dragon-[This.GetTitle];;;;;;;;;;;Êðîâü äðàêîíîâ;;x
pure_murder_bloodline_05_desc;The members of this ruthless and infamous dynasty claim to be descendants of the Dragon-[This.GetTitle] [This.GetFirstName], notoriously famous for burning [This.GetHerHis] enemies to cinder.;;;;;;;;;;;Áåçæàëîñòíûå ïðåäñòàâèòåëè ýòîé ðîäîñëîâíîé óòâåðæäàþò, ÷òî èõ ïðåäêîì áûë[This.GetEndA] [This.GetFirstName], [This.GetTitle]-Äðàêîí, èçâåñòí[This.GetAyaYy] æåñòîêèì ñîææåíèåì ñâîèõ âðàãîâ.;;x
pure_peace_bloodline_01;Blessed Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetFirstName] Áëàãîñëîâåíí[This.GetAyaYy];;x
pure_peace_bloodline_01_desc;Ascended to the throne when [This.GetSheHe] was merely a child, [This.GetFirstName] proved to be wise far beyond [This.GetHerHis] years, ushering a new age of prosperity for [This.GetHerHis] realm.;;;;;;;;;;;Âçîéäÿ íà òðîí åù¸ ðåá¸íêîì, [This.GetTitledFirstName] íà äåëå äîêàçàë[This.GetEndA] ñâîþ ìóäðîñòü, ïðèâåäÿ ñâîþ ñòðàíó ê íîâîé ýðå ïðîöâåòàíèÿ.;;x
pure_peace_bloodline_02;Blessed Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetFirstName] Áëàãîñëîâåíí[This.GetAyaYy];;x
pure_peace_bloodline_02_desc;Hailed as the [This.GetFatherMother] of the realm, [This.GetFirstName] has been celebrated as a peacemaker and a consummate diplomat.;;;;;;;;;;;Ïî÷èòàåì[This.GetAyaYy] êàê [This.GetFatherMother] ñâîåãî íàðîäà, [This.GetTitledFirstName] îáðåë[This.GetEndA] èçâåñòíîñòü ïðåæäå âñåãî êàê âûäàþùèéñÿ ìèðîòâîðåö è äèïëîìàò.;;x
pure_peace_bloodline_03;Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetTitledFirstName];;x
pure_peace_bloodline_03_desc;[This.GetFirstName] is remembered for ushering in a new age of peace and prosperity for [This.GetHerHis] realm.;;;;;;;;;;;[This.GetFirstName] íàâñåãäà çàïîìíèòñÿ ñâîèì íàðîäîì çà ìóäðîå ïðàâëåíèå, êîòîðîå ïðèâåëî ñòðàíó ê íîâîé ýðå ìèðà è ïðîöâåòàíèÿ.;;x
pure_war_bloodline_01;Valiant Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetFirstName] Äîáëåñòí[This.GetAyaYy];;x
pure_war_bloodline_01_desc;Having won several wars before even reaching adulthood, [This.GetFirstName] has proven to be one of the greatest strategists of [Root.GetHerHis] age.;;;;;;;;;;;Ïîáåäèâ âî ìíîãèõ âîéíàõ åù¸ äî äîñòèæåíèÿ ñîâåðøåííîëåòèÿ, [This.GetTitledFirstName] ñòàë[This.GetEndA] îäíèì èç âåëèéøèõ ñòðàòåãîâ ñâîåé ýïîõè.;;x
pure_war_bloodline_02;Valiant Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetFirstName] Äîáëåñòí[This.GetAyaYy];;x
pure_war_bloodline_02_desc;Hailed as the paragon of knighthood, [This.GetFirstName] has been celebrated in countless songs as a pinnacle of valor and gallantry triumphing over wickedness.;;;;;;;;;;;Ñ÷èòàâø[This.GetAyaIy]ñÿ îáðàçöîì ðûöàðñêîé ÷åñòè, [This.GetTitledFirstName] îòìå÷åí[This.GetEndA] ìíîæåñòâîì ïåñåí î ïðåâîñõîäñòâå äîáëåñòè è îòâàãè íàä çëîì.;;x
pure_war_bloodline_03;Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetTitledFirstName];;x
pure_war_bloodline_03_desc;A master of the battlefield, [This.GetFirstName] has become infamous as a ruthless conqueror and implacable warrior with an unparalleled strategic genius.;;;;;;;;;;;Áóäó÷è ìàñòåðîì ñðàæåíèé, [This.GetFirstName] îáðåë[This.GetEndA] èçâåñòíîñòü êàê áåçæàëîñòíûé çàâîåâàòåëü è íåóìîëèìûé âîèí ñ áåñïðåöåíäåíòíûì ñòðàòåãè÷åñêèì ãåíèåì.;;x
pure_war_bloodline_04;Blood of [This.GetTitledFirstName];;;;;;;;;;;Ïðåäîê - [This.GetTitledFirstName];;x
pure_war_bloodline_04_desc;The archetypal warrior-philosopher, [This.GetFirstName] has become legendary for coupling the fierceness of a fighter with the mind of a scholar.;;;;;;;;;;;[This.GetFirstName], âîèí-ôèîëîñîô, ñòàë[This.GetEndA] ëåãåíäîé, ñî÷åòàÿ â ñåáå êà÷åñòâà ñâèðåïîãî áîéöà è áëåñòÿùåãî ó÷¸íîãî.;;x
reconquista_bloodline;Iberian Blood of [Root.GetFirstName];;;;;;;;;;;Èáåðèéñêàÿ êðîâü;;x
reconquista_bloodline_desc;Known for being one of the most important characters in the reconquests of the Iberian Peninsula.;;;;;;;;;;;[Root.GetTitledFirstName] èçâåñò[Root.GetNaEn] òåì, ÷òî ñûãðàë[Root.GetEndA] âàæíóþ ðîëü â çàâîåâàíèÿõ Ïèðåíåéñêîãî ïîëóîñòðîâà.;;x
reconquista_cid_bloodline;Iberian Blood of [Root.GetFirstName];;;;;;;;;;;Ïðåäîê - [Root.GetFirstName];;x
reconquista_cid_bloodline_desc;Known for both fighting against and helping the infidels throughout the Reconquests of Iberia, as one of the greatest generals of our times.;;;;;;;;;;;Èçâåñò[Root.GetNaEn] òåì, ÷òî ñðàæà[Root.GetLasLsya] ïðîòèâ èíîâåðöåâ è ïðè ýòîì ïîìîãàë[Root.GetEndA] èì íà ïðîòÿæåíèè Ðåêîíêèñòû, áóäó÷è îä[Root.GetOyIm] èç âåëè÷àéøèõ ïîëêîâîäöåâ íàøåãî âðåìåíè.;;x
roman_emperor_bloodline;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
roman_emperor_bloodline_desc;The glorious restorer of the Roman Empire, who brought Europe, Africa and Asia back under Imperial rule.;;;;;;;;;;;Âåëèêèé âîññòàíîâèòåëü Ðèìñêîé Èìïåðèè, êîòîðûé ñâîèì èìïåðñêèì ïðàâëåíèåì âåðíóë ïîðÿäîê è öèâèëèçîâàííîñòü Åâðîïå, Àôðèêå è Àçèè.;;x
sea_king_bloodline;Stormblood;;;;;;;;;;;Êðîâü Áóðåðîæä¸ííîãî;;x
sea_king_bloodline_desc;Entire cities have been decimated by the raids of [This.Founder.GetTitledFirstName], etching [This.Founder.GetHerHis] legacy as one of the most fearsome and ruthless Pirates of [This.Founder.PrimaryTitle.GetName].;;;;;;;;;;;Öåëûå ãîðîäà áûëè óíè÷òîæåíû íàáåãàìè, êîòîðûå óñòðàèâàë[This.Founder.GetEndA] [This.Founder.GetTitledFirstName], ñíèñêàâ ðåïóòàöèþ ñàì[This.Founder.GetOyOgo] ñòðàøí[This.Founder.GetOyOgo] è áåñïîùàäí[This.Founder.GetOyOgo] [This.Founder.PrimaryTitle.GetAdjective]ñê[This.Founder.GetOyOgo] ïèðàò[This.Founder.GetKiA].;;x
seaqueen_bloodline;Stormblood;;;;;;;;;;;Êðîâü Áóðåðîæä¸ííîé;;x
seaqueen_bloodline_desc;Entire cities have been decimated by the raids of [This.Founder.GetTitledFirstName], etching [This.Founder.GetHerHis] legacy as one of the most fearsome and ruthless Pirates of [This.Founder.PrimaryTitle.GetName].;;;;;;;;;;;Öåëûå ãîðîäà áûëè óíè÷òîæåíû íàáåãàìè, êîòîðûå óñòðàèâàë[This.Founder.GetEndA] [This.Founder.GetTitledFirstName], ñíèñêàâ ðåïóòàöèþ ñàì[This.Founder.GetOyOgo] ñòðàøí[This.Founder.GetOyOgo] è áåñïîùàäí[This.Founder.GetOyOgo] [This.Founder.PrimaryTitle.GetAdjective]ñê[This.Founder.GetOyOgo] ïèðàò[This.Founder.GetKiA].;;x
# Used to set name/descriptions
bloodline_bloodthirsty_name_random_a;Dark Blood of [Root.GetFirstName];;;;;;;;;;;Ò¸ìíàÿ êðîâü ðîäà [Root.GetOnlyDynastyName];;x
bloodline_bloodthirsty_name_random_b;Crimson Tree;;;;;;;;;;;Êðîâàâîå äðåâî ðîäà [Root.GetOnlyDynastyName];;x
bloodline_bloodthirsty_name_random_c;Scarlet Seeds of [Root.GetFirstName];;;;;;;;;;;Àëûå ñåìåíà ðîäà [Root.GetOnlyDynastyName];;x
bloodline_bloodthirsty_name_random_d;Red Reaper of [Root.Capital.GetName];;;;;;;;;;;Êðîâü Êðàñíîãî Æíåöà;;x
bloodline_bloodthirsty_name_random_e;Soulflayers;;;;;;;;;;;Êðîâü Âûðûâàòåëÿ Äóø;;x
bloodline_bloodthirsty_name_random_f;Dreaded;;;;;;;;;;;Êðîâü Óæàñí[Root.GetOyOgo];;x
bloodthirsty_bloodline_desc;[Root.GetTitledFirstName] dedicated [Root.GetHerHis] life to build an empire of blood and skulls in honor of [Root.GetHerHis] fickle and cruel gods.;;;;;;;;;;;[Root.GetTitledFirstName] ïîñâÿòèë[Root.GetEndA] ñâîþ æèçíü ñîçäàíèþ èìïåðèè íà êðîâè è ÷åðåïàõ â ÷åñòü êîâàðíûõ è æåñòîêèõ áîãîâ.;;x
legendary_battle_bard_bloodline_desc;Rumored to often have gone singing into battle, [This.Founder.GetFirstNameWithNick] was a [This.Founder.GetWarriorRole] of a different time, [This.Founder.GetHerHis] deeds inspiring greatness in others for generations to come.;;;;;;;;;;;Ãîâîðÿò, [This.Founder.GetFirstNameWithNick] ÷àñòî ø[This.Founder.GetLaYol] â áîé, ðàñïåâàÿ ïåñíè. [This.Founder.GetSheHeCap] áûë[This.Founder.GetEndA] âåëè÷àéøèì [This.Founder.GetWarriorRoleINS] âñåõ âðåì¸í, à [This.Founder.GetHersHis] ïîäâèãè áóäóò âîñïåâàòü áóäóùèå ïîêîëåíèÿ.;;x
legendary_battle_survivor_bloodline_desc;A particularly resilient [This.Founder.GetManWoman], [This.Founder.GetFirstNameWithNick] proved [This.Founder.GetHerselfHimself] one of the finest [This.Founder.GetWarriorRole]s of [This.Founder.GetHerHis] time.;;;;;;;;;;;Áóäó÷è âåñüìà ñòîéê[This.Founder.GetOyIm] [This.Founder.GetAgedPersonINS], [This.Founder.GetFirstNameWithNick] äîêàçàë[This.Founder.GetEndA] âñåì, ÷òî ÿâëÿåòñÿ îäí[This.Founder.GetOyIm] èç ëó÷øèõ âîèíîâ ñâîåãî âðåìåíè.;;x
legendary_captor_bloodline_desc;[This.Founder.GetBestName] was both feared and respected, not only for [This.Founder.GetHerHis] combat prowess, but for [This.Founder.GetHerHis] relentless courage.;;;;;;;;;;;[This.Founder.GetTitledFirstNameWithNick] áûë[This.Founder.GetEndA] çíàìåíèò[This.Founder.GetEndA] òåì, ÷òî [This.Founder.GetHersHis] áîÿëèñü è óâàæàëè íå òîëüêî èç-çà áîåâûõ çàñëóã, íî è áëàãîäàðÿ [This.Founder.GetHersHis] îòâàãå è íåóìîëèìîñòè.;;x
legendary_commander_bloodline_desc;[This.Founder.GetFirstNameWithNick] was known as the [This.Founder.GetEducationComplimentAdjective] leader of [This.Founder.Society.GetName] – the mention of [This.Founder.GetHerHis] courage still lights a fire in many [This.Founder.Culture.GetName] soldiers.;;;;;;;;;;;[This.Founder.GetFirstNameWithNick] áûë[This.Founder.GetEndA] èçâåñò[This.Founder.GetNaEn] êàê [This.Founder.GetComplimentAdjective] ëèäåð îáùåñòâà [This.Founder.GetSocietyNameGEN]. Óïîìèíàíèÿ î [This.Founder.GetHersHis] îòâàãå è äîáëåñòè ïî ñåé äåíü îñâåùàþò ïóòü ìíîãèì [This.Founder.GetCultureAdj]èì âîèíàì.;;x
legendary_dog_hunter_bloodline_desc;A highly respected [This.Founder.GetWarriorRole] within [This.Founder.GetHerHis] society, this [This.Founder.GetEducationComplimentAdjective] [This.Founder.GetManWoman] was rumored to often have been charging into battle surrounded by war hounds.;;;;;;;;;;;Áóäó÷è âåñüìà óâàæàåìûì [This.Founder.GetWarriorRoleINS] ñðåäè ñâîèõ ñîðàòíèêîâ, îñíîâàòåëü[This.Founder.GetEndNitsa] ýòîé ðîäîñëîâíîé ÷àñòî áðîñà[This.Founder.GetLasLsya] â áîé, îêðóæ¸íí[This.Founder.GetAyaYy] áîåâûìè ãîí÷èìè.;;x
legendary_eagle_hunter_bloodline_desc;[This.GetTitledFirstName] traveled far into foreign lands, fighting [This.GetHerHis] way through the best warriors of [This.GetHerHis] time. The [This.Founder.GetEducationComplimentAdjective] [This.Founder.GetManWoman] was rumored to have a supernatural affinity with birds.;;;;;;;;;;;[This.Founder.GetTitledFirstName] ïóòåøåñòâîâàë[This.Founder.GetEndA] â äàë¸êèå çåìëè, ñðàæàÿñü ñ ëó÷øèìè âîèíàìè ñâîåãî âðåìåíè. Ñ÷èòàåòñÿ, ÷òî ýò[This.Founder.GetEtaEtot] [This.Founder.GetComplimentAdjective] [This.Founder.GetAgedPerson] îáëàäàë[This.Founder.GetEndA] ñâåðõúåñòåñòâåííîé ñïîñîáíîñòüþ îáùàòüñÿ ñ ïòèöàìè.;;x
legendary_leader_bloodline_desc;Known as a great [This.Founder.GetWarriorRole] and leader of others, [This.Founder.GetFirstNameWithNick] accumulated enthusiastic support during [This.Founder.GetHerHis] legendary raids into foreign lands.;;;;;;;;;;;Èçâåñòí[This.Founder.GetAyaYy] êàê âåëèêèé [This.Founder.GetWarriorRole] è ëèäåð, [This.Founder.GetFirstNameWithNick] ñîáðàë[This.Founder.GetEndA] âîêðóã ñåáÿ âíóøèòåëüíóþ ïîääåðæêó ñîðàòíèêîâ, êîãäà îòïðàâëÿ[This.Founder.GetLasLsya] â ëåãåíäàðíûå íàáåãè íà ÷óæèå çåìëè.;;x
legendary_raider_bloodline_desc;[This.Founder.GetFirstNameWithNick] was well respected within [This.Founder.Society.GetName], known for [This.Founder.GetHerHis] strategy and skill in battle, inspiring other [This.Founder.GetWarriorRole]s for years to come.;;;;;;;;;;;[This.Founder.GetFirstNameWithNick] áûë[This.Founder.GetEndA] óâàæàåìûì âîèíîì ñðåäè [This.Founder.GetSocietyNameGEN], èçâåñòí[This.Founder.GetOyYm] ñâîåé ñòðàòåãèåé è âîåííûìè íàâûêàìè, âäîõíîâëÿþùèìè ìíîãèõ ãîäû ñïóñòÿ.;;x
legendary_soldier_bloodline_desc;Always ready for battle, [This.Founder.GetFirstNameWithNick] became famous for [This.Founder.GetHerHis] many victories, and being the finest [This.Founder.GetWarriorRole] [This.Founder.Society.GetName] had ever seen.;;;;;;;;;;;Âñåãäà ãîòîâ[This.Founder.GetAyaYy] ê áèòâå, [This.Founder.GetFirstNameWithNick] ñòàë[This.Founder.GetEndA] èçâåñòí[This.Founder.GetOyYm], áëàãîäàðÿ ñâîèì ìíîãî÷èñëåííûì ïîáåäàì. [This.Founder.GetSheHeCap] áûë[This.Founder.GetEndA] ñàìûì âûäàþùèìñÿ [This.Founder.GetWarriorRoleINS] îáùåñòâà [This.Founder.GetSocietyNameGEN], êîòîðîãî êîãäà-ëèáî âèäåë ìèð.;;x
legendary_warrior_bloodline_desc;This [This.Founder.GetEducationComplimentAdjective] [This.Founder.GetEducationRole] made a name for [This.Founder.GetHerselfHimself] fighting for [This.Founder.Society.GetName] and spreading the way of the [This.Founder.GetWarriorRole] to all who would dare challenge [This.Founder.GetHerHim].;;;;;;;;;;;Îñíîâàòåëü[This.Founder.GetEndNitsa] ýòîé ðîäîñëîâíîé, áóäó÷è çíàìåíèò[This.Founder.GetEducationRoleWithPrefixINS], ñäåëàë[This.Founder.GetEndA] ñåáå èìÿ, ñðàæàÿñü çà îáùåñòâî [This.Founder.GetSocietyNameGEN] è ðàñïðîñòðàíÿÿ ïóòü [This.Founder.GetWarriorRoleCapGEN] âñåì, êòî ïîñìåë áðîñèòü [This.Founder.GetHerHim] âûçîâ.;;x
bloodline_desc_sea_king_bloodline_pirate;Entire cities have been decimated by the raids of [Root.GetTitledFirstName]. [Root.GetHerHisCap] actions ensured [Root.GetHerHim] the legacy of one of the most fearsome and ruthless Pirates of [Root.PrimaryTitle.GetName].;;;;;;;;;;;Öåëûå ãîðîäà áûëè óíè÷òîæåíû íàáåãàìè, êîòîðûå óñòðàèâàë[Root.GetEndA] [Root.GetTitledFirstName], ñíèñêàâ ðåïóòàöèþ ñàì[Root.GetOyOgo] ñòðàøí[Root.GetOyOgo] è áåñïîùàäí[Root.GetOyOgo] [Root.PrimaryTitle.GetAdjective]ñê[Root.GetOyOgo] ïèðàò[Root.GetKiA].;;x
bloodline_desc_sea_king_bloodline_viking;Entire cities have been decimated by the raids of [Root.GetTitledFirstName]. [Root.GetHerHisCap] actions ensured [Root.GetHerHim] the legacy of one of the most fearsome and ruthless Vikings of [Root.PrimaryTitle.GetName].;;;;;;;;;;;Öåëûå ãîðîäà áûëè óíè÷òîæåíû íàáåãàìè, êîòîðûå óñòðàèâàë[Root.GetEndA] [Root.GetTitledFirstName], ñíèñêàâ ðåïóòàöèþ ñàìîãî ñòðàøíîãî è áåñïîùàäíîãî [Root.PrimaryTitle.GetAdjective]ñêîãî âèêèíãà.;;x
teuta_bloodline;Blood of Teuta;;;;;;;;;;;Êðîâü Òåâòû;;x
teuta_bloodline_desc;[Root.GetTitledFirstName] has claimed that [Root.GetHerHis] dynasty shares blood with Teuta, the Pirate-Queen of the Illyrians who stood tragically against the Roman Empire of old.;;;;;;;;;;;[Root.GetTitledFirstName] óòâåðæäàë[Root.GetEndA], ÷òî [Root.GetHersHis] äèíàñòèÿ ïðîèñõîäèò îò Òåâòû, öàðèöû ïèðàòîâ Èëëèðèè, êîòîðàÿ ïðîòèâîñòîÿëà Ðèìñêîé èìïåðèè â ïðîøëîì.;;x
random_world_bloodline_name;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
random_world_bloodline_01_desc;The challenges that [This.Founder.GetFullName] overcame on [This.Founder.GetHerHis] rise to power were so great that the very blood that courses through [This.Founder.GetHerHis] veins is considered legendary.;;;;;;;;;;;Èñïûòàíèÿ, êîòîðûå [This.Founder.GetFullName] ïðåîäîëåë[This.Founder.GetEndA] ïðè ñâî¸ì ïðèõîäå ê âëàñòè, áûëè íàñòîëüêî âåëèêè, ÷òî ñàìà êðîâü, òåêóùàÿ ïî [This.Founder.GetHerHis] âåíàì, ñ÷èòàåòñÿ ëåãåíäàðíîé.;;x
random_world_bloodline_02_desc;A master with any weapon, [This.Founder.GetFullName] was always the first into war and the last off the battlefield.;;;;;;;;;;;Ìàñòåð îáðàùåíèÿ ñ ëþáûì îðóæèåì, [This.Founder.GetFullName] âñåãäà ïåðâ[This.Founder.GetOyYm] âñòóïàë[This.Founder.GetEndA] â áèòâó è ïîñëåäí[This.Founder.GetEyIm] ïîêèäàë[This.Founder.GetEndA] ïîëå áîÿ.;;x
random_world_bloodline_03_desc;[This.Founder.GetFullName] is said to have been one of the most beautiful [This.Founder.GetMenWomen] to ever live, not to mention a fantastic lover.;;;;;;;;;;;Ãîâîðÿò, ÷òî [This.Founder.GetFullName] áûë[This.Founder.GetEndA] îäí[This.Founder.GetOyIm] èç ñàìûõ êðàñèâûõ [This.Founder.GetMenWomen] èç êîãäà-ëèáî æèâøèõ, íå ãîâîðÿ óæå î òîì, ÷òî îí[This.Founder.GetEndA] áûë[This.Founder.GetEndA] ôàíòàñòè÷åñê[This.Founder.GetOyIm] ëþáîâíè[Root.GetTseyKom].;;x
bloodline_legendary_battle_bard_A;[This.Founder.GetWarriorRoleCap]'s Lineage;;;;;;;;;;;Ðîäîñëîâíàÿ [This.Founder.GetWarriorRoleCapGEN];;x
bloodline_legendary_battle_bard_B;[This.Founder.Society.GetNameCap];;;;;;;;;;;Êðîâü [This.Founder.GetSocietyNameGEN];;x
bloodline_legendary_battle_bard_C;[This.Founder.GetWarriorLodgeSymbolShortCap] Blood of [This.Founder.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.Founder.GetFirstName] [This.Founder.GetWarriorLodgeSymbolShortCapGEN];;x
bloodline_legendary_battle_bard_D;Blood of the [This.Founder.GetWarriorLodgeSymbolShortCap];;;;;;;;;;;Êðîâü [This.Founder.GetWarriorLodgeSymbolShortCapGEN];;x
bloodline_legendary_battle_survivor_A;Iron Blood of [This.Founder.GetFirstNameWithNick];;;;;;;;;;;Æåëåçíîêðîâíûé ïðåäîê - [This.Founder.GetFirstNameWithNick];;x
bloodline_legendary_battle_survivor_B;Blood of [This.Founder.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.Founder.GetFirstNameWithNick];;x
bloodline_legendary_battle_survivor_C;Blood of the Survivor;;;;;;;;;;;Êðîâü Âûæèâøå[This.Founder.GetYGo];;x
bloodline_legendary_battle_survivor_D;Unyielding Blood;;;;;;;;;;;Êðîâü Íåïðåêëîííî[This.Founder.GetYGo];;x
bloodline_legendary_captor_A;Blood of Relentlessness;;;;;;;;;;;Êðîâü Íåóìîëèìîñòè;;x
bloodline_legendary_captor_B;Destroyer's Blood;;;;;;;;;;;Êðîâü Ðàçðóøèòåë[This.Founder.GetSoftNitsyYa];;x
bloodline_legendary_captor_C;Blood of [This.Founder.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.Founder.GetFirstNameWithNick];;x
bloodline_legendary_captor_D;[This.Founder.GetSonDaughterCap]s of [This.Founder.Society.GetName];;;;;;;;;;;[This.Founder.GetSonDaughterCap] [This.Founder.GetSocietyNameGEN];;x
bloodline_legendary_commander_A;Blood of [This.Founder.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.Founder.GetFirstNameWithNick];;x
bloodline_legendary_commander_B;Legacy of [This.Founder.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.Founder.GetFirstNameWithNick];;x
bloodline_legendary_commander_C;Blood of the [This.Founder.GetWarriorLodgeSymbolShortCap] Heart;;;;;;;;;;;Êðîâü Ñåðäöà [This.Founder.GetWarriorLodgeSymbolShortCapGEN];;x
bloodline_legendary_commander_D;Blood of the [This.Founder.GetWarriorLodgeSymbolShortCap] [This.Founder.GetWarriorRoleCap];;;;;;;;;;;Êðîâü âîèíîâ [This.Founder.GetWarriorLodgeSymbolShortCapGEN];;x
bloodline_legendary_dog_hunter_A;Canine Blood;;;;;;;;;;;Êðîâü Ïñà;;x
bloodline_legendary_dog_hunter_B;Bloodhound Legacy;;;;;;;;;;;Íàñëåäèå Ãîí÷åé;;x
