BM_100_YEARS_WAR;The Hundred Years War;;;;;;;;;;;Ñòîëåòíÿÿ Âîéíà;;x
ERA_CHAR_INFO_90104;When Louis the Pious died, civil war broke out in the Carolingian Empire between his sons due to disagreements over the inheritance. In the settlement that followed the war, Charles was given West Francia. Once Lothair died, however, the balance of power was broken and Charles fought long and bitterly with his brother Ludwig over primacy and over the lands that Lothar had left behind. After Ludwig's death, Charles tried to make a grab for the German lands, but he died during the resulting war in 877 while crossing the Alps.;;;;;;;;;;;Êîãäà Ëóè Áëàãî÷åñòèâûé óìåð, ìåæäó åãî ñûíîâüÿìè èç-çà ðàçíîãëàñèé ïî ïîâîäó íàñëåäñòâà â èìïåðèè Êàðîëèíãîâ âñïûõíóëà ãðàæäàíñêàÿ âîéíà. Â ðàçäåëå ñòðàíû, êîòîðûé ïîñëåäîâàë ïîñëå âîéíû, Êàðëó áûëî äàíî Çàïàäíî-Ôðàíêñêîå êîðîëåâñòâî. Ïîñëå ñìåðòè Ëîòàðÿ áàëàíñ ñèë áûë ñëîìëåí è Êàðë áîðîëñÿ äîëãî è îò÷àÿííî ñ áðàòîì Ëþäâèãîì çà çåìëè, êîòîðûå îñòàâèë ïîñëå ñåáÿ Ëîòàðü. Ïîñëå ñìåðòè Ëóè, Êàðë ïûòàëñÿ çàõâàòèòü íåìåöêèå çåìëè, íî â 877 ã. ïîãèá íà âîéíå, êîãäà ïåðåõîäèë ÷åðåç Àëüïû.;;x
ERA_CHAR_INFO_90107;After making peace with his brothers at the Treaty of Verdun, Ludwig ruled over East Francia and Bavaria, lands that he had already administrated before his father's death. After this, he was locked in constant struggles to expand his power in the Frankish Empire, sometimes allying with his brother Charles the Bald and sometimes fighting him. He was also engaged with suppressing rebellions in Saxony and fighting wars on the Moravian border. He was a great sponsor of the church, using it as a means to suppress pagan subjects, and Germany started to develop its own identity as a kingdom during his reign.;;;;;;;;;;;Ïîñëå çàêëþ÷åíèÿ ìèðà ñî ñâîèìè áðàòüÿìè ïîä Âåðäåíîì, Ëþäâèã ïîëó÷èë âîñòî÷íî-ôðàíêñêèå è áàâàðñêèå çåìëè, êîòîðûìè îí óïðàâëÿë åù¸ äî ñìåðòè ñâîåãî îòöà. Ïîñëå ýòîãî îí ïîñòîÿííî áîðîëñÿ çà ðàñøèðåíèå ñâîåé âëàñòè â èìïåðèè ôðàíêîâ, èíîãäà ñîþçíè÷àÿ ñî ñâîèì áðàòîì Êàðëîì Ëûñûì, à èíîãäà è âîþÿ ñ íèì. Îí òàêæå çàíèìàëñÿ ïîäàâëåíèåì âîññòàíèÿ â Ñàêñîíèè è â¸ë âîéíû íà ãðàíèöå Ìîðàâèè. Áóäó÷è âåëèêèì ñïîíñîðîì öåðêâè, îí èñïîëüçîâàë å¸ â êà÷åñòâå ñðåäñòâà äëÿ ïîäàâëåíèÿ ÿçû÷íèêîâ. Ïðè åãî ïðàâëåíèè Ãåðìàíèÿ íà÷àëà îáðåòàòü ñîáñòâåííóþ ãîñóäàðñòâåííóþ èäåíòè÷íîñòü.;;x
ERA_CHAR_INFO_93052;Inheriting the Khwarezmian Empire after the death of his father, Mohammed was immediately faced with an invasion by the Ghurids. Several chaotic years of intermittent war between the Khwarezmids, Ghurids and the Kara-Khitans ensued. Mohammed was at one point taken prisoner and held captive in the Kara-Khitan Khanate for a year, but changing fortunes would see him come out on top against his enemies, and he eventually managed to conquer Samarkand, Balochistan and Afghanistan and declare himself Shah. His reign came to an end sooner than expected, however, as Genghis Khan and the Mongols entered the scene in 1218. Within two short years, the Mongols had overrun his domain and he died a fugitive on a small island in the Caspian Sea in 1220.;;;;;;;;;;;Óíàñëåäîâàâ Õîðåçìñêóþ èìïåðèþ ïîñëå ñìåðòè ñâîåãî îòöà, Ìóõàììåä ñðàçó ñòîëêíóëñÿ ñ âòîðæåíèåì Ãóðèäîâ. Ïîñëåäîâàëî íåñêîëüêî ëåò õàîòè÷íîé âîéíû ìåæäó Õîðåçìñêîé èìïåðèåé, Ãóðèäàìè è Êàðà-êèäàíè. Ìóõàììåä áûë çàõâà÷åí è ïðîáûë â ïëåíó ó Êàðà-êèäàíåé ãîä, íî íåë¸ãêàÿ ñóäüáà ñêîâàëà èç íåãî ãðîçíîãî ñîïåðíèêà, êîòîðîìó â êîíöå êîíöîâ óäàëîñü çàõâàòèòü Ñàìàðêàíä, Áåëóäæèñòàí è Àôãàíèñòàí, îáúÿâèâ ñåáÿ Øàõîì. Åãî ïðàâëåíèå ïîäîøëî ê êîíöó äîñòàòî÷íî áûñòðî èç-çà âòîðæåíèÿ ×èíãèñõàíà â 1218 ã. Çà 2 ãîäà ìîíãîëû çàõâàòèëè âñå åãî âëàäåíèÿ è â 1220 ã. îí óìåð íà ìàëåíüêîì îñòðîâå â Êàñïèéñêîì ìîðå.;;x
ERA_CHAR_INFO_98003;Béla IV came from the long lineage of the Árpád rulers of Hungary. He refused to swear fealty to the Mongol Khan Ögödei and thus was faced with a Mongol invasion of Hungary. All seemed lost but salvation came with the death of Ögödei in 1242 since Batu of the Golden Horde ordered the army to safeguard the election of a new Great Khan back in Asia. Béla spent the following years building his kingdom in preparation for another Mongol invasion and became known as the Second Founder of the State.;;;;;;;;;;;Ðîäèëñÿ Áåëà IV â ñòàðèííîé äèíàñòèè Àðïàäîâ, ïðàâèòåëåé Âåíãðèè. Îí îòêàçàëñÿ ïðèñÿãàòü íà âåðíîñòü ìîíãîëüñêîìó õàíó Óãýäýþ è, òàêèì îáðàçîì, ñòîëêíóëñÿ ñ ìîíãîëüñêèì âòîðæåíèåì â Âåíãðèþ. Âñ¸, êàçàëîñü, áûëî êîí÷åíî, íî ñïàñåíèå ïðèøëî ñ ãèáåëüþ Óãýäýÿ â 1242, êîãäà Áàòûé, âîåíà÷àëüíèê Çîëîòîé Îðäû, ïðèêàçàë àðìèè îáåçîïàñèòü âûáîðû íîâîãî âåëèêîãî õàíà è âåðíóòüñÿ íàçàä â Àçèþ. Ñëåäóùèå ãîäû Áåëà ïîòðàòèë íà ðàçâèòèå ñâîåãî ãîñóäàðñòâà, ïîäãîòîâêó ê î÷åðåäíîìó ìîíãîëüñêîìó íàøåñòâèþ, è ñòàë èçâåñòåí êàê Âòîðîé îñíîâàòåëü ãîñóäàðñòâà.;;x
ERA_CHAR_INFO_125501;Temujin was born in Mongolia, the son of the leader of the Borjigin clan. He was only a child when his father died, and he and his mother were ostracized from the clan due to his young age and competing pretenders. Once he reached maturity, however, Temujin began to forge his own destiny. Over several decades, he increased his reputation and prestige among his people, and eventually led them in the successful conquest of all Mongolia. After this, he went on to conquer northern China, all of Central Asia and parts of Persia and the western steppes. He became recognized as one of the greatest conquerors in the history of humanity, and the Mongols would continue expanding on these conquests after his death.;;;;;;;;;;;Òåìó÷æèí ðîäèëñÿ â Ìîíãîëèè êàê ñûí ëèäåðà êëàíà Áîðäæèãèíîâ. Îí áûë åù¸ ðåá¸íêîì, êîãäà óìåð åãî îòåö, à îí, è åãî ìàòü áûëè ïîäâåðãíóòû ãîíåíèÿì èç-çà åãî ìîëîäîãî âîçðàñòà è êîíêóðèðóþùèõ ïðåòåíäåíòîâ. Ïîñëå òîãî, êàê îí äîñòèã çðåëîñòè, îí íà÷àë ñòðîèòü ñâîþ æèçíü. Â òå÷åíèå íåñêîëüêèõ äåñÿòèëåòèé, îí ïîäíÿë ñâîþ ðåïóòàöèþ è àâòîðèòåò ñðåäè ëþäåé, ÷òî â êîíå÷íîì èòîãå ïðèâåëî ê óñïåøíîìó çàâîåâàíèþ âñåé Ìîíãîëèè. Ïîñëå ýòîãî îí îòïðàâèëñÿ ïîêîðÿòü Ñåâåðíûé Êèòàé, Öåíòðàëüíóþ Àçèþ è ÷àñòè Ïåðñèè ñ çàïàäíûìè ñòåïÿìè. Îí áûë ïðèçíàí îäíèì èç âåëè÷àéøèõ çàâîåâàòåëåé â èñòîðèè ÷åëîâå÷åñòâà, è ìîíãîëû ïðîäîëæèëè ðàñøèðÿòü ýòè çàâîåâàíèÿ ïîñëå åãî ñìåðòè.;;x
ERA_CHAR_INFO_144001;Hakon was one of the many many sons of Harald Fairhair, legendary king of Norway. When his brother Eirik took control of Norway, not many years passed until his despotic rule made him unpopular to the point of rebellion. Hakon who had been raised by King Æthelstan of England was sent back home to Norway to take over the rule of the kingdom. As a christian in a very pagan country, he had a long and tenuous rule over the many norwegian tribes. Throughout his rule he was threatened by the Danish king who supported the claims of his grandsons, the sons of his half-brother Eirik. In the end Hakon fell as he repelled the Danes at the Battle of Fitjar, and was succeeded by his nephew Harald II Greycloak.;;;;;;;;;;;Õàêîí áûë îäíèì èç ìíîãèõ ñûíîâåé Õàðàëüäà Ïðåêðàñíîâîëîñîãî, ëåãåíäàðíîãî êîíóíãà Íîðâåãèè. Ïîñëå òîãî, êàê åãî áðàò Ýéðèê âçÿë êîíóíãñòâî ïîä ñâîé êîíòðîëü, ïðîøëî íå òàê ìíîãî ëåò, ïðåæäå ÷åì åãî äåñïîòè÷åñêîå ïðàâëåíèå íå ïîáóäèëî íàðîä ê âîññòàíèþ. Õàêîí, âîñïèòàíûé êîðîë¸ì Àíãëèè Ýòåëüñòàíîì, áûë îòïðàâëåí íà ðîäèíó â Íîðâåãèþ, ÷òîáû çàíÿòü òðîí. Áóäó÷è õðèñòèàíèíîì â ÿçû÷åñêîé ñòðàíå, îí äîëãîå âðåìÿ îêàçûâàë âåñüìà ìàëî âëèÿíèÿ íà íîðâåæñêèå ïëåìåíà. Íà ïðîòÿæåíèè âñåãî ïðàâëåíèÿ åìó óãðîæàë äàòñêèé êîíóíã, ïîääåðæèâàþùèé ïðèòÿçàíèÿ åãî âíóêîâ, ñûíîâåé åäèíîêðîâíîãî áðàòà Ýéðèêà. Â êîíöå êîíöîâ Õàêîí áûë ñìåðòåëüíî ðàíåí, êîãäà ñðàæàëñÿ ñ äàò÷àíàìè â áèòâå ïðè Ôèòüÿðå, è åìó íàñëåäîâàë ïëåìÿííèê Õàðàëüä II Ñåðàÿ Øêóðà.;;x
ERA_CHAR_INFO_144999;Karloman became joint king of the Franks together with his brother Karl in 768. The two brothers were not friends, rather a rivalry ensued. Karloman was outmaneuvered by his brother's alliance with the Lombards, and sought the support of the Pope in order to counter this, but did ultimately not succeed. He died unexpectedly in 771, just as war for the Frankish crown seemed inevitable. It has been claimed that he was poisoned, but this was never proven...;;;;;;;;;;;Êàðëîìàí ïðàâèë ôðàíêàìè âìåñòå ñî ñâîèì áðàòîì Êàðëîì â 768 ãîäó. Áðàòüÿ íå î÷åíü ëàäèëè, ïîýòîìó ñòàëè ïðîòèâíèêàìè. Êàðëîìàí áûë îáìàíóò àëüÿíñîì áðàòà ñ ëàíãîáàðäàìè, è èñêàë ïîääåðæêó Ïàïû, ÷òîáû ïðîòèâîñòîÿòü èì, íî â êîíå÷íîì ñ÷¸òå åìó ýòî íå óäàëîñü. Îí ñêîðîïîñòèæíî ñêîí÷àëñÿ â 771 ãîäó, ê òîìó æå âîéíà çà êîðîíó Ôðàíêñêîãî êîðîëåâñòâà êàçàëàñü íåèçáåæíîé. Áûëî îáúÿâëåíî, ÷òî åãî îòðàâèëè, íî ýòîãî íèêòî íå ñìîã äîêàçàòü...;;x
ERA_CHAR_INFO_159135;As the third grand prince of the Hungarians and the successor to the legendary Árpád, Zolta led their people for several decades in the early 10th century. Throughout this period the Hungarians were feared raiders who travelled across all of Europe, from Byzantium to Córdoba. After his death in the year 950, only a few years passed until Otto I beat back the Hungarian raiders in the Battle of Lechfeld, putting an end to their tyranny.;;;;;;;;;;;Òðåòèé âåëèêèé êíÿçü âåíãðîâ è ïðååìíèê ëåãåíäàðíîãî Àðïàäà, Æîëüò, òàêæå èçâåñòíûé êàê Çîëüòà, ïðàâèë ñâîèì íàðîäîì íåñêîëüêî äåñÿòèëåòèé â íà÷àëå X âåêà. Â òî âðåìÿ âåíãðû áûëè ñòðàøíûìè íàë¸ò÷èêàìè, íàâîäÿùèìè óæàñ íà âñþ Åâðîïó, îò Âèçàíòèè äî Êîðäîâû. Ñïóñòÿ íåñêîëüêî ëåò ïîñëå åãî ñìåðòè â 950 ãîäó, Îòòîí I îäîëåë âåíãðîâ â áèòâå íà ðåêå Ëåõ, ïîëîæèâ êîíåö èõ òèðàíèè.;;x
ERA_CHAR_INFO_163112;Halfdan Whiteshirt was born the son of legendary Viking Ragnar Lodbrok. He made several successful expeditions, journeying primarily to England, and later was one of the leaders of the Great Heathen Army of 865. Halfdan managed to build a large realm for himself in England, including areas as far south as London, but later ran into trouble with his peers and was expelled from the realm. He then sought out new adventures and eventually died as a Viking on another bold expedition.;;;;;;;;;;;"Õàëüôäàí Õâèòñåðê áûë ñûíîì ëåãåíäàðíîãî âèêèíãà Ðàãíàðà Ëîäáðîêà. Îí ñîâåðøèë íåñêîëüêî óñïåøíûõ íàáåãîâ íà Àíãëèþ, à ïîçæå áûë îäíèì èç ëèäåðîâ ""Âåëèêîé ÿçû÷åñêîé àðìèè"" â 865 ãîäó. Â Àíãëèè Õàëüôäàí çàõâàòèë îáøèðíûå çåìëè, â òîì ÷èñëå þæíûå, íàïðèìåð Ëîíäîí, íî áûë ñáðîøåí ñ òðîíà è áåæàë ñî ñâîèìè ñîðàòíèêàìè. Çàòåì îí îòïðàâèëñÿ çà íîâûìè ïðèêëþ÷åíèÿìè è â êîíöå êîíöîâ óìåð, êàê âèêèíã â î÷åðåäíîì ñëàâíîì ïîõîäå.";;x
ERA_CHAR_INFO_167219;The Hanseatic League was a loose alliance of German cities centered on Lübeck that dominated Baltic trade in the late Middle Ages and beyond, after displacing Visby as the leading merchant power in the region. Offices, so-called 'kontors,' were opened in major ports and trading hubs everywhere from London in the west to Novgorod in the east. Eventually the League became powerful enough to challenge larger realms directly, such as when they sacked the Danish capital of Copenhagen in the second half of the 14th century.;;;;;;;;;;;"Ãàíçåéñêàÿ ëèãà áûëà ñîþçîì âîëüíûõ íåìåöêèõ ãîðîäîâ ñî ñòîëèöåé â Ëþáåêå, êîòîðûå äîìèíèðîâàëè â Áàëòèéñêîé òîðãîâîé çîíå â ýïîõó ïîçäíåãî Ñðåäíåâåêîâüÿ ïîñëå âûòåñíåíèÿ Âèñáþ â êà÷åñòâå âåäóùåé òîðãîâîé ñèëû â ðåãèîíå. Îôèñû, òàê íàçûâàåìûå ""êîíòîðû"", áûëè îòêðûòû â îñíîâíûõ ïîðòàõ è òîðãîâûõ öåíòðàõ âî âñåì ìèðå, îò Ëîíäîíà íà çàïàäå äî Íîâãîðîäà íà âîñòîêå. Â êîíöå êîíöîâ ëèãà ñòàëà äîñòàòî÷íî ìîùíîé, ÷òîáû áðîñèòü âûçîâ êðóïíûì äåðæàâàì íàïðÿìóþ. Íàïðèìåð, îíè ðàçãðàáèëè äàòñêóþ ñòîëèöó Êîïåíãàãåí âî âòîðîé ïîëîâèíå XIV âåêà.";;x
ERA_CHAR_INFO_170193;Mystery surrounds Iltutmish’s early years, though it is said he was named for an eclipse that occurred during his birth. He was sold into slavery at an early age, and eventually ended up being bought by Aibak, the ruler of Lahore. Aibak valued his new servant highly and kept giving Iltutmish increasing responsibilities and corresponding honors, eventually marrying him to his own daughter. When Aibak died in 1210, Iltutmish enjoyed strong support as he claimed the throne. Years of turmoil ensued as he fought off contenders and then strengthened his position. He subsequently managed to avoid open conflict with the Mongols, founding the Delhi Sultanate that was to last into the 16th century.;;;;;;;;;;;Ðàííåå äåòñòâî Èëòóòìèøà îêóòàíî òàéíîé, ñàì îí óòâåðæäàë ÷òî áûë íàçâàí â ÷åñòü çàòìåíèÿ, êîòîðîå ïðîèçîøëî â äåíü åãî ðîæäåíèÿ. Â äåòñòâå îí áûë ïðîäàí â ðàáñòâî, è êóïëåí Àéáàêîì, ïðàâèòåëåì Ëàõîðà. Àéáàê âûñîêî öåíèë íîâîãî ñëóãó è ïðîäîëæàë îäàðèâàòü åãî ïî÷åñòÿìè, â êîíöå êîíöîâ æåíèâ íà ñîáñòâåííîé äî÷åðè. Êîãäà Àéáàê óìåð â 1210ã, Èëòóòìèø ïîëó÷èë ñèëüíóþ ïîääåðæêó â ïðåòåíçèÿõ íà òðîí. Ïîñëåäîâàëè ãîäû ïîòðÿñåíèé, èáî Èëòóòìèø áîðîëñÿ ñ ïðåòåíäåíòàìè íà òðîí è óêðåïëÿë ñâîè ïîçèöèè. Åìó óäàëîñü èçáåæàòü êîíôëèêòà ñ ìîíãîëàìè è îí îñíîâàë Äåëèéñêèé ñóëòàíàò, êîòîðûé ïðîñóùåñòâîâàë äî XVI âåêà.;;x
ERA_CHAR_INFO_170258;Muhammad II was the head of the Tughluq dynasty, which had carved out a vast Muslim empire in India. Under him, the empire initially expanded to temporarily control most of India, but it was not to last. Muhammad had a well-earned reputation for ruthlessness and cruelty, and taxes in his empire were raised to exorbitant levels. He had to contend with numerous revolts, and by the time of his death the realm had already begun to fragment.;;;;;;;;;;;Ìóõàììåä II áûë ãëàâîé äèíàñòèè Òóãëàêîâ, êîòîðûå ñîçäàëè îãðîìíóþ ìóñóëüìàíñêóþ èìïåðèþ. Ïðè í¸ì èìïåðèÿ ðàñøèðèëàñü è êîíòðîëèðîâàëà áîëüøóþ ÷àñòü Èíäèè, íî ýòî ïðîäèëîñü íåäîëãî. Ìóõàììåä èìåë çàñëóæåííóþ ðåïóòàöèþ æåñòîêîãî è áåñïîùàäíîãî ïðàâèòåëÿ. Íàëîãè â ñâîåé èìïåðèè îí ïîäíÿë äî íåïîìåðíûõ óðîâíåé. Îí äîëæåí áûë áîðîòüñÿ ñ ìíîãî÷èñëåííûìè âîññòàíèÿìè, è ê ìîìåíòó ñìåðòè, åãî ãîñóäàðñòâî óæå íà÷àëî ñâîé ðàñïàä.;;x
ERA_CHAR_INFO_190347;Desiderius became King of the Lombards in 756 after putting down the revolt of his rival Ratchis. Throughout his reign, he was constantly in competition with the popes and the southern dukes for domination of Italy. He sought an alliance with Charlemagne but when the latter divorced his daughter relations were soured. Eventually the kingdom was invaded and conquered by the Franks, making Desiderius the last Lombard king.;;;;;;;;;;;Äåçèäåðèé ñòàë êîðîë¸ì ëàíãîáàðäîâ â 756 ãîäó, ïîñëå ïîäàâëåíèÿ âîññòàíèÿ ñâîåãî ñîïåðíèêà Ðàòõèñà. Íà ïðîòÿæåíèè ñâîåãî ïðàâëåíèÿ îí ïîñòîÿííî ñîïåðíè÷àë ñ Ïàïàìè è þæíûìè ãåðöîãàìè çà ãîñïîäñòâî â Èòàëèè. Îí ñòðåìèëñÿ çàêëþ÷èòü ñîþç ñ Êàðëîì Âåëèêèì, íî êîãäà ïîñëåäíèé ðàçâ¸ëñÿ ñ åãî äî÷åðüþ, îòíîøåíèÿ èñïîðòèëèñü. Â êîíöå êîíöîâ åãî êîðîëåâñòâî çàâîåâàëè ôðàíêè, ñäåëàâ Äåçèäåðèóñà ïîñëåäíèì ëîìáàðäñêèì êîðîë¸ì.;;x
ERA_CHAR_INFO_212513;Referred to by contemporaries as stupor mundi, the 'wonder of the world,' Friedrich II was among the most powerful and influential emperors of the Holy Roman Empire during the Middle Ages. His reign was marked with frequent wars against the Papacy, and Friedrich was excommunicated four times - Pope Gregory IX even dubbed him the Antichrist. He managed to broker the return of Jerusalem to Christian control during the Sixth Crusade despite taking part in very little actual fighting. After dying of dysentry in 1250 at the age of 55, his line would quickly die out, resulting in the end of the House of Hohenstaufen.;;;;;;;;;;;"Cîâðåìåííèêè íàçûâàëè åãî ""stupor mundi"" - ""÷óäî ñâåòà"". Ôðèäðèõ II áûë îäíèì èç ñàìûõ ìîùíûõ è âëèÿòåëüíûõ èìïåðàòîðîâ Ñâÿùåííîé Ðèìñêîé èìïåðèè â Ñðåäíèå âåêà. Åãî ïðàâëåíèå áûëî îçíàìåíîâàíî ÷àñòûìè âîéíàìè ïðîòèâ ïàïñòâà, è Ôðèäðèõ áûë îòëó÷¸í îò öåðêâè ÷åòûðå ðàçà. Ïàïà Ãðèãîðèé IX äàæå íàçâàë åãî Àíòèõðèñòîì. Åìó óäàëîñü ïîìî÷ü âåðíóòü Èåðóñàëèì ïîä êîíòðîëü õðèñòèàíñòâà â õîäå øåñòîãî êðåñòîâîãî ïîõîäà, íåñìîòðÿ íà ìàëîå ó÷àñòèå â áîåâûõ äåéñòâèÿõ. Ïîñëå ñìåðòè îò äèçåíòåðèè â 1250 ãîäó â âîçðàñòå 55 ëåò, åãî äèíàñòèÿ âñêîðå ïðåðûâàåòñÿ, ÷òî ïðèâîäèò ê êîíöó ðîäà Ãîãåíøòàóôåíîâ.";;x
ERA_CHAR_INFO_260976;Abu'l-Qasim Sa'id started the Qarmatian faith centered around his capital in al-Bahrein when the Fatimid Caliphate rose in the west. After his father's demise, Abu Tahir continued as the new leader and became infamous throughout the Arabian Peninsula for his raids into Egyptian and Abbasid lands. In 930 he pillaged Mecca, murdered the many pilgrims who had travelled there and stole the Black Stone. After this sacrilege the Qarmatians became even more hated throughout the whole Muslim world, but that did not deter Abu Tahir as he continued the raids and assaults on his neighbours, until he finally died a decade later.;;;;;;;;;;;Êîãäà õàëèôàò Ôàòèìèäîâ ïîäíÿëñÿ íà çàïàäå, Àáó'ë-Êàñèì Ñàèä ñäåëàë ñâîþ ñòîëèöó â àëü-Áàõðåéíå öåíòðîì êàðìàòèçìà. Ïîñëå êîí÷èíû ñâîåãî îòöà íîâûì ëèäåðîì ñòàë Àáó Òàõèð. Åãî ïðàâëåíèå áûëî ïå÷àëüíî èçâåñòíî íà Àðàâèéñêîì ïîëóîñòðîâå íàáåãàìè íà åãèïåòñêèå è àááàñèäñêèå çåìëè. Â 930 ãîäó îí ðàçãðàáèë Ìåêêó, óáèë ìíîãèõ ïàëîìíèêîâ, è óêðàë ×åðíûé êàìåíü. Ïîñëå ýòîãî êîùóíñòâà êàðìàòû ñòàëè åù¸ áîëåå íåíàâèñòíû âñåìó èñëàìñêîìó ìèðó, íî ýòî íå îñòàíîâèëî Àáó Òàõèðà. Îí ïðîäîëæèë íàáåãè íà ñâîèõ ñîñåäåé, ïîêà, íàêîíåö, íå óìåð äåñÿòü ëåò ñïóñòÿ.;;x
ERA_CHAR_INFO_454500;Edward III was in many ways a warrior king, who was crowned after the disastrous reign of his father came to an end in 1327. Under Edward, England was transformed into one of most formidable military powers in Europe and his claim to the French throne would begin the conflict that eventually became known as the Hundred Years War. During his long reign, which would go on to last fifty years, Edward focused mostly on military matters. He personally oversaw the decisive Battle of Crécy, where an English army consisting mostly of longbowmen defeated a much larger French force.;;;;;;;;;;;Ýäóàðä III áûë âî ìíîãèõ îòíîøåíèÿõ êîðîë¸ì-âîèíîì, êîðîíîâàííûì ïîñëå êàòàñòðîôè÷åñêîãî ïðàâëåíèÿ ñâîåãî îòöà, çàêîí÷èâøåãîñÿ â 1327ã. Ïðè Ýäóàðäå Àíãëèÿ ïðåâðàòèëàñü â îäíó èç ñàìûõ ñåðü¸çíûõ âîåííûõ äåðæàâ Åâðîïû. Èìåííî ñ åãî ïðåòåíçèè íà ôðàíöóçñêèé ïðåñòîë íà÷àëñÿ êîíôëèêò, êîòîðûé ñòàë èçâåñòåí êàê Ñòîëåòíÿÿ âîéíà. Âî âðåìÿ ñâîåãî äîëãîãî ïðàâëåíèÿ, ïðîäîëæàâøåãîñÿ ïîëâåêà, Ýäâàðä ñîñðåäîòî÷èëñÿ â îñíîâíîì íà âîåííûõ âîïðîñàõ. Îí ëè÷íî íàáëþäàë çà ðåøàþùåé áèòâîé ïðè Êðåñè, ãäå àíãëèéñêàÿ àðìèÿ, ñîñòîÿùàÿ â îñíîâíîì èç ëó÷íèêîâ, ïîáåäèëà íàìíîãî ïðåâîñõîäÿùèå ôðàíöóçñêèå âîéñêà.;;x
ERA_CHAR_INFO_455500;Philippe the Fortunate was the first French king to hail from the House of Valois, and under his reign France would see the beginning of the Hundred Years War. Despite Philippe's nickname, the war did not go well, and the French army was virtually annihilated at the hands of the English during the Battle of Crécy. At the end of his reign the Black Death made its first appearance in France. A full third of the subjects in his kingdom succumbed to this plague - including Philippe's wife, Queen Joan.;;;;;;;;;;;Ôèëèïï Âåçó÷èé áûë ïåðâûì ôðàíöóçñêèì êîðîë¸ì èç äèíàñòèè Âàëóà, ïîä åãî ïðàâëåíèåì Ôðàíöèÿ íà÷àëà ó÷àñòèå â Ñòîëåòíåé âîéíå. Íåñìîòðÿ íà ïðîçâèùå Ôèëèïïà, âîéíà íå óäàëàñü, è ôðàíöóçñêàÿ àðìèÿ áûëà ïðàêòè÷åñêè óíè÷òîæåíà àíãëè÷àíàìè â áèòâå ïðè Êðåñè. Â êîíöå åãî ïðàâëåíèÿ ×¸ðíàÿ Ñìåðòü âïåðâûå ïðîêàòèëàñü ïî Ôðàíöèè. Òðåòü ïîääàíûõ â åãî êîðîëåâñòâå ïîääàëèñü ýòîé ÷óìå - â òîì ÷èñëå ñóïðóãà Ôèëèïïà, êîðîëåâà Æàííà.;;x
ERA_CHAR_INFO_457620;As king of Castile and Leon, Ferdinand was one of the most critical figures in the history of the Reconquista that would eventually see the Muslims driven from Iberia. Castile under Ferdinand expanded far into southern Spain, using a combination of force and diplomacy to seize Andalusian cities such as Córdoba and Seville. More than four hundred years after his death, Ferdinand was canonized by Pope Clement X and came to be known as as Ferdinand the Saint in the annals of history.;;;;;;;;;;;Êàê êîðîëü Êàñòèëèè è Ëåîíà, Ôåðäèíàíä áûë îäíèì èç ñàìûõ âàæíûõ ôèãóð â èñòîðèè Ðåêîíêèñòû, èçãíàâøåé ìóñóëüìàí èç Èáåðèè. Êàñòèëèÿ ïðè Ôåðäèíàíäå ðàñøèðèëàñü äàëåêî, äî þæíîé Èñïàíèè. Îí èñïîëüçîâàë ñî÷åòàíèå ñèëû è äèïëîìàòèè, ñòðåìÿñü çàõâàòèòü àíäàëóçñêèå ãîðîäà, òàêèå êàê Êàðäîáà è Ñåâèëüÿ. Ñïóñòÿ ÷åòûðåñòà ëåò ïîñëå åãî ñìåðòè, Ôåðäèíàíä áûë êàíîíèçèðîâàí Ïàïîé Êëèìåíòîì X è ñòàë èçâåñòåí êàê Ôåðäèíàíä Ñâÿòîé â àííàëàõ èñòîðèè.;;x
ERA_CHAR_INFO_471500;Casimir the Great inherited the throne of Poland in 1333 and continued his fathers work in unifying the Polish kingdom. During his lifetime he went on military campaigns to expand his realm to the east and solidify his borders in the west. To get support from the Hungarian nobles he also promised them the Polish throne if he would end up heirless. Unfortunately he didn't manage to produce a legal male heir, in spite of his four different marriages, and after his death in 1370 the Hungarians pressed their claim to the Polish crown and ended the Piast dynasty.;;;;;;;;;;;Êàçèìåæ Âåëèêèé óíàñëåäîâàë òðîí Ïîëüøè â 1333 ã. è ïðîäîëæèë äåëî îòöà, ðàáîòàÿ íàä îáúåäèíåíèåì êîðîëåâñòâà Ïîëüñêîãî. Â òå÷åíèå ñâîåé æèçíè îí ïðîäîëæàë âîåííûå êàìïàíèè, ÷òîáû ðàñøèðèòü âëàäåíèÿ íà âîñòîêå è óêðåïèòü ãðàíèöû íà çàïàäå. ×òîáû ïîëó÷èòü ïîääåðæêó îò âåíãåðñêèõ äâîðÿí îí ïîîáåùàë èì ïîëüñêèé ïðåñòîë, åñëè ñòàíåò íàñëåäíèêîì. Ê ñîæàëåíèþ, ñàì îí íå îñòàâèë íàñëåäíèêà ìóæñêîãî ïîëà, íåñìîòðÿ íà ÷åòûðå ðàçíûõ áðàêà, à ïîñëå åãî ñìåðòè â 1370 ã. âåíãðû èñïîëüçîâàëè ñâîè ïðåòåíçèè íà ïîëüñêóþ êîðîíó. Òàê çàêîí÷èëàñü äèíàñòèÿ Ïÿñòîâ.;;x
