#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTNAME6301;The Turnip Act;;;;;;;;;;;Båëèêèé Çàêîí Ðåïû.;;x
EVTDESC6357;I steered the longboat through the raging waters towards the monstrous creature. It stood as tall as a castle tower, with the body of a man and the head of a great tentacled beast. I knew that I had awoken it from where it slept beneath the waves and that it was here to end the age of man. There was only one thing I could do...;;;;;;;;;;;ß ïðàâëþ áàðêàñ ÷åðåç áóøóþùèå âîäû ê ÷óäîâèùó. Îíî ñòîèò âûñîêîå, êàê áàøíÿ, òåëî ÷åëîâåêà è ãîëîâà ñ îãðîìíûìè ùóïàëüöàìè. ß çíàþ, ÷òî îíî î÷íóëîñü îòî ñíà ïîä âîëíàìè è ýòî îçíà÷àåò êîíåö ýïîõè ëþäåé. Åñòü òîëüêî îäíî, ÷òî ÿ ìîãó ñäåëàòü...;;x
EVTDESC6358;I awoke in my own bed weak and sweating. The servants told me that they had found me on the shore, naked and half-drowned. I asked them about the creature and the ship but they just looked at me with worried eyes and shook their heads. It seems I am the only living witness to these events.;;;;;;;;;;;Ïðîñíóâøèñü â ñâîåé ïîñòåëè â õîëîäíîì ïîòó, ÿ ÷óâñòâóþ ñëàáîñòü. Ñëóãè ñêàçàëè ìíå, ÷òî íàøëè ìåíÿ íà áåðåãó áåç îäåæäû. Ïîñëå ðàñïðîñîâ î ÷óäîâèùå è áàðêàñå, îíè ïîñìîòðåëè íà ìåíÿ ñ îçàáî÷åííûìè ãëàçàìè è ïîêà÷àëè ãîëîâàìè. Êàæåòñÿ, ÿ - åäèíñòâåííûé æèâîé ñâèäåòåëü ýòèõ ñîáûòèé.;;x
EVTDESC6360;A loud sneeze interrupts [Root.GetMyMarshalName] [Root.job_marshal.GetTitledFirstName]'s speech on the importance of camp hygiene. 'I am sorry, my [Root.GetLordLady],' mutters [Root.job_spymaster.GetTitledFirstName], the [Root.GetSpymasterName], casting a quick glance at the cat on my lap. 'If you could only leave the creature out of our meetings, this would not happen again, I swear.';;;;;;;;;;;"[Root.GetMyMarshalName] [Root.job_marshal.GetTitledFirstName] ãîâîðèë[Root.job_marshal.GetEndA] î âàæíîñòè ãèãèåíû â ëàãåðå, íî ãðîìêîå ÷èõàíèå ïðåâðàëî [Root.job_marshal.GetHersHis] ðå÷ü. ""Ïðîøó ïðîùåíèÿ, [Root.PrimaryTitle.GetFOA], — ïðîáîðìîòàë[Root.job_spymaster.GetEndA] [Root.job_spymaster.GetTitledFirstName], Âàø [Root.GetSpymasterName], áðîñèâ áûñòðûé âçãëÿä íà [Root.GetPetCatACC] ó ìåíÿ íà êîëåíÿõ. — Íå ìîãëè áû Âû óáðàòü ýòî ñóùåñòâî, ïîêà ó íàñ ñîâåùàíèå, è òîãäà ýòî íå ïîâòîðèòñÿ, êëÿíóñü"".";;x
EVTDESC6361;I am awoken by a soft pat on my cheek. 'Oh, Mittens. Are you having trouble falling asleep?' She jumps down from my bed and starts pawing at the door. 'Let's go to the kitchen and get you some warm milk.' But as I close my bedroom door behind me, Mittens heads in the opposite direction.;;;;;;;;;;;"Ïðèêîñíîâåíèå ÷åãî-òî ìÿãêîãî, ðàçáóäèëî ìåíÿ ñðåäè íî÷è. ""×òî òàêîå, [Root.GetPetCatName]? Íå ìîæåøü çàñíóòü? — ïðîáîðìîòàë[Root.GetEndA] ÿ ñïðîñîíüÿ. — Äàâàé ñõîäèì íà êóõíþ, ÿ äàì òåáå ò¸ïëîãî ìîëî÷êà"". Íî ñòîèëî ìíå îòîéòè îò ïîñòåëè, [Root.GetPetCatName] ïîâåðíóëñÿ â äðóãóþ ñòîðîíó.";;x
EVTDESC6362;As I round a corner, I spot Mittens' fluffy tail as she squeezes through the chamber door of my [Root.GetSpymasterName], [Root.job_spymaster.GetFullName]! I enter, finding Mittens curled up on [Root.job_spymaster.GetHerHis] chest, licking [Root.job_spymaster.GetHerHis] face, but [Root.job_spymaster.GetFirstName] does not react. The [Root.job_spymaster.GetManWoman] before me is completely still, not even breathing, and [Root.job_spymaster.GetHerHis] face is strangely swollen...;;;;;;;;;;;"Ïîâåðíóâ çà óãîë, ÿ çàìåòèë[Root.GetEndA] ïóøèñòûé õâîñò, òîð÷àùèé èç [Root.GetChamberGEN] ìîåãî Òàéíîãî ñîâåòíèêà! Âîéäÿ òóäà, ÿ óâèäåë[Root.GetEndA], êàê [Root.job_spymaster.GetFullName] ëåæàë[Root.job_spymaster.GetEndA] íåïîäâèæíî â ïîñòåëè, à [Root.GetPetCatName] âûëèçûâàë[Root.GetPetCatEndA] [Root.job_spymaster.GetHersHis] ëèöî, ïîäîçðèòåëüíî áëåäíîå è îïóõøåå... ""Äà [Root.job_spymaster.GetSheHe] íå äûøèò!"" — íàêîíåö ïîíÿë[Root.GetEndA] ÿ.";;x
EVTDESC6363;Apparently, it was not bad enough when that stupid animal glared at us from the saftey of [FromFrom.GetTitledFirstName]'s lap. Now it has its own chair, and a seat on the council, to boot! The [FromFrom.GetTitle] has informed us that the former [FromFrom.GetSpymasterName] was poisoned, but a servant who helped move the body insist that the [FromFrom.GetSpymasterName] was suffocated...;;;;;;;;;;;Îêàçûâàåòñÿ, êîãäà ýòî òóïîå æèâîòíîå ïÿëèëîñü íà íàñ, ëåæà íà êîëåíÿõ íàøå[FromFrom.GetYGo] [FromFrom.GetLordLadyGEN], âñ¸ áûëî íå òàê óæ è ïëîõî. Òåïåðü îíî ïîëó÷èëî äîëæíîñòü â ñîâåòå! [FromFrom.GetTitledFirstName] ñêàçàë[FromFrom.GetEndA], ÷òî ïðîøëîãî Òàéíîãî ñîâåòíèêà îòðàâèëè, íî ñëóãà, ïîìîãàâøèé âûíåñòè òåëî, óòâåðæäàåò, ÷òî ýòî óäóøåíèå.;;x
EVTDESC6365;[From.GetSheHeCap] is so cute and fluffy, what would life even be like if I were to lose [From.GetHerHim]? I am not sure I could go on... I must do something about this and protect my beloved cat [From.GetBestName].;;;;;;;;;;;[From.GetTitledFirstNameWithNick] òàê[From.GetAyaOy] ìèë[From.GetAyaOy] è ïóøèñò[From.GetAyaYy]. Äàæå íå ìîãó ïðåäñòàâèòü, ÷òî áóäó äåëàòü, åñëè ïîòåðÿþ [From.GetHersHis]. ß íå óâåðåí[Root.GetEndA], ÷òî ñìîãó ïðîäîëæàòü æèòü... ß äîëæ[Root.GetNaEn] ÷òî-òî ñäåëàòü, êàê-òî çàùèòèòü ìî[From.GetYuEgo] ëþáèì[From.GetUyuOgo] [From.GetAgedPersonACC].;;x
EVTOPTA6000;What is wrong with me?;;;;;;;;;;;×òî ñî ìíîé íå òàê?;;x
EVTOPTA6001;I feel much better;;;;;;;;;;;ß ÷óâñòâóþ ñåáÿ íàìíîãî ëó÷øå;;x
EVTOPTA6010;My face! My pretty face!;;;;;;;;;;;Ìî¸ ëèöî! Ìî¸ ïðåêðàñíîå ëèöî!;;x
EVTOPTA6011;The potion worked!;;;;;;;;;;;Ñíàäîáüå ðàáîòàåò!;;x
EVTOPTA6020;I can't defy them;;;;;;;;;;;ß íå ìîãó èãíîðèðîâàòü èõ;;x
EVTOPTA6020_COMA;The darkness... it's still here!;;;;;;;;;;;Òüìà... Îíà íèêóäà íå èñ÷åçëà. Îíà âñ¸ åù¸ çäåñü!;;x
EVTOPTA6020_FEVER;Who are they?!;;;;;;;;;;;×òî îíè òàêîå?!;;x
EVTOPTA6020_PARA;What do they want?!;;;;;;;;;;;×òî îíè çàäóìàëè?!;;x
EVTOPTA6020_PRISON;I must get out of this hellhole!;;;;;;;;;;;Íóæíî âûáðàòüñÿ èç ýòîé ïðîêëÿòîé äûðû!;;x
EVTOPTA6020_ZEAL;They must all be cleansed!;;;;;;;;;;;Íóæíî î÷èñòèòü ìèð!;;x
EVTOPTA6021;IT'S TOO QUIET!;;;;;;;;;;;ÒÅÏÅÐÜ ÑËÈØÊÎÌ ÒÈÕÎ!;;x
EVTOPTA6030;Begone, foul demon!;;;;;;;;;;;Èçûäè, áåñ!;;x
EVTOPTA6030_MUS;Begone, foul djinn!;;;;;;;;;;;Ïðî÷ü, íå÷åñòèâûé äæèíí!;;x
EVTOPTA6031;Vade retro satana!;;;;;;;;;;;Vade retro satana!;;x
EVTOPTA6031_ALL;Once again, to be on the safe side...;;;;;;;;;;;Åù¸ ðàç, íà âñÿêèé ñëó÷àé...;;x
EVTOPTA6040;This is a lot of pressure...;;;;;;;;;;;Ýòî òàêîé ñòðåññ, òàêîé ñòðåññ...;;x
EVTOPTA6041;Life isn't too bad;;;;;;;;;;;Æèçíü íå òàê ïëîõà;;x
EVTOPTA6050;I really do.;;;;;;;;;;;Äà áóäåò òàê;;x
EVTOPTA6051;I feel better now;;;;;;;;;;;Òåïåðü ÿ ÷óâñòâóþ ñåáÿ ëó÷øå;;x
EVTOPTA6060;Please kill me!;;;;;;;;;;;Ïîæàëóéñòà, óáåéòå ìåíÿ!;;x
EVTOPTA6061;Alive!;;;;;;;;;;;Óðà!;;x
EVTOPTA6062;I can run!;;;;;;;;;;;Óðà, ìîæíî áåãàòü!;;x
EVTOPTA6070;Something is very wrong with me;;;;;;;;;;;Ñî ìíîé ïðîèñõîäèò ÷òî-òî íåõîðîøåå;;x
EVTOPTA6071;Finally!;;;;;;;;;;;Íàêîíåö-òî!;;x
EVTOPTA6080;Why I oughta...;;;;;;;;;;;Çà ÷òî ìíå ýòî...;;x
EVTOPTA6081;Ewww...;;;;;;;;;;;Ôóõ...;;x
EVTOPTA6082;May [Root.Religion.GetRandomGodName] have mercy on us!;;;;;;;;;;;Ïîìèëóé íàñ, [Root.Religion.GetRandomGodName]!;;x
EVTOPTA6100;Who are you? Oh, of course.;;;;;;;;;;;Êàê Âàñ ïî áàòþøêå? Àõ äà, êîíå÷íî...;;x
EVTOPTA6110;So tired... zzz;;;;;;;;;;;×òî-òî ÿ óñòàë[Root.GetEndA]... Õðððð.....;;x
EVTOPTA6111;O Fortuna;;;;;;;;;;;Ñëàâà Áîãó;;x
EVTOPTA6112;I could eat a horse!;;;;;;;;;;;ß áû ñåé÷àñ ñëîíà ñúåë[Root.GetEndA]!;;x
EVTOPTA6113;The fates are kind;;;;;;;;;;;Ñóäüáà óëûáàåòñÿ ìíå;;x
EVTOPTA6114;HAHA!;;;;;;;;;;;ÕÀ-ÕÀ!;;x
EVTOPTA6115;Time to get up;;;;;;;;;;;Ïîðà âñòàâàòü;;x
EVTOPTA6116;Poxy no more!;;;;;;;;;;;Äîâîëüíî ñûïè íà êîæå!;;x
EVTOPTA6200;Jesus calls to me;;;;;;;;;;;Èèñóñ Õðèñòîñ ïðèçâàë ìåíÿ;;x
EVTOPTA6201;The Lord wills it;;;;;;;;;;;Äà áóäåò âîëÿ Ãîñïîäà;;x
EVTOPTA6202;For my soul;;;;;;;;;;;ß áóäó áîðîòüñÿ çà ñâîþ äóøó;;x
EVTOPTA6203;It's an omen;;;;;;;;;;;Ýòî çíàê;;x
EVTOPTA6204;I will control my vices;;;;;;;;;;;Òåïåðü ÿ áóäó óïðàâëÿòü ñâîèìè ïîðîêàìè;;x
EVTOPTA6205;And so I shall;;;;;;;;;;;Òàê ÿ è ñäåëàþ;;x
EVTOPTA6206;I will stop;;;;;;;;;;;ß îñòàíîâëþñü;;x
EVTOPTA6207;I will be ;;;;;;;;;;;È ÿ ñòàíó;;x
EVTOPTA6208;God forgive me;;;;;;;;;;;Î Ãîñïîäè, ïðîñòè ìåíÿ!;;x
EVTOPTA6209;Praise to God;;;;;;;;;;;Ñëàâà Áîãó;;x
EVTOPTA6210;I will do as I was commanded;;;;;;;;;;;ß ñäåëàþ òàê, êàê áûëî ïîâåëåíî ìíå;;x
EVTOPTA6212;Jesus is right, this is wrong;;;;;;;;;;;Èèñóñ ïðàâ, òàê íå ïîéä¸ò.;;x
EVTOPTA6213;I will be more kind;;;;;;;;;;;ß áóäó ñíèñõîäèòåëüíåå.;;x
EVTOPTA6214;I will be a true soldier of God;;;;;;;;;;;ß áóäó íàñòîÿùèì âîèíîì Ãîñïîäà!;;x
EVTOPTA6215;I will do so;;;;;;;;;;;Òàê è ñäåëàþ.;;x
EVTOPTA6216;Then I realized how wrong I was.;;;;;;;;;;;Òåïåðü ÿ âèæó ñâîþ îøèáêó.;;x
EVTOPTA6217;Then I will be more meek;;;;;;;;;;;Òîãäà è ÿ áóäó ñêðîìíåå.;;x
EVTOPTA6218;I will do as our Lord Commands;;;;;;;;;;;ß ñäåëàþ òàê, êàê ïðèêàæåò Ãîñïîäü.;;x
EVTOPTA6219;As Jesus Wills;;;;;;;;;;;Êàê òîãî æåëàåò Èèñóñ.;;x
EVTOPTA6220;It must be a punishment for my sins;;;;;;;;;;;Äîëæíî áûòü, ýòî íàêàçàíèå çà ìîè ãðåõè.;;x
EVTOPTA6221;The only problem is no one else can;;;;;;;;;;;Åäèíñòâåííàÿ ïðîáëåìà â òîì, ÷òî íèêòî áîëüøå íå ìîæåò.;;x
EVTOPTA6222;I am saddened. ;;;;;;;;;;;ß â ïå÷àëè.;;x
EVTOPTA6223;Redrum;;;;;;;;;;;Ñàòàíèíñêîå íàâàæäåíèå...;;x
EVTOPTA6224;I heard him scream and [Root.Religion.GetRandomEvilGodName] laughed with delight.;;;;;;;;;;;ß ñëûøó åãî êðèêè, à [Root.Religion.GetRandomEvilGodName] õîõî÷åò.;;x
EVTOPTA6225;It is wrong, but feels right.;;;;;;;;;;;Ýòî êîíå÷íî íåïðàâèëüíî, íî ÿ ÷óâñòâóþ ñåáÿ õîðîøî.;;x
EVTOPTA6226;A messenger from my Lord the Leviathan;;;;;;;;;;;Ýòî ïîñëàííèê ãîñïîäèíà ìîåãî Ëåâèàôàíà.;;x
EVTOPTA6227;It was the word of God?;;;;;;;;;;;Áîã òàê è ñêàçàë?;;x
EVTOPTA6228;God must want me to do this.;;;;;;;;;;;Áîã õî÷åò, äîëæíî áûòü, ÷òîáû ÿ ñäåëàë[Root.GetEndA] ýòî.;;x
EVTOPTA6229;He's right you know;;;;;;;;;;;Çíàåòå, à îí ïðàâ.;;x
EVTOPTA6230;Yes I will not be weak.;;;;;;;;;;;Äà, ÿ áû õîòåë áûòü òâ¸ðæå.;;x
EVTOPTA6231;My eyes are open;;;;;;;;;;;Ýòî ðàñêðûëî ìíå ãëàçà.;;x
EVTOPTA6232;He is right.;;;;;;;;;;;Äà, ýòî òàê.;;x
EVTOPTA6233;He tells it true.;;;;;;;;;;;Âåðíî ãîâîðèò.;;x
EVTOPTA6234;Indeed;;;;;;;;;;;Äåéñòâèòåëüíî.;;x
EVTOPTA6235;It is right;;;;;;;;;;;Ýòî âåðíî.;;x
EVTOPTA6236;They will be mine;;;;;;;;;;;Îíè áóäóò ìîèìè.;;x
EVTOPTA6237;I will be strong;;;;;;;;;;;ß áóäó ñèëüí[Root.GetOyYm].;;x
EVTOPTA6238;I never thought of it that way.;;;;;;;;;;;ß íèêîãäà íå äóìàë[Root.GetEndA] îá ýòîì â òàêîì êëþ÷å.;;x
EVTOPTA6239;You know he has a point;;;;;;;;;;;Âû çíàåòå, ó ýòîãî åñòü ñìûñë.;;x
EVTOPTA6240;He is right too.;;;;;;;;;;;Îí îïÿòü ïðàâ.;;x
EVTOPTA6300;The Turnip Act.;;;;;;;;;;;Çàêîí Ðåïû.;;x
EVTOPTA6301;What the...;;;;;;;;;;;×òî çà...;;x
EVTOPTA6302;They will have to pry them from my cold, dead legs...;;;;;;;;;;;Ó íèõ áóäåò, ÷òî ñíÿòü ñ ìîèõ õîëîäíûõ ì¸ðòâûõ íîã...;;x
EVTOPTA6303;What?;;;;;;;;;;;×òî?;;x
EVTOPTA6304;Rehabi...? What insanity is this?;;;;;;;;;;;Îíè áóäóò èíòåãðèðîâàíû? Áåçóìèå!;;x
EVTOPTA6305;This law will bring salvation to the realm.;;;;;;;;;;;Ýòîò çàêîí ïðèíåñåò ñïàñåíèå ãîñóäàðñòâó.;;x
EVTOPTA6315;Where did the gopher go? Did you see?;;;;;;;;;;;Êóäà äåëñÿ ñóñëèê? Âû åãî âèäåëè?;;x
EVTOPTA6316;AAAAAAAAOOOOOOO!!!!!!;;;;;;;;;;;ÀÓÓÓÓÓÓÓÓ!!!;;x
EVTOPTA6317;Glitterhoof, I appoint thee as the [Root.GetChancellorName] of the realm.;;;;;;;;;;;Ãëèòòåðãîô, òåïåðü òû - [Root.GetChancellorName]!;;x
EVTOPTA6318;This time that maniac has gone too far...;;;;;;;;;;;Íà ýòîò ðàç áåçóìèå çàøëî ñëèøêîì äàëåêî...;;x
EVTOPTA6350;Could there be rats in the walls?;;;;;;;;;;;Ìîæåò ýòî áûëè êðûñû â ñòåíå?;;x
EVTOPTA6351;That color is not from this earth!;;;;;;;;;;;Óâèäåííûé öâåò íå îò ýòîãî ìèðà!;;x
EVTOPTA6352;This coffin looks comfortable to sleep in;;;;;;;;;;;Ýòîò ãðîá, âèäèìî, óäîáåí äëÿ ñíà;;x
EVTOPTA6353;Pass a law banning the killing of cats;;;;;;;;;;;Èçäàòü çàêîí, çàïðåùàþùèé óáèéñòâî êîøåê;;x
EVTOPTA6354;I must study this grimoire;;;;;;;;;;;Íóæíî èçó÷èòü ýòîò ãðèìóàð;;x
EVTOPTA6355;Tonight, he will wake!;;;;;;;;;;;Ñåãîäíÿ îí ïðîñí¸òñÿ!;;x
EVTOPTA6356;He comes! HE COMES!;;;;;;;;;;;Îí èä¸ò! ÎÍ ÈÄ¨Ò!;;x
EVTOPTA6357;Ramming speed!;;;;;;;;;;;Ïðèáàâèòü ñêîðîñòü!;;x
EVTOPTA6358;I must put them to print;;;;;;;;;;;Íóæíî çàïèñàòü ýòè ñîáûòèÿ;;x
EVTOPTA6360;How dare you blame little innocent Mittens?!;;;;;;;;;;;Äà êàê òû ñìååøü îáâèíÿòü ýòî ìèëîå ñîçäàíèå?!;;x
EVTOPTA6361;Follow Mittens down the dark corridor.;;;;;;;;;;;×òî æ, ïîñìîòðèì, êóäà òû òàê ñîáðà[Root.GetPetCatLasLsya].;;x
EVTOPTA6362;You have discovered a murder, Mittens! Clever kitty!;;;;;;;;;;;Ìîëîäåö, [Root.GetPetCatName]! Òû ðàñêðûë[Root.GetPetCatEndA] óáèéñòâî!;;x
EVTOPTA6363;Is anyone on the council safe? This is a catastrophe!;;;;;;;;;;;Íåóæåëè ìû âñå â îïàñíîñòè? Ýòî êàòàñòðîôà!;;x
EVTOPTA6365;[From.GetSheHeCap] must lap up some of my immortal blood for protection.;;;;;;;;;;;[From.GetSheHeCap] äîëæ[From.GetNaEn] âûïèòü íåìíîãî ìîåé áåññìåðòíîé êðîâè äëÿ çàùèòû.;;x
EVTOPTB6300;The Pants Act.;;;;;;;;;;;Çàêîí Áðþê.;;x
EVTOPTB6350;Just a dream, nothing more;;;;;;;;;;;Ýòî áûë ñîí, íè÷åãî áîëüøå;;x
EVTOPTB6351;The well must have gone bad;;;;;;;;;;;Êîëîäåö ïðîãíèë;;x
EVTOPTB6352;Well, that was morbid... seal the tomb!;;;;;;;;;;;Ýòî ñóìàñøåñòâèå... çàïå÷àòàéòå ãðîáíèöó!;;x
EVTOPTB6353;A coincidence, nothing more;;;;;;;;;;;Ñîâïàäåíèå, íè÷åãî áîëåå;;x
EVTOPTB6356;What have I done?! I must stop this!;;;;;;;;;;;×òî ÿ äåëàþ?! Íàäî ïðåêðàòèòü ýòî!;;x
EVTOPTB6358;Fools! I saved you all!;;;;;;;;;;;Äóðàêè! Âû âñå æèâû áëàãîäàðÿ ìíå!;;x
EVTOPTB6360;Perhaps you are right, [Root.job_spymaster.GetFirstName]. The council is no place for a cat.;;;;;;;;;;;Ïîæàëóé, Âû ïðàâû. Ñîâåò - íå ìåñòî äëÿ êîøåê.;;x
EVTOPTB6361;Go to the kitchen, she is sure to follow.;;;;;;;;;;;Ëàäíî, ÿ íà êóõíþ, çàõî÷åøü - ïðèä¸øü.;;x
EVTOPTB6365;Only I shall have this great power!;;;;;;;;;;;Òîëüêî ÿ äîñòî[Root.GetYnaIn] ýòîé ñèëû!;;x
EVTOPTC6300;The Hole in the Wall Act.;;;;;;;;;;;Çàêîí î Äûðàõ è Ñòåíàõ.;;x
EVTOPTD6300;The Cessation of Violence Act.;;;;;;;;;;;Çàêîí î Çàïðåòå Íàñèëèÿ.;;x
EVTTOOLTIP6305;You give the order to implement the Turnip Act.;;;;;;;;;;;Îòäàòü ïðèêàç ââåñòè Çàêîí Ðåïû.;;x
EVTTOOLTIP6306;You give the order to implement the Pants Act.;;;;;;;;;;;Îòäàòü ïðèêàç ââåñòè Çàêîí Áðþê.;;x
EVTTOOLTIP6307;You give the order to implement the Hole in the Wall Act.;;;;;;;;;;;Îòäàòü ïðèêàç ââåñòè Çàêîí î Äûðàõ è Ñòåíàõ.;;x
EVTTOOLTIP6308;You give the order to implement the Cessation of Violence Act.;;;;;;;;;;;Îòäàòü ïðèêàç ââåñòè Çàêîí î Çàïðåòå Íàñèëèÿ.;;x
EVTTOOLTIP6354;Somewhere, a dreamer stirs...;;;;;;;;;;;Ãäå-òî ñïÿùèé çàøåâåëèëñÿ...;;x
EVTTOOLTIP6355;[Root.GetBestName] learns the forbidden secrets;;;;;;;;;;;[Root.GetBestName] èçó÷èò çàïðåòíûå ñåêðåòû;;x
EVTTOOLTIP6356;[Root.GetBestName] puts on a black robe and wizened old hat;;;;;;;;;;;[Root.GetBestName] îäåâàåò ÷¸ðíóþ ìàíòèþ è ñòàðóþ ìÿòóþ øëÿïó;;x
EVTTOOLTIP6357;[Root.GetBestName] commandeers a longboat;;;;;;;;;;;[Root.GetBestName] êîíôèñêóåò áàðêàñ;;x
EVTTOOLTIP6358;A fateful collision...;;;;;;;;;;;Ðîêîâîå ñòîëêíîâåíèå...;;x
