ABANDON_AMBITION_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§! ended [Recipient.GetPossPronoun] plot to [Recipient.GetPlot].;;;;;;;;;;;§Y[Recipient.GetBestName]§W ïðåêðàòèë[Recipient.GetEndA] ñâîé çàãîâîð: §Y[Recipient.GetPlot]§W.;;x
GRANT_VICE_ROYALTY_INTERACTION_0;Select a title to grant as a Viceroyalty to §Y[Recipient.GetTitledFirstName]§!.;;;;;;;;;;;Âûáåðèòå òèòóë, êîòîðûé ïîëó÷èò îò Âàñ §Y[Recipient.GetTitledFirstName]§W â êà÷åñòâå íàìåñòíè÷åñòâà.;;x
GRANT_VICE_ROYALTY_INTERACTION_1;Grant the §Y[ThirdPartyTitle.GetFullName]§! as a Viceroyalty to §Y[Recipient.GetTitledFirstName]§!, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§!. When §Y[Recipient.GetTitledFirstName]§! dies, the title will revert back to you.;;;;;;;;;;;§Y[Recipient.GetTitledFirstName]§W ñòàíåò Âàøèì íàìåñòíèêîì â çåìëå, èçâåñòíîé êàê §Y[ThirdPartyTitle.GetFullName]§W, ÷òî óëó÷øèò [Recipient.GetAbsPossPronoun] ìíåíèå î Âàñ íà §G$OPINION$§W. Êîãäà §Y[Recipient.GetTitledFirstName]§W óìð¸ò, òèòóë âåðí¸òñÿ ê Âàì.;;x
GRANT_VICE_ROYALTY_INTERACTION_2;The capital will change from §Y$CURRENT$§! to §Y$NEW$§!.;;;;;;;;;;;§Y$CURRENT$§W ïîòåðÿåò ñòàòóñ ñòîëèöû, íîâîé ñòîëèöåé ñòàíåò §Y$NEW$§W.;;x
GRANT_VICE_ROYALTY_INTERACTION_3;Vassals going with the grant: ;;;;;;;;;;;Âàññàëû, êîòîðûå ïåðåäàäóòñÿ: ;;x
GRANT_VICE_ROYALTY_INTERACTION_4;[Player.Religion.GetPietyName] from temple grant: §G$PIETY$§!.;;;;;;;;;;;[Player.Religion.GetPietyName] îò ïåðåäà÷è õðàìà: §G$PIETY$§!.;;x
GRANT_VICE_ROYALTY_INTERACTION_5;§RMaking [Recipient.GetObjectPronoun] a $TITLE$ will disqualify [Recipient.GetObjectPronoun] from the succession!§!;;;;;;;;;;;§RÏåðåäà÷à [Recipient.GetObjectPronoun] ýòîãî çåìåëüíîãî òèòóëà ($TITLE$) èñêëþ÷èò [Recipient.GetAbsPossPronoun] èç ëèíèè íàñëåäîâàíèÿ!§!;;x
GRANT_VICE_ROYALTY_INTERACTION_6;Grant the §Y[ThirdPartyTitle.GetFullName]§! as a Viceroyalty and all titles under it to §Y[Recipient.GetTitledFirstName]§!, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§!. When §Y[Recipient.GetTitledFirstName]§! dies, the title will revert back to you.;;;;;;;;;;;§Y[Recipient.GetTitledFirstName]§W ñòàíåò Âàøèì íàìåñòíèêîì, ïîëó÷èâ òèòóë çåìëè, èçâåñòíîé êàê §Y[ThirdPartyTitle.GetFullName]§W, à òàêæå âñå íèæåñòîÿùèå òèòóëû, ÷òî óëó÷øèò [Recipient.GetAbsPossPronoun] ìíåíèå î Âàñ íà §G$OPINION$§W. Êîãäà §Y[Recipient.GetTitledFirstName]§W óìð¸ò, òèòóëû âåðíóòñÿ ê Âàì.;;x
GRANT_VICE_ROYALTY_INTERACTION_7;Decadence lost from grant to dynasty member: §G$DECADENCE$%§! (the effect is relative to the dynasty's current Decadence.);;;;;;;;;;;Ñíèæåíèå óïàäêà îò ïåðåäà÷è çåìëè ÷ëåíó äèíàñòèè: §G$DECADENCE$%§! (ýôôåêò çàâèñèò îò òåêóùåãî çíà÷åíèÿ óïàäêà äèíàñòèè);;x
GRANT_VICE_ROYALTY_INTERACTION_8;Granting a Viceroyalty will lower all of your feudal duke and king subjects' opinion of you by §R$OPINION$§!.;;;;;;;;;;;Æàëîâàíèå íàìåñòíè÷åñêèõ òèòóëîâ óõóäøàåò ìíåíèå î Âàñ âñåõ ôåîäàëîâ ãåðöîãñêèõ è êîðîëåâñêèõ ðàíãîâ íà §R$OPINION$§!.;;x
GRANT_VICE_ROYALTY_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! granted the [ThirdPartyTitle.GetFullName] to §Y[Recipient.GetBestName]§!;;;;;;;;;;;§Y[Actor.GetBestName]§W ïåðåäàë[Actor.GetEndA] çåìëþ, èçâåñòíóþ êàê [ThirdPartyTitle.GetFullName], ñâîåìó íàìåñòíèêó ïî èìåíè §Y[Recipient.GetBestName]§W;;x
GRANT_VICE_ROYALTY_INTERACTION_ACCEPT_SETUP;Viceroyalty Granted;;;;;;;;;;;Íàìåñòíè÷åñòâî ïðåäîñòàâëåíî;;x
GRANT_VICE_ROYALTY_INTERACTION_DESC;Grant a Viceroyalty to the character;;;;;;;;;;;Ñäåëàòü ýòîãî ÷åëîâåêà ñâîèì íàìåñòíèêîì;;x
GRANT_VICE_ROYALTY_INTERACTION_LETTER;We offer you the Viceroyalty of [ThirdPartyTitle.GetFullName];;;;;;;;;;;Ìû ïðåäëàãàåì Âàì íàìåñòíè÷åñòâî: [ThirdPartyTitle.GetFullName];;x
GRANT_VICE_ROYALTY_INTERACTION_LONG_DESC;Grant one of your landed titles as a Viceroyalty to another character. This will significantly improve their opinion of you. When the character dies, the title will revert back to you.;;;;;;;;;;;Ïðåäîñòàâèòü îäèí èç Âàøèõ òèòóëîâ (çåìåëü) êàê íàìåñòíè÷åñòâî äðóãîìó ÷åëîâåêó. Ýòî ñóùåñòâåííî óëó÷øèò åãî ìíåíèå î Âàñ. Êîãäà ýòîò ÷åëîâåê óìð¸ò, òèòóë ïåðåéäåò îáðàòíî ê Âàì.;;x
GRANT_VICE_ROYALTY_INTERACTION_SHORT_DESC;Grant Viceroyalty §Y[ThirdPartyTitle.GetFullName]§! to §Y[Recipient.GetTitledFirstName]§!;;;;;;;;;;;Äàðîâàòü íàìåñòíè÷åñòâî §Y[ThirdPartyTitle.GetFullName]§! ÷åëîâåêó ïî èìåíè §Y[Recipient.GetTitledFirstName]§!;;x
GRANT_VICE_ROYALTY_INTERACTION_TITLE;Grant Viceroyalty;;;;;;;;;;;Íàìåñòíè÷åñòâî;;x
IMPRISON_INTERACTION_0;Try to imprison §Y[Recipient.GetBestName]§!. We have a §Y$CHANCE$%§! chance of success based on our relative §YState Intrigue§!.\nIf we fail, [Recipient.GetSubjectPronoun] might declare war on us or flee to another court.;;;;;;;;;;;Ïîïûòêà àðåñòà, öåëü - §Y[Recipient.GetBestName]§W.\nØàíñû íà óñïåõ: §Y$CHANCE$%§W.\nÅñëè ïîïûòêà ïðîâàëèòñÿ, [Recipient.GetSubjectPronoun] ìîæåò îáúÿâèòü íàì âîéíó èëè ñáåæàòü â äðóãóþ ñòðàíó.;;x
IMPRISON_INTERACTION_1;Using this option is viewed as tyrannical, and will lower all of your subjects' opinion of you by §R$OPINION$§!.;;;;;;;;;;;Èñïîëüçîâàíèå ýòîãî äåéñòâèÿ âîñïðèíèìàåòñÿ êàê àêò òèðàíèè, è óõóäøèò îòíîøåíèÿ ê Âàì âñåõ Âàøèõ ïðèäâîðíûõ íà §R$OPINION$§!;;x
IMPRISON_INTERACTION_1B;Using this option is viewed as tyrannical, and will lower the opinions of all characters in the Republic of you by §R$OPINION$§!;;;;;;;;;;;Èñïîëüçîâàâ ýòîò âàðèàíò, Âû ñîçäàäèòå ñåáå ñëàâó òèðàíà, ÷òî óõóäøèò ìíåíèå âñåõ ëþäåé ðåñïóáëèêè î Âàñ íà §R$OPINION$§!;;x
IMPRISON_INTERACTION_2;Since §Y[Recipient.GetTitledFirstName]§! is excommunicated, no one will care.;;;;;;;;;;;§Y[Recipient.GetTitledFirstName]§W - ëèöî, îòëó÷¸ííîå îò öåðêâè, ïîýòîìó íèêîìó íåò äåëà äî [Recipient.GetHersHis] ñóäüáû.;;x
IMPRISON_INTERACTION_3;Since §Y[Recipient.GetTitledFirstName]§! has acted dishonorably toward you, no one will care.;;;;;;;;;;;§Y[Recipient.GetTitledFirstName]§W ïîñòóïàåò ñ Âàìè áåñ÷åñòíî, ïîýòîìó íèêòî íå áóäåò ïðîòèâ [Recipient.GetHersHis] àðåñòà;;x
IMPRISON_INTERACTION_4;Since we have evidence that §Y[Recipient.GetTitledFirstName]§! is the leader of a plot, no one will object.;;;;;;;;;;;Ó íàñ åñòü âåñîìûå äîêàçàòåëüñòâà òîãî, ÷òî §Y[Recipient.GetTitledFirstName]§W âîçãëàâëÿåò çàãîâîð, ïîýòîìó íèêòî íå ñòàíåò âîçðàæàòü.;;x
IMPRISON_INTERACTION_5;Since §Y[Recipient.GetTitledFirstName]§! is from an enemy country, no one will object.;;;;;;;;;;;§Y[Recipient.GetTitledFirstName]§! èç âðàæåñêîé ñòðàíû, íèêòî íå ñòàíåò âîçðàæàòü.;;x
IMPRISON_INTERACTION_6;Since I am Muslim and §Y[Recipient.GetTitledFirstName]§! is of my dynasty, only [Recipient.GetPossPronoun] parents might care.;;;;;;;;;;;ß - ìóñóëüìàíèí, à §Y[Recipient.GetTitledFirstName]§! - ïðåäñòàâèòåëü ìîåé äèíàñòèè, ïîýòîìó òîëüêî [Recipient.GetAbsPossPronoun] ðîäèòåëè ìîãóò òàêîå ðåøàòü.;;x
IMPRISON_INTERACTION_ACCEPT_LOG;§Y[Actor.GetDynName]§! attempted to imprison §Y[Recipient.GetDynName]§!;;;;;;;;;;;§Y[Actor.GetDynName]§W ïðåäïðèíÿë[Actor.GetEndA] ïîïûòêó àðåñòà, öåëü - §Y[Recipient.GetDynName]§W;;x
IMPRISON_INTERACTION_ACCEPT_SETUP;Imprisonment Attempted;;;;;;;;;;;Ïîïûòêà çàêëþ÷åíèÿ;;x
IMPRISON_INTERACTION_DESC;Try to imprison [Recipient.GetBestName].\nWe have a §Y$CHANCE$%§! chance of success based on our relative §YState Intrigue§!.\nIf we fail, [Recipient.GetSubjectPronoun] might declare war on us or flee to another court;;;;;;;;;;;Ïîïûòêà àðåñòà, öåëü - [Recipient.GetBestName].\nØàíñû íà óñïåõ: §Y$CHANCE$%§W.\nÅñëè ïîïûòêà ïðîâàëèòñÿ, [Recipient.GetSubjectPronoun] ìîæåò îáúÿâèòü íàì âîéíó èëè ñáåæàòü â äðóãóþ ñòðàíó.;;x
IMPRISON_INTERACTION_FORCED;Because of their different way of governance, none of your Clans will object to the imprisonment of this outsider.;;;;;;;;;;;Èõ ïîðÿäêè îòëè÷àþòñÿ îò íàøèõ - êëàíû íå ñòàíóò âîçðàæàòü ïðîòèâ ïëåíåíèÿ ÷óæàêà.;;x
IMPRISON_INTERACTION_LONG_DESC;Throwing characters in prison can be convenient, but will give you a reputation as a tyrant.;;;;;;;;;;;Îòïðàâëÿòü íåóãîäíûõ ïåðñîíàæåé â òþðüìó - î÷åíü óäîáíî äëÿ ïðàâèòåëÿ, îäíàêî ýòî ñîçäà¸ò åìó ðåïóòàöèþ òèðàíà.;;x
IMPRISON_INTERACTION_SHORT_DESC;Imprison §Y[Recipient.GetBestName]§!.;;;;;;;;;;;Ïóñòü §Y[Recipient.GetBestName]§! îòïðàâèòñÿ â òåìíèöó.;;x
IMPRISON_INTERACTION_TITLE;Imprison;;;;;;;;;;;Çàêëþ÷èòü â òþðüìó;;x
IMPRISON_INTERACTION_VOTE;§Y[Actor.GetTitledName]§! imprisoned §Y[Recipient.GetTitledName]§!;;;;;;;;;;;§Y[Actor.GetTitledName]§! ðàñïîðÿäèòñÿ, ÷òîáû §Y[Recipient.GetTitledName]§! îòïðàâè[Recipient.GetLasLsya] â òåìíèöó;;x
INTERACTION_ACTOR_NOT_COALITION;§Y[Actor.GetTitledFirstName]§! is not in a defensive pact against §Y[Recipient.GetTitledFirstName]§!;;;;;;;;;;;§Y[Actor.GetTitledFirstName]§! íå ñîñòîèò â îáîðîíèòåëüíîì ïàêòå ïðîòèâ ïðàâèòåëÿ ïî èìåíè §Y[Recipient.GetTitledFirstName]§!;;x
INTERACTION_ACTOR_NOT_NON_AGGRESSION_PACT;§Y[Actor.GetTitledFirstName]§! is not in a non-aggression pact with §Y[ThirdPartyCharacter.GetTitledFirstName]§!;;;;;;;;;;;Óáåäèòåñü, ÷òî §Y[Actor.GetTitledFirstName]§! è §Y[ThirdPartyCharacter.GetTitledFirstName]§! ÍÅ èìåþò ïàêòà î íåíàïàäåíèè ìåæäó ñîáîé;;x
INTERACTION_ACTOR_NOT_TRUCE;§Y[Actor.GetTitledFirstName]§! does not have a truce with §Y[ThirdPartyCharacter.GetTitledFirstName]§!;;;;;;;;;;;Óáåäèòåñü, ÷òî §Y[Actor.GetTitledFirstName]§! è §Y[ThirdPartyCharacter.GetTitledFirstName]§! ÍÅ çàêëþ÷èëè ïåðåìèðèå;;x
INTERACTION_AI_MAYBE;Maybe;;;;;;;;;;;Âîçìîæíî;;x
INTERACTION_AI_NO;No;;;;;;;;;;;Íåò;;x
INTERACTION_AI_YES;Yes;;;;;;;;;;;Äà;;x
INTERACTION_CALL_TO_WAR_HAS_VALID_TARGET;There must be a war that §Y[Recipient.GetTitledFirstName]§! can be called to;;;;;;;;;;;Äîëæíà áûòü îáúÿâëåíà ïîäõîäÿùàÿ âîéíà, íà ïðèçûâ ê êîòîðîé §Y[Recipient.GetTitledFirstName]§! ñìîæåò Âàì îòâåòèòü.;;x
INTERACTION_CAN_AFFORD_THE_COST;Can afford the cost of $COST$¤;;;;;;;;;;;Óáåäèòåñü, ÷òî ìîæåòå ïîçâîëèòü ñåáå ðàñõîäû â $COST$¤;;x
INTERACTION_CAN_CALL_TO_WAR_AGAIN;§Y[Recipient.GetTitledFirstName]§! has not refused our Call to this war;;;;;;;;;;;Óáåäèòåñü, ÷òî §Y[Recipient.GetTitledFirstName]§! íå îòâåòèë[Recipient.GetEndA] îòêàçîì íà íàø ïðèçûâ ê ýòîé âîéíå.;;x
INTERACTION_CANNOT_ATTACK_VASSALS;You cannot attack your vassals with this Casus belli;;;;;;;;;;;Âû íå ìîæåòå íàïàäàòü íà ñâîèõ âàññàëîâ áåç ïîäõîäÿùåãî Casus belli (ïîâîäà);;x
INTERACTION_CANNOT_BE_GRANTED_TITLE;§Y[Recipient.GetTitledFirstName]§! can be granted land under the current succession laws;;;;;;;;;;;Óáåäèòåñü, ÷òî §Y[Recipient.GetTitledFirstName]§! ìîæåò ïîëó÷èòü çåìëè â ñîîòâåòñòâèè ñ òåêóùèìè çàêîíàìè íàñëåäîâàíèÿ;;x
INTERACTION_CANNOT_BREAK_FAVOR_BETROTHAL;Favor wasn't used to arrange the betrothal;;;;;;;;;;;Ïîìîëâêà íå ìîæåò áûòü îäîëæåíèåì;;x
INTERACTION_CANNOT_CALL_LIEGE;We cannot call our liege(or above) to war;;;;;;;;;;;Ìû íå ìîæåì ïðèçâàòü íà ïîìîùü íàøåãî ñþçåðåíà;;x
INTERACTION_CANNOT_CALL_VASSAL;We cannot call our subjects to war;;;;;;;;;;;Ìû íå ìîæåì ïðèçâàòü íàøèõ âàññàëîâ ê âîéíå;;x
INTERACTION_CANNOT_DISQUALIFY_HEIR;Cannot disinherit your Heir by making [Recipient.GetObjectPronoun] a $TITLE$;;;;;;;;;;;Íåëüçÿ ëèøèòü íàñëåäíèêà íàñëåäñòâà, ïîæàëîâàâ [Recipient.GetObjectPronoun] çåìåëüíûé òèòóë $TITLE$;;x
INTERACTION_CANNOT_GRANT_CAPITAL_IF_MOVED;Cannot give away the capital county after moving the capital;;;;;;;;;;;Íåëüçÿ ïåðåäàòü ñòîëè÷íûé îêðóã ïîñëå ïåðåíîñà ñòîëèöû;;x
INTERACTION_CANNOT_GRANT_TO_PRISONERS;§Y[Recipient.GetTitledFirstName]§! must not be imprisoned;;;;;;;;;;;Óáåäèòåñü, ÷òî §Y[Recipient.GetTitledFirstName]§! ÍÅ çàêëþ÷¸íí[Recipient.GetAyaYy];;x
INTERACTION_CANNOT_INVITE_CONSORT;§Y[Recipient.GetTitledFirstName]§! must not be a concubine or consort;;;;;;;;;;;Óáåäèòåñü, ÷òî §Y[Recipient.GetTitledFirstName]§! ÍÅ ÿâëÿåòñÿ íàëîæíè[Recipient.GetTseyKom].;;x
INTERACTION_CANNOT_INVITE_MARRIED;[Recipient.GetTitledFirstName] must not be married;;;;;;;;;;;Óáåäèòåñü, ÷òî [Recipient.GetTitledFirstName] ÍÅ ñîñòîèò â áðàêå;;x
INTERACTION_CANNOT_JOIN_AGAINST_NAP;Cannot join against someone we have a non-aggression pact with;;;;;;;;;;;Íåëüçÿ âñòóïèòü â âîéíó ïðîòèâ òîãî, ñ êåì ïîäïèñàí äîãîâîð î íåíàïàäåíèè;;x
INTERACTION_CANNOT_JOIN_ENEMIES;Cannot join our current enemies' wars;;;;;;;;;;;Íåëüçÿ ïðèñîåäèíÿòüñÿ ê âîéíàì íàøèõ âðàãîâ;;x
INTERACTION_CANNOT_JOIN_LIEGE_WAR;We cannot join our lieges' wars;;;;;;;;;;;Ìû íå ìîæåì ïðèñîåäèíÿòüñÿ ê âîéíàì íàøèõ ñþçåðåíîâ;;x
INTERACTION_CANNOT_JOIN_OUSIDER_VS_LIEGE;Cannot join an outside attacker against our liege;;;;;;;;;;;Íåëüçÿ ïðèñîåäèíèòüñÿ ê âíåøíèì àãðåññîðàì ïðîòèâ íàøåãî ñþçåðåíà;;x
INTERACTION_CANNOT_JOIN_VASSAL_WAR;We cannot join our vassals' wars (except for Crusades/Jihads and for supporting their claims outside your realm);;;;;;;;;;;Ìû íå ìîæåì ïðèñîåäèíÿòüñÿ ê âîéíàì íàøèõ âàññàëîâ (çà èñêëþ÷åíèåì ïîõîäîâ, äæèõàäîâ è ïîääåðæêè èõ ïðåòåíçèé íà òèòóëû çà ïðåäåëàìè ñòðàíû);;x
INTERACTION_CANNOT_JOIN_WAR_AGAINST_PRISON_HOST;§Y[Actor.GetTitledFirstName]§! must not be a prisoner of the enemy;;;;;;;;;;;§Y[Actor.GetTitledFirstName]§! íå ìîæåò âñòóïàòü â âîéíó, áóäó÷è çàêëþ÷¸ííûì âðàãà;;x
INTERACTION_CANNOT_REVOKE_LAST_TEMPLE_OFF_REL_HEAD;Cannot revoke the last Temple Holding from your religious head;;;;;;;;;;;Íåëüçÿ îòíÿòü ïîñëåäíåå õðàìîâîå âëàäåíèå ó ãëàâû Âàøåé ðåëèãèè;;x
INTERACTION_CANNOT_TRANSFER_DUKES_TO_NON_DJ;Dukes and above can only be transferred to their De Jure liege;;;;;;;;;;;Âàññàëîâ, îáëàäàþùèõ ãåðöîãñêèì èëè âûøå òèòóëîì, ìîæíî ïåðåäàâàòü òîëüêî èõ äå-þðå ñþçåðåíó.;;x
INTERACTION_CANT_DOW_BLOOD_BROTHER;Must not be a blood brother;;;;;;;;;;;Äîëæåí ÍÅ ÿâëÿòüñÿ êðîâíûì áðàòîì;;x
INTERACTION_CANT_DOW_IN_COALITION;Is not fighting as part of a Defensive Pact;;;;;;;;;;;Óáåäèòåñü, ÷òî ÍÅ ñðàæàåòñÿ êàê ó÷àñòíèê îáîðîíèòåëüíîãî ñîþçà;;x
INTERACTION_CANT_DOW_PREPARED_INVADER;§Y[Recipient.GetTitledFirstName]§! is not preparing to invade you;;;;;;;;;;;Óáåäèòåñü, ÷òî §Y[Recipient.GetTitledFirstName]§! íå ãîòîâèò ê âòîðæåíèå ê Âàì;;x
INTERACTION_CANT_LEAVE_COALITION_AT_WAR;Is not part of a Defensive Pact war opposing §Y[Recipient.GetTitledFirstName]§!;;;;;;;;;;;Óáåäèòåñü, ÷òî ÍÅ ó÷àñòâóåò â îáîðîíèòåëüíîé âîéíå ïðîòèâ ïðàâèòåëÿ, èçâåñòíîãî êàê §Y[Recipient.GetTitledFirstName]§!;;x
INTERACTION_COALITION_RANGE;Is close enough to threaten us;;;;;;;;;;;Äîñòàòî÷íî áëèçêî, ÷òîáû óãðîæàòü íàì;;x
INTERACTION_COALITION_REQUIRES_COUNTY_COMPARE;§Y[Actor.GetTitledFirstName]§! can be at most $RATIO|Y%0$ the size of §Y[Recipient.GetTitledFirstName]§!;;;;;;;;;;;Ðàçìåð ñòðàíû, êîòîðîé ïðàâèò §Y[Actor.GetTitledFirstName]§! äîëæåí ñîñòàâëÿòü ìåíåå $RATIO|Y%0$ îò òîé, êîòîðîé ïðàâèò §Y[Recipient.GetTitledFirstName]§!;;x
INTERACTION_COALITION_REQUIRES_INFAMY_LIMIT;§Y[Recipient.GetTitledFirstName]§! must have at least $NUM|Y0%$ Threat;;;;;;;;;;;Óáåäèòåñü, ÷òî §Y[Recipient.GetTitledFirstName]§! èìååò óðîâåíü ñâîåé óãðîçû ïî ìåíüøåé ìåðå $NUM|Y$%;;x
INTERACTION_COALITION_REQUIRES_NO_ALLY;Is not allied with §Y[Recipient.GetTitledFirstName]§!;;;;;;;;;;;§Y[Recipient.GetTitledFirstName]§! äîëæ[Recipient.GetNaEn] ÍÅ áûòü ñîþçíèêîì;;x
INTERACTION_CONSORT_NOT_PREGNANT;Concubine must not be pregnant;;;;;;;;;;;Óáåäèòåñü, ÷òî íàëîæíèöà íå áåðåìåííà;;x
INTERACTION_CONSORTS_MUST_MARRY_LIEGE;Concubines can only marry their liege;;;;;;;;;;;Íàëîæíèöû ìîãóò âûõîäèòü çàìóæ òîëüêî çà ñâîåãî õîçÿèíà;;x
INTERACTION_CROWN_TITLE_ALLOWS_REVOKATION;The Crown Authority of §Y$CROWN_TITLE$§! allows Revocation;;;;;;;;;;;Óáåäèòåñü, ÷òî àâòîðèòåò Êîðîíû §Y$CROWN_TITLE$§! ïîçâîëÿåò îòçûâàòü òèòóëû âàññàëîâ;;x
INTERACTION_FAVOR_FORCED_LETTER;$ACTOR|Y$ used the §YFavor§! we owed them to convince us to $INTERACTION$.;;;;;;;;;;;$ACTOR|Y$ íàïîìèíàåò î íàøåì óãîâîðå è â êà÷åñòâå §Yîäîëæåíèÿ§! ïðîñèò $INTERACTION$.;;x
INTERACTION_FAVOR_FORCED_LOG;$ACTOR|Y$ used the §YFavor§! that $RECIPIENT|Y$ owed them to force $INTERACTION$.;;;;;;;;;;;$ACTOR|Y$ íàïîìíèë[Actor.GetEndA], ÷òî $RECIPIENT|Y$ â äîëãó è ïîïðîñèë[Recipient.GetEndA] îá §Yîäîëæåíèè§! â îòâåò, ÷òîáû $INTERACTION$.;;x
INTERACTION_FAVOR_FORCED_SETUP;Our Favor used;;;;;;;;;;;Íàïîìèíàíèå îá îäîëæåíèè;;x
INTERACTION_FEMALE_BASTARD_MUST_MARRY_REGULARLY;Female bastards cannot marry Matrilineally;;;;;;;;;;;Áàñòàðäû æåíñêîãî ïîëà íå ìîãóò ó÷àñòâîâàòü â ìàòðèëèíåéíîì áðàêå;;x
INTERACTION_FEMALE_LOWBORN_MUST_MARRY_REGULARLY;Lowborn females cannot marry noble men Matrilineally;;;;;;;;;;;Â ìàòðèëèíåéíûõ áðàêàõ æåíùèíû íèçêîãî ïðîèñõîæäåíèÿ íå ìîãóò âûéòè çàìóæ çà çíàòíûõ ìóæ÷èí;;x
INTERACTION_GOVERNMENT_MUST_MARRY_REGULARLY;$GOVERNMENT$ characters cannot marry Matrilineally;;;;;;;;;;;$GOVERNMENT$ íå äîïóñêàåò ìàòðèëèíåéíûå áðàêè.;;x
INTERACTION_GRANT_GAVELKIND_EXPLOIT;As your primary heir under Gavelkind, §Y$NAME$§! cannot be granted §Y$TITLE$§!;;;;;;;;;;;Êàê ñòàðøèé íàñëåäíèê ïðè ðàâíîì ðàçäåëå, §Y$NAME$§! íå ìîæåò ïîëó÷èòü â äàð çåìåëüíûé òèòóë §Y$TITLE$§!;;x
INTERACTION_GRANT_REPUBLIC_MAX;Can only have §Y$MAX$§! (§Y$MAX_PERC$%§!) counties in vassal republics - Currently §Y$CURRENT$§! (§Y$CURRENT_PERC$%§!);;;;;;;;;;;Ðàçðåøåíî èìåòü íå áîëåå §Y$MAX$§! (§Y$MAX_PERC$%§!) âàññàëüíûõ ðåñïóáëèêàíñêèõ îêðóãîâ. Â íàñòîÿùèé ìîìåíò èõ §Y$CURRENT$§! (§Y$CURRENT_PERC$%§!).;;x
INTERACTION_GRANT_THEOCRACY_LIMITS;Cannot give theocracies more than one duchy or kingdom;;;;;;;;;;;Íåëüçÿ äàòü òåîêðàòèè áîëåå îäíîãî ãåðöîãñòâà èëè êîðîëåâñòâà;;x
INTERACTION_GRANT_THEOCRACY_MAX;Can only have §Y$MAX$§! (§Y$MAX_PERC$%§!) counties in vassal theocracies - Currently §Y$CURRENT$§! (§Y$CURRENT_PERC$%§!);;;;;;;;;;;Ðàçðåøåíî èìåòü íå áîëåå §Y$MAX$§! (§Y$MAX_PERC$%§!) âàññàëüíûõ òåîêðàòè÷åñêèõ îêðóãîâ. Â íàñòîÿùèé ìîìåíò èõ §Y$CURRENT$§! (§Y$CURRENT_PERC$%§!).;;x
INTERACTION_GRANT_THEOCRACY_NEIGHBOR;New county theocracies must not border existing ones;;;;;;;;;;;Íîâûå òåîêðàòè÷åñêèå îêðóãà íå äîëæíû ãðàíè÷èòü ñ ñóùåñòâóþùèìè;;x
INTERACTION_HAS_TITLES_TO_REVOKE;Has Titles that can be Revoked;;;;;;;;;;;Óáåäèòåñü, ÷òî åñòü òèòóëû, êîòîðûå ìîæíî îòîçâàòü;;x
INTERACTION_HOLY_ORDERS_CANNOT_MARRY;Leaders of Holy Orders and Mercenary Companies cannot marry;;;;;;;;;;;Ëèäåð îðäåíà èëè îòðÿäà íà¸ìíèêîâ íå ìîæåò âñòóïàòü â áðàê;;x
INTERACTION_INVALID_CB;Valid Casus Belli;;;;;;;;;;;Óáåäèòåñü, ÷òî ýòî äîïóñòèìûé Casus Belli;;x
INTERACTION_IS_DISTANCE_LIMITED;§Y[Recipient.GetTitledFirstName]§! is not too distant to interact with;;;;;;;;;;;Óáåäèòåñü, ÷òî §Y[Recipient.GetTitledFirstName]§! íå òàê äàëåêî, è ìîæåò îòâåòèòü íàì;;x
INTERACTION_IS_VALID_CONSORT;§Y[ThirdPartyCharacter.GetTitledFirstName]§! can be taken as a [ThirdPartyCharacter.GetConsortSex];;;;;;;;;;;Óáåäèòåñü, ÷òî §Y[ThirdPartyCharacter.GetTitledFirstName]§! ìîæåò ñòàòü íàëîæíè[ThirdPartyCharacter.GetTseyKom].;;x
INTERACTION_LIEGE_HAS_NOT_ENFORCED_PEACE;Realm Peace is not being enforced in the realm;;;;;;;;;;;Óáåäèòåñü, ÷òî ïðèíóæäåíèå ê ìèðó íå áûëî çàäåéñòâîâàíî âíóòðè ýòîé ñòðàíû;;x
INTERACTION_MALE_BASTARD_MUST_MARRY_MATRI;Male bastards must marry Matrilineally;;;;;;;;;;;Áàñòàðäû ìóæñêîãî ïîëà æåíÿòñÿ òîëüêî ìàòðèëèíåéíî;;x
INTERACTION_MALE_LOWBORN_MUST_MARRY_MATRI;Lowborn males must marry noble women Matrilineally;;;;;;;;;;;Â ìàòðèëèíåéíûõ áðàêàõ ìóæ÷èíû íèçêîãî ïðîèñõîæäåíèÿ äîëæíû æåíèòüñÿ íà çíàòíûõ æåíùèíàõ;;x
INTERACTION_MESSAGE_ACTOR_PORTRAIT;A message from [Actor.GetBestName];;;;;;;;;;;[Actor.GetFullName] øë¸ò ïîñëàíèå;;x
INTERACTION_NO_BLOOD_BROTHER;§Y$CLAN$§! can't already have a Blood Brother;;;;;;;;;;;"Óáåäèòåñü, ÷òî §Y$CLAN$§! ÍÅ ÿâëÿåòñÿ ""êðîâíûì áðàòîì"" êîìó-ëèáî";;x
