EVTTITLE23212;The Legend of [Root.GetFirstNameWithNick];;;;;;;;;;;Ëåãåíäà î [Root.GetFirstNameWithNick];;x
EVTDESCBHF23768;"As [scoped_kindred.GetSheHe] passes me the next scroll, [scoped_kindred.GetFirstName] offhandedly comments that it is no wonder I am getting so much work done now that half of the men at court have stopped bothering me, mistaking me for a twiggy young boy. ""Now, if only the priests would also leave me alone,"" I reply coyly, prompting us both to chuckle.";;;;;;;;;;;"Êîãäà [scoped_kindred.GetSheHe] ïåðåäà¸ò ìíå ñëåäóþùèé ñâèòîê, [scoped_kindred.GetFirstName] âñêîëüçü çàìå÷àåò, ÷òî íåóäèâèòåëüíî, ÷òî ÿ óñïåâàþ âûïîëíÿòü òàê ìíîãî ðàáîòû òåïåðü, êîãäà ïîëîâèíà ìóæ÷èí ïðè äâîðå ïåðåñòàëè êî ìíå ïðèñòàâàòü, ïðèíèìàÿ ìåíÿ çà òîùåãî þíîøó. ""Åñëè áû òîëüêî ñâÿùåííèêè òîæå îñòàâèëè ìåíÿ â ïîêîå"", - ñêðîìíî îòâå÷àþ ÿ, âûçûâàÿ ñìåõ ó íàñ îáîèõ.";;x
EVTDESCBHF23774;A small crowd has reunited around my palace, waiting for me to emerge as a grown [Root.GetManWoman]. The sound of chanting, cymbals and drums echoes all the way to my chambers while I prepare myself. The shamans warned me that this is a delicate and dangerous transition when the spirits roam closer to the world of the living, and that I should be careful not to anger the wrong ones.;;;;;;;;;;;Â ñâÿçè ðèòóàëîì ñîâåðøåííîëåòèÿ âîêðóã ìîåãî [Root.GetHouseGEN] ñîáðàëàñü íåáîëüøàÿ òîëïà. Çâóêè ïåñíîïåíèé, öèìáàë è áàðàáàíîâ ýõîì ðàçíîñÿòñÿ ïî ìîèì ïîêîÿì, ïîêà ÿ ãîòîâëþñü. Øàìàíû ïðåäóïðåäèëè ìåíÿ, ÷òî ýòî äåëèêàòíûé è îïàñíûé ïåðåõîä, êîãäà äóõè ïðèáëèæàþòñÿ ê ìèðó æèâûõ, è ÷òî ìíå íóæíî áûòü îñòîðîæíåå, ÷òîáû íå ðàçãíåâàòü èõ.;;x
EVTDESCCHF23008;[Root.GetHaruspexName] slits the goat's throat, then opens its belly and starts examining the entrails. The response is quite clear. The gods favor our cause in the war to come! The troops will fight with renewed strength now that they know for sure that our victory has been ordained from the heavens.;;;;;;;;;;;[Root.GetHaruspexName] ïåðåðåçàë[Root.GetHaruspexEndA] ãîðëî êîçå, çàòåì âñïîðîë[Root.GetHaruspexEndA] åé áðþõî, ÷òîáû èññëåäîâàòü âíóòðåííîñòè. Îòâåò âïîëíå ÿñåí. Áîãè áëàãîâîëÿò íàøåìó äåëó â ãðÿäóùåé âîéíå! Òåïåðü íàøè âîèíû áóäóò ñðàæàòüñÿ ñ íîâîé ñèëîé, êîãäà îíè òî÷íî çíàþò, ÷òî íàøà ïîáåäà ïðåäíà÷åðòàíà íåáåñàìè.;;x
EVTDESCCHF23009;[Root.GetHaruspexName] slits the goat's throat, then opens its belly and starts examining the entrails. The signs are not entirely clear, but the diviner assures me that there was no signs of the Fates opposing our war. Our troops will surely be comforted by knowing that the gods are not against them.;;;;;;;;;;;[Root.GetHaruspexName] ïåðåðåçàë[Root.GetHaruspexEndA] ãîðëî êîçå, çàòåì âñïîðîë[Root.GetHaruspexEndA] åé áðþõî, ÷òîáû èññëåäîâàòü âíóòðåííîñòè. Çíàêè íå ñîâñåì ÿñíû, íî ïðîðèöàòåëü[Root.GetHaruspexEndNitsa] óâåðÿåò ìåíÿ, ÷òî íå áûëî íèêàêèõ ïðèçíàêîâ òîãî, ÷òî ñóäüáà ïðîòèâèòñÿ íàøåé âîéíå. Íàøè âîéñêà áóäóò óòåøàòüñÿ òåì, ÷òî áîãè íå ïðîòèâ íèõ.;;x
EVTDESCCHF23010;[Root.GetHaruspexName] slits the goat's throat, then opens its belly and starts examining the entrails. Unfortunately, the response from the diviner is not as positive as I hoped. There are clear signs that the gods are not in favor of this war. This news will not be good for morale...;;;;;;;;;;;[Root.GetHaruspexName] ïåðåðåçàë[Root.GetHaruspexEndA] ãîðëî êîçå, çàòåì âñïîðîë[Root.GetHaruspexEndA] åé áðþõî, ÷òîáû èññëåäîâàòü âíóòðåííîñòè. Ê ñîæàëåíèþ, îòâåò áûë íå òàêàèì ïîëîæèòåëüíûì, êàê ÿ íàäåÿ[Root.GetLasLsya]. Åñòü ÿâíûå ïðèçíàêè òîãî, ÷òî áîãè íå îäîáðÿþò ýòó âîéíó. Ýòà íîâîñòü íå ïîäíèìåò áîåâîé äóõ.;;x
EVTDESCCHF23011;[Root.GetHaruspexName] slits the goat's throat, then opens its belly and starts examining the entrails. The response is terrible. Not only are the gods against us in this war but, according to the signs interpreted by the diviner, they seem to be favoring our enemies!;;;;;;;;;;;[Root.GetHaruspexName] ïåðåðåçàë[Root.GetHaruspexEndA] ãîðëî êîçå, çàòåì âñïîðîë[Root.GetHaruspexEndA] åé áðþõî, ÷òîáû èññëåäîâàòü âíóòðåííîñòè. Îòâåò áûë óæàñåí. Ìàëî òîãî, ÷òî áîãè ïðîòèâ íàñ â ýòîé âîéíå, íî, ñîãëàñíî çíàêàì, èñòîëêîâàííûì ïðîðèöàòåë[Root.GetHaruspexSoftNitseyEm], îíè áëàãîâîëÿò íàøèì âðàãàì!;;x
EVTDESCCHF23025;After making the proper calculations, I have determined that I was born under the sign of the Cancer, a constellation commonly associated with tenacity and introspection.;;;;;;;;;;;Ïðîâåäÿ íåîáõîäèìûå âû÷èñëåíèÿ, ìíå óäàëîñü îïðåäåëèòü, ÷òî ÿ áûë[Root.GetEndA] ðîæäåí[Root.GetEndA] ïîä çíàêîì Ðàêà, ÷òî îáû÷íî àññîöèèðóþò ñ èíòðîñïåêöèåé è óïîðñòâîì.;;x
EVTDESCCHF23101;Centuries ago, the Galileans, in order to hide their crimes, falsely accused one of my predecessors of burning Rome to the ground. Perhaps it is time I returned them the favor and cleansed the Empire's old capital of the wretched temples scourging its Seven Hills...;;;;;;;;;;;Ñòîëåòèÿ íàçàä ãàëèëåÿíå, ÷òîáû ñêðûòü ñâîè ïðåñòóïëåíèÿ, ëîæíî îáâèíèëè îäíîãî èç ìîèõ ïðåäøåñòâåííèêîâ â òîì, ÷òî îí ñæ¸ã Ðèì äîòëà. Âîçìîæíî, ïðèøëî âðåìÿ âåðíóòü èì äîëã è î÷èñòèòü ñòàðóþ ñòîëèöó Èìïåðèè îò æàëêèõ õðàìîâ, áè÷óþùèõ å¸ Ñåìü Õîëìîâ...;;x
EVTDESCCHF23102;Living up the reputation of the heathen Emperors of old, [From.GetTitledFirstName] has ordered the ruthless destruction of the Holy See itself, in an attempt to undermine Christendom. After forcefully locking priests and cardinals within their own churches, [From.Culture.GetName] soldiers consigned the holy buildings to the flames.\nThis abominable act is certain to permanently cripple the authority of the Catholic Church for centuries to come.;;;;;;;;;;;Ïîääåðæèâàÿ ðåïóòàöèþ ÿçû÷åñêèõ èìïåðàòîðîâ äðåâíîñòè, [From.GetTitledFirstName] ïðèêàçàë[From.GetEndA] áåçæàëîñòíî óíè÷òîæèòü ñàì Ñâÿòîé Ïðåñòîë â ïîïûòêå ïîäîðâàòü [GetChristendomOrRandom]. Íàñèëüíî çàïåðåâ ñâÿùåííèêîâ è êàðäèíàëîâ â èõ ñîáñòâåííûõ öåðêâÿõ, [From.PrimaryTitle.GetAdjective]ñêèå ñîëäàòû ïðåäàëè ñâÿùåííûå äëÿ íèõ õðàìû îãíþ.\nÝòî ñîáûòèå, âèäèìî íàâñåãäà ïîäîðâ¸ò àâòîðèòåò [êàòîëè÷å]ñêîé öåðêâè, îñëàáèâ å¸ íà âåêà.;;x
EVTDESCCHF23119;The higher standards of living that many of my subjects have had access to since the restoration of the Empire appear to have caused the anger of some Christian priests. A group of petitioners from the Church's clergy has pleaded me to put a stop to these new, luxurious customs, as they are detrimental to my people's salvation.;;;;;;;;;;;Áîëåå âûñîêèé óðîâåíü æèçíè, ê êîòîðîìó ìíîãèå ìîè ïîääàííûå ïîëó÷èëè äîñòóï ïîñëå âîññòàíîâëåíèÿ Èìïåðèè, ïîõîæå, âûçâàë ãíåâ íåêîòîðûõ [õðèñòèàí]ñêèõ ñâÿùåííèêîâ. Ãðóïïà ïðîñèòåëåé èç öåðêîâíîãî äóõîâåíñòâà óìîëÿëà ìåíÿ ïîëîæèòü êîíåö ýòèì íîâûì, ðîñêîøíûì îáû÷àÿì, òàê êàê îíè íàíîñÿò óùåðá ñïàñåíèþ ìîåãî íàðîäà.;;x
EVTDESCCHF23212;Many raiders plague the coasts of the civilized realms, scraping by robbing traders and fishermen. Only a few are skilled enough to make a name for themselves and become notorious pirates, but even their stories pale in comparison to mine. \nMy palace is filled with the countless trophies I have gathered through a lifetime of endless plundering. I have laid waste of scores of towns, killed thousands, brought entire realms to their knees... \nThe land-dwellers scare children by telling stories about my exploits, talking of me as some sort of demon risen from the cold abyss of the ocean to drag their entire civilization towards a cold and terrifying end.;;;;;;;;;;;Ìíîæåñòâî íàë¸ò÷èêîâ íàâîäíèëè ïîáåðåæüÿ öèâèëèçîâàííûõ êîðîëåâñòâ, ãðàáÿ òîðãîâöåâ è ðûáàêîâ. Íî ëèøü íåìíîãèå èç íèõ äîñòàòî÷íî èñêóñíû, ÷òîáû ñäåëàòü ñåáå èìÿ è ñòàòü èçâåñòíûìè ïèðàòàìè, íî äàæå èõ èñòîðèè ìåðêíóò ïî ñðàâíåíèþ ñ ìîåé. \nÌîé äâîðåö ïîëîí áåñ÷èñëåííûõ òðîôååâ, êîòîðûå ÿ ñîáðàë[Root.GetEndA] çà âñþ ñâîþ æèçíü, ïîëíóþ áåñêîíå÷íûõ ãðàáåæåé. ß îïóñòîøèë[Root.GetEndA] äåñÿòêè ãîðîäîâ, óáèë[Root.GetEndA] òûñÿ÷è ëþäåé, ïîñòàâèë[Root.GetEndA] íà êîëåíè öåëûå êîðîëåâñòâà... \nÑóõîïóòíûå æèòåëè ïóãàþò äåòåé, ðàññêàçàìè î ìîèõ ïîäâèãàõ, ãîâîðÿ îáî ìíå ñëîâíî î êàêîì-òî äåìîíå, âîññòàâøåì èç õîëîäíîé ïó÷èíû îêåàíà, ÷òîáû óòàùèòü âñþ èõ öèâèëèçàöèþ íàâñòðå÷ó õîëîäíîìó è óæàñàþùåìó êîíöó.;;x
EVTDESCCHF23219;There must be some way to get into [From.GetName]. Our opponents are nothing but priests, and we have control over both land and sea. We have a distinct advantage over our enemies... If only I could think of a plan to get us past their walls.;;;;;;;;;;;Äîëæåí áûòü êàêîé-òî ñïîñîá ïîïàñòü â [From.GetName]. Íàøè ïðîòèâíèêè - âñåãî ëèøü ñâÿùåííèêè, à ìû êîíòðîëèðóåì è ñóøó, è ìîðå. Ó íàñ åñòü ÿâíîå ïðåèìóùåñòâî ïåðåä âðàãàìè... Åñëè áû òîëüêî ÿ ìîã[From.GetNoneE] ïðèäóìàòü ïëàí, êàê ïðîâåñòè íàñ çà èõ ñòåíû.;;x
EVTDESCCHF23400;Despite having consulted with some of the world's most respected diviners and having analyzed sightings from several realms, I have yet to come to a conclusion regarding the future of our world. \nThe omens have been ambiguous and contradictory at every turn, and none of us has been able to give a clear interpretation of the message hidden in the heavens above. \nBeing the [Root.GetTitle], it is my duty to warn the notable [Root.Religion.GetName] rulers that misfortune might be imminent.;;;;;;;;;;;Íåñìîòðÿ íà ìî¸ îáùåíèå ñ íåêîòîðûìè èç ñàìûõ óâàæàåìûõ â ìèðå ïðîðèöàòåëåé è èçó÷åíèå îò÷¸òîâ î íàáëþäåíèÿõ èç íåñêîëüêèõ âëàäåíèé, ÿ åù¸ íå ïðèø[Root.GetLaYol] ê âûâîäó îòíîñèòåëüíî áóäóùåãî íàøåãî ìèðà. \nÏðåäçíàìåíîâàíèÿ áûëè äâóñìûñëåííûìè è ïðîòèâîðå÷èâûìè íà êàæäîì øàãó, è íèêòî èç íàñ íå áûë â ñîñòîÿíèè äàòü ÷¸òêóþ èíòåðïðåòàöèþ ïîñëàíèÿ, ñêðûòîãî â íåáåñàõ. \nÊàê [Root.GetTitle], ÿ îáÿçàí[Root.GetEndA] ïðåäóïðåäèòü èçâåñòíûõ ïðàâèòåëåé, èñïîâåäóþùèõ âåðó [Root.Religion.GetName] î âîçìîæíîé íåèçáåæíîñòè áåä â áóäóùåì.;;x
EVTDESCCHF23401;We are receiving scants reports from [From.PrimaryTitle.GetName] about infighting amongst our most illustrious diviners. \nIt appears that a series of ambiguous and contradictory sightings that have confused our priests as well as the [From.GetTitle] [From.GetHerselfHimself]. \nWith the heavens hiding our future, many amongst us are being beset by doubt and fearfulness.;;;;;;;;;;;Ìû ïîëó÷àåì ñêóäíûå îò÷¸òû îò [From.PrimaryTitle.GetName] î ðàñïðÿõ ìåæäó íàøèìè ñàìûìè ïðîñëàâëåííûìè ïðîðèöàòåëÿìè. \nÏîõîæå, ÷òî ñåðèÿ íåîäíîçíà÷íûõ è ïðîòèâîðå÷èâûõ íàáëþäåíèé ñáèëà ñ òîëêó íàøèõ æðåöîâ, à òàêæå ñàì[From.GetUOgo] [From.GetTitle]. \nÏîñêîëüêó íåáåñà ñêðûâàþò íàøå áóäóùåå, ìíîãèõ èç íàñ îäîëåâàþò ñîìíåíèÿ è ñòðàõè.;;x
EVTDESCCHF23402;It is such a hot day in [Root.Capital.GetName]. I can barely breathe. I am discussing some menial theological issue with one of my clerics, when the [Root.GetManWoman] suddenly shrieks and jumps away from me. I look down, suddenly realizing that I am on fire.;;;;;;;;;;;Â [Root.Capital.GetName] òàêîé æàðêèé äåíü. ß åäâà ìîãó äûøàòü. ß îáñóæäàþ ñ îäíèì èç ñâîèõ ñâÿùåííîñëóæèòåëåé êàêîé-òî ïóñòÿêîâûé òåîëîãè÷åñêèé âîïðîñ, êîãäà [Root.GetManWoman]à âíåçàïíî âñêðèêèâàåò è îòïðûãèâàåò îò ìåíÿ. ß ñìîòðþ âíèç, âíåçàïíî îñîçíàâàÿ, ÷òî ãîðþ.;;x
EVTDESCCHF23403;The most disturbing news is spreading through the realm. Our revered [From.GetTitledFirstName] has recently spontaneously combusted during a theological debate. \nPeople are clamoring that this is surely a sign of divine wrath towards [From.PrimaryTitle.GetName].;;;;;;;;;;;Ïî ñòðàíå ðàñïðîñòðàíÿþòñÿ âåñüìà òðåâîæíûå íîâîñòè. Íàø[From.GetEndA] óâàæàåì[From.GetAyaYy] [From.GetTitledFirstName] íåäàâíî ñïîíòàííî âîñïëàìåíè[From.GetLasLsya] âî âðåìÿ áîãîñëîâñêèõ äåáàòîâ. \nËþäè êðè÷àò, ÷òî ýòî, áåçóñëîâíî, ïðèçíàê áîæåñòâåííîãî ãíåâà ïî îòíîøåíèþ ê [From.PrimaryTitle.GetName].;;x
EVTDESCCHF23404;After spending the last year scrutinizing the stars, looking for divine signs, I have come to the conclusion that a period of doom and misfortune is approaching our realm. I should inform my liege about my findings.;;;;;;;;;;;Ïðîâåäÿ ïîñëåäíèé ãîä çà èçó÷åíèåì çâ¸çä, â ïîèñêàõ áîæåñòâåííûõ çíàêîâ, ÿ ïðèø[Root.GetLaYol] ê âûâîäó, ÷òî íàøå ãîñóäàðñòâî ïðèáëèæàåòñÿ ê ïåðèîäó ãèáåëè è íåñ÷àñòèé. Ìîé äîëã - ñîîáùèòü íàøåìó ñþçåðåíó î ñâîèõ âûâîäàõ.;;x
EVTDESCCHF23405;[From.GetTitledFirstName] informed me that, after a careful analysis of the celestial bodies, [From.GetSheHe] has come to the conclusion that our realm is unfavored by the stars and will soon enter a period of misfortune and bad luck.;;;;;;;;;;;[From.GetTitledFirstName] ñîîáùèë[From.GetEndA] ìíå, ÷òî ïîñëå òùàòåëüíîãî èçó÷åíèÿ íåáåñíûõ òåë [From.GetSheHe] ïðèø[From.GetLaYol] ê âûâîäó, ÷òî çâ¸çäû íå áëàãîâîëÿò íàøåìó ãîñóäàðñòâó è ñêîðî íàñòóïèò ïåðèîä íåñ÷àñòèé è íåâåçåíèÿ.;;x
EVTDESCCHF23406;It is such a hot day in [Root.Capital.GetName]. I can barely breathe. I am discussing some menial issue with one of my courtiers, when the [Root.GetManWoman] suddenly shrieks and jumps away from me. I look down, suddenly realizing that I am on fire.;;;;;;;;;;;Êàêîé æàðêèé äåíü ñåãîäíÿ â [Root.Capital.GetName]. ß åäâà ìîãó äûøàòü. ß îáñóæäàþ êàêóþ-òî ìåëêóþ ïðîáëåìó ñ îäíèì èç ìîèõ ïðèäâîðíûõ, êîãäà [Root.GetManWoman]à âíåçàïíî âñêðèêèâàåò è îòïðûãèâàåò îò ìåíÿ. ß ñìîòðþ âíèç è âäðóã ïîíèìàþ, ÷òî ãîðþ.;;x
EVTDESCCHF23470;By carving our new Great Pillar, the fires of the [Root.Religion.GetName] faith have been stoked, bringing a bit of life to the spirits of our old and unyielding gods. The first offerings are already being presented at the feet of the new sacred monument of [From.GetName].;;;;;;;;;;;Áëàãîäàðÿ âûðåçàíèþ íàøåãî íîâîãî Âåëèêîãî Ñòîëïà ðàçãîðåëñÿ îãîíü âåðû [Root.Religion.GetName], âäîõíóâ íåìíîãî æèçíè â äóõîâ íàøèõ ñòàðûõ è íåïîêîëåáèìûõ áîãîâ. Ïåðâûå ïîäíîøåíèÿ óæå ïðèíîñÿòñÿ ó ïîäíîæèÿ íîâîãî ñâÿùåííîãî ïàìÿòíèêà [From.GetName].;;x
EVTDESCCHF23760;Stability in [Root.PrimaryTitle.GetName] can only be maintained as long as all the strands of the great tapestry which makes up this great realm of ours are weaved properly. I fear that [scoped_improvement_target.GetFirstName] has yet to reach the full extent of [scoped_improvement_target.GetHerHis] potential. [scoped_improvement_target.GetSheHeCap] might use some help to improve [scoped_improvement_target.GetHerselfHimself].;;;;;;;;;;;Ñòàáèëüíîñòü â [Root.PrimaryTitle.GetName] ìîæåò ïîääåðæèâàòüñÿ òîëüêî äî òåõ ïîð, ïîêà âñå íèòè âåëèêîãî ãîáåëåíà, èç êîòîðîãî ñîñòîèò íàøå ñëàâíîå ãîñóäàðñòâî, ñïëåòåíû äîëæíûì îáðàçîì. ß áîþñü, ÷òî [scoped_improvement_target.GetFirstName] åù¸ íå ïîëíîñòüþ ðàñêðûë[scoped_improvement_target.GetEndA] ñâîé ïîòåíöèàë. [scoped_improvement_target.GetFirstName] ìîæåò ïîíàäîáèòüñÿ ïîìîùü, ÷òîáû óëó÷øèòü ñåáÿ.;;x
EVTDESCCHF23761;All these days of harsh training and mock-duels have finally paid off. Thanks to my relentless efforts, I have become a better commander than I ever thought possible. When war comes to [Root.PrimaryTitle.GetName], I will be ready to lead my troops in battle and uphold the name of my dynasty without shame nor fear.;;;;;;;;;;;Âñå ýòè äíè ñóðîâûõ òðåíèðîâîê è èìèòàöèîííûõ äóýëåé íàêîíåö îêóïèëèñü. Áëàãîäàðÿ ñâîèì íåóñòàííûì óñèëèÿì ÿ ñòàë[Root.GetEndA] ëó÷øèì êîìàíäèðîì, ÷åì êîãäà-ëèáî ìîã[Root.GetNoneE] ñåáå ïðåäñòàâèòü. Êîãäà â [Root.PrimaryTitle.GetName] ïðèä¸ò âîéíà, ÿ áóäó ãîòîâ[Root.GetEndA] ïîâåñòè ñâîè âîéñêà â áîé è îòñòàèâàòü èìÿ ìîåé äèíàñòèè áåç ñòðàõà è óïð¸êà.;;x
EVTDESCCHF23762;I let out a loud swear and order my training partner to stop, faltering for a few steps before finally finding my balance again. The soldier asks if we should resume our training, but I simply dismiss him with a grunt while rubbing my sore wrist. I have been trying my best to refine my dueling skills in the past few days, yet I am still unsatisfied with the results.;;;;;;;;;;;ß ãðîìêî ðóãàþñü è ïðèêàçûâàþ ñâîåìó ïàðòí¸ðó ïî òðåíèðîâêå îñòàíîâèòüñÿ, çàïèíàÿñü íà íåñêîëüêî øàãîâ, ïðåæäå ÷åì, íàêîíåö-òî, ñíîâà íàõîæó ðàâíîâåñèå. Ñîëäàò ñïðàøèâàåò, äîëæíû ëè ìû âîçîáíîâèòü íàøó òðåíèðîâêó, íî ÿ ïðîñòî îòìàõèâàþñü îò íåãî ñ âîð÷àíèåì, ïîòèðàÿ áîëüíîå çàïÿñòüå. Ïîñëåäíèå íåñêîëüêî äíåé ÿ èçî âñåõ ñèë ñòàðà[Root.GetLasLsya] óñîâåðøåíñòâîâàòü ñâîè äóýëüíûå íàâûêè, íî âñ¸ åù¸ íåóäîâëåòâîðåí[Root.GetEndA] ðåçóëüòàòàìè.;;x
EVTDESCCHF23774;The little group of relatives and acquaintances awaits in the great hall, chanting and waiting for me to emerge as a grown [Root.GetManWoman]. The shamans warned me that this is a delicate and dangerous transition when the spirits roam closer to the world of the living, and that I should be careful not to anger the wrong ones.;;;;;;;;;;;Â ñâÿçè ðèòóàëîì ñîâåðøåííîëåòèÿ â áîëüøîì çàëå ñîáðàëàñü íåáîëüøàÿ ãðóïïà ðîäñòâåííèêîâ è çíàêîìûõ. Â îæèäàíèè ìîåãî ïîÿâëåíèÿ îíè íàïåâàþò òðàäèöèîííûå ïî ýòîìó ñëó÷àþ ñëîâà. Øàìàíû ïðåäóïðåäèëè ìåíÿ, ÷òî ýòî äåëèêàòíûé è îïàñíûé ïåðåõîä, êîãäà äóõè ïðèáëèæàþòñÿ ê ìèðó æèâûõ, è ÷òî ìíå íóæíî áûòü îñòîðîæíåå, ÷òîáû íå ðàçãíåâàòü èõ.;;x
EVTDESCDHF23008;[Root.GetHaruspexName] sets the chickens free in the field and starts examining their trail attentively. The response is quite clear. The gods favor our cause in the war to come! The troops will fight with renewed strength now that they know for sure that our victory has been ordained from the heavens.;;;;;;;;;;;[Root.GetHaruspexName] âûïóñòèë[Root.GetHaruspexEndA] öûïëÿò â ïîëå, ÷òîáû âíèìàòåëüíî èçó÷èòü èõ ñëåäû. Îòâåò âïîëíå ÿñåí. Áîãè áëàãîâîëÿò íàøåìó äåëó â ãðÿäóùåé âîéíå! Òåïåðü íàøè âîèíû áóäóò ñðàæàòüñÿ ñ íîâîé ñèëîé, êîãäà îíè òî÷íî çíàþò, ÷òî íàøà ïîáåäà ïðåäíà÷åðòàíà íåáåñàìè.;;x
EVTDESCDHF23009;[Root.GetHaruspexName] sets the chickens free in the field and starts examining their trail attentively. The signs are not entirely clear, but the diviner assures me that there was no signs of the Fates opposing our war. Our troops will surely be comforted by knowing that the gods are not against them.;;;;;;;;;;;[Root.GetHaruspexName] âûïóñòèë[Root.GetHaruspexEndA] öûïëÿò â ïîëå, ÷òîáû âíèìàòåëüíî èçó÷èòü èõ ñëåäû. Çíàêè íå ñîâñåì ÿñíû, íî ïðîðèöàòåëü[Root.GetHaruspexEndNitsa] óâåðÿåò ìåíÿ, ÷òî íå áûëî íèêàêèõ ïðèçíàêîâ òîãî, ÷òî ñóäüáà ïðîòèâèòñÿ íàøåé âîéíå. Íàøè âîéñêà áóäóò óòåøàòüñÿ òåì, ÷òî áîãè íå ïðîòèâ íèõ.;;x
EVTDESCDHF23010;[Root.GetHaruspexName] sets the chickens free in the field and starts examining their trail attentively. Unfortunately, the response from the diviner is not as positive as I hoped. There are clear signs that the gods are not in favor of this war. This news will not be good for morale...;;;;;;;;;;;[Root.GetHaruspexName] âûïóñòèë[Root.GetHaruspexEndA] öûïëÿò â ïîëå, ÷òîáû âíèìàòåëüíî èçó÷èòü èõ ñëåäû. Ê ñîæàëåíèþ, îòâåò áûë íå òàêèì ïîëîæèòåëüíûì, êàê ÿ íàäåÿ[Root.GetLasLsya]. Åñòü ÿâíûå ïðèçíàêè òîãî, ÷òî áîãè íå îäîáðÿþò ýòó âîéíó. Ýòà íîâîñòü íå ïîäíèìåò áîåâîé äóõ.;;x
EVTDESCDHF23011;[Root.GetHaruspexName] sets the chickens free in the field and starts examining their trail attentively. The response is terrible. Not only are the gods against us in this war but, according to the signs interpreted by the diviner, they seem to be favoring our enemies!;;;;;;;;;;;[Root.GetHaruspexName] âûïóñòèë[Root.GetHaruspexEndA] öûïëÿò â ïîëå, ÷òîáû âíèìàòåëüíî èçó÷èòü èõ ñëåäû. Îòâåò áûë óæàñåí. Ìàëî òîãî, ÷òî áîãè ïðîòèâ íàñ â ýòîé âîéíå, íî, ñîãëàñíî çíàêàì, èñòîëêîâàííûì ïðîðèöàòåë[Root.GetHaruspexSoftNitseyEm], îíè áëàãîâîëÿò íàøèì âðàãàì!;;x
EVTDESCDHF23025;After making the proper calculations, I have determined that I was born under the sign of the Capricorn, a constellation commonly associated with curiosity and steadiness.;;;;;;;;;;;Ïðîâåäÿ íåîáõîäèìûå âû÷èñëåíèÿ, ìíå óäàëîñü îïðåäåëèòü, ÷òî ÿ áûë[Root.GetEndA] ðîæäåí[Root.GetEndA] ïîä çíàêîì Êîçåðîãà, ÷òî îáû÷íî àññîöèèðóþò ñ ëþáîïûòñòâîì è íåïðåêëîííîñòüþ.;;x
EVTDESCDHF23400;After having consulted with some of the world's most respected diviners and having analyzed sightings from several realms, I have come to the conclusion that we are facing the beginning of a dreadful time. \nThe signs are clear: comets have flashed through the sky, misaligning the stars into unfavorable patterns, there have been accounts of two-headed children being born and other such prodigious omens, all pointing at a terrible future.\nBeing the [Root.GetTitle], it is my duty to inform all the notable [Root.Religion.GetName] rulers of this news, so that they may take all the necessary precautions to protect their subjects.;;;;;;;;;;;Ïîñîâåòîâàâøèñü ñ íåêîòîðûìè èç ñàìûõ óâàæàåìûõ â ìèðå ïðîðèöàòåëåé, à òàêæå èçó÷èâ îò÷¸òû î íàáëþäåíèÿõ èç íåñêîëüêèõ âëàäåíèé, ÿ ïðèø[Root.GetLaYol] ê âûâîäó, ÷òî ìû ñòàëêèâàåìñÿ ñ íà÷àëîì óæàñíûõ âðåì¸í. \nÏðèçíàêè î÷åâèäíû: êîìåòû ïðîíåñëèñü ïî íåáó, ñëîæèâ çâ¸çäû â íåáëàãîïðèÿòíûé óçîð, áûëè ñîîáùåíèÿ î ðîæäåíèè äâóãëàâûõ äåòåé è äðóãèå ïîäîáíûå óäèâèòåëüíûå ïðåäçíàìåíîâàíèÿ, óêàçûâàþùèå íà óæàñíîå áóäóùåå.\nÊàê [Root.GetTitle], ÿ îáÿçàí[Root.GetEndA] ñîîáùèòü îá ýòîé íîâîñòè âñåì èçâåñòíûì ïðàâèòåëÿì, èñïîâåäóþùèì âåðó [Root.Religion.GetName], ÷òîáû îíè ïðèíÿëè âñå íåîáõîäèìûå ìåðû ïðåäîñòîðîæíîñòè äëÿ çàùèòû ñâîèõ ïîääàííûõ.;;x
